CAN Message; 0x77:d5c7924a6a71a47f
Timestamp;Amplitude
1739209638.3410757;-45.120503652039325
1739209638.341079;-38.13080360867914
1739209638.3410823;-38.13080360867914
1739209638.3410857;-45.120503652039325
1739209638.341089;-45.120503652039325
1739209638.3410923;-38.13080360867914
1739209638.3410957;-38.13080360867914
1739209638.341099;-38.13080360867914
1739209638.3411024;-45.120503652039325
1739209638.3411057;-33.981070128970906
1739209638.341109;-38.13080360867914
1739209638.3411124;-33.981070128970906
1739209638.3411157;-38.13080360867914
1739209638.341119;-45.120503652039325
1739209638.3411224;-45.120503652039325
1739209638.3411257;-33.981070128970906
1739209638.341129;-45.120503652039325
1739209638.3411324;-45.120503652039325
1739209638.3411357;-31.141103565318893
1739209638.341139;-45.120503652039325
1739209638.3411424;-45.120503652039325
1739209638.3411458;-33.981070128970906
1739209638.341149;-38.13080360867914
1739209638.3411524;-38.13080360867914
1739209638.3411558;-45.120503652039325
1739209638.341159;-38.13080360867914
1739209638.3411624;-35.57807855764607
1739209638.3411658;-35.57807855764607
1739209638.341169;-32.816014438256545
1739209638.3411725;-38.13080360867914
1739209638.3411758;-35.57807855764607
1739209638.3411791;-38.13080360867914
1739209638.3411825;-38.13080360867914
1739209638.3411858;-45.120503652039325
1739209638.3411891;-35.57807855764607
1739209638.3411925;-45.120503652039325
1739209638.3411958;-45.120503652039325
1739209638.3411992;-45.120503652039325
1739209638.3412025;-35.57807855764607
1739209638.3412058;-35.57807855764607
1739209638.3412092;-45.120503652039325
1739209638.3412125;-38.13080360867914
1739209638.3412158;-38.13080360867914
1739209638.3412192;-35.57807855764607
1739209638.3412225;-35.57807855764607
1739209638.3412259;-45.120503652039325
1739209638.3412292;-45.120503652039325
1739209638.3412325;-38.13080360867914
1739209638.3412356;-38.13080360867914
1739209638.341239;-45.120503652039325
1739209638.3412423;-45.120503652039325
1739209638.3412457;-45.120503652039325
1739209638.341249;-45.120503652039325
1739209638.3412523;-38.13080360867914
1739209638.3412557;-45.120503652039325
1739209638.341259;-38.13080360867914
1739209638.3412623;-45.120503652039325
1739209638.3412657;-38.13080360867914
1739209638.341269;-35.57807855764607
1739209638.3412724;-38.13080360867914
1739209638.3412757;-38.13080360867914
1739209638.341279;-45.120503652039325
1739209638.3412824;-38.13080360867914
1739209638.3412857;-45.120503652039325
1739209638.341289;-35.57807855764607
1739209638.3412924;-38.13080360867914
1739209638.3412957;-45.120503652039325
1739209638.341299;-45.120503652039325
1739209638.3413024;-45.120503652039325
1739209638.3413057;-38.13080360867914
1739209638.341309;-35.57807855764607
1739209638.3413124;-38.13080360867914
1739209638.3413157;-45.120503652039325
1739209638.341319;-38.13080360867914
1739209638.3413224;-38.13080360867914
1739209638.3413258;-38.13080360867914
1739209638.341329;-32.816014438256545
1739209638.3413324;-38.13080360867914
1739209638.3413358;-35.57807855764607
1739209638.341339;-38.13080360867914
1739209638.3413424;-35.57807855764607
1739209638.3413458;-38.13080360867914
1739209638.3413491;-45.120503652039325
1739209638.3413525;-45.120503652039325
1739209638.3413558;-45.120503652039325
1739209638.3413591;-45.120503652039325
1739209638.3413625;-38.13080360867914
1739209638.3413658;-38.13080360867914
1739209638.3413692;-45.120503652039325
1739209638.3413725;-45.120503652039325
1739209638.3413758;-45.120503652039325
1739209638.3413792;-33.981070128970906
1739209638.3413825;-35.57807855764607
1739209638.3413858;-35.57807855764607
1739209638.3413892;-31.141103565318893
1739209638.3413925;-45.120503652039325
1739209638.3413959;-38.13080360867914
1739209638.3413992;-45.120503652039325
1739209638.3414025;-32.816014438256545
1739209638.3414059;-35.57807855764607
1739209638.3414092;-45.120503652039325
1739209638.3414125;-45.120503652039325
1739209638.341416;-45.120503652039325
1739209638.3414192;-45.120503652039325
1739209638.3414226;-45.120503652039325
1739209638.3414257;-45.120503652039325
1739209638.341429;-45.120503652039325
1739209638.3414323;-45.120503652039325
1739209638.3414357;-45.120503652039325
1739209638.341439;-45.120503652039325
1739209638.3414423;-38.13080360867914
1739209638.3414457;-45.120503652039325
1739209638.341449;-45.120503652039325
1739209638.3414524;-38.13080360867914
1739209638.3414557;-45.120503652039325
1739209638.341459;-38.13080360867914
1739209638.3414624;-45.120503652039325
1739209638.3414657;-45.120503652039325
1739209638.341469;-45.120503652039325
1739209638.3414724;-45.120503652039325
1739209638.3414757;-45.120503652039325
1739209638.341479;-38.13080360867914
1739209638.3414824;-38.13080360867914
1739209638.3414857;-45.120503652039325
1739209638.341489;-38.13080360867914
1739209638.3414924;-33.981070128970906
1739209638.3414958;-35.57807855764607
1739209638.341499;-38.13080360867914
1739209638.3415024;-35.57807855764607
1739209638.3415058;-33.981070128970906
1739209638.341509;-45.120503652039325
1739209638.3415124;-45.120503652039325
1739209638.3415158;-45.120503652039325
1739209638.341519;-45.120503652039325
1739209638.3415225;-45.120503652039325
1739209638.3415258;-38.13080360867914
1739209638.3415291;-45.120503652039325
1739209638.3415325;-45.120503652039325
1739209638.3415358;-38.13080360867914
1739209638.3415391;-45.120503652039325
1739209638.3415425;-38.13080360867914
1739209638.3415458;-38.13080360867914
1739209638.3415492;-45.120503652039325
1739209638.3415525;-45.120503652039325
1739209638.3415558;-38.13080360867914
1739209638.3415592;-38.13080360867914
1739209638.3415625;-45.120503652039325
1739209638.3415658;-45.120503652039325
1739209638.3415692;-38.13080360867914
1739209638.3415725;-45.120503652039325
1739209638.3415759;-45.120503652039325
1739209638.3415792;-38.13080360867914
1739209638.3415825;-45.120503652039325
1739209638.3415859;-45.120503652039325
1739209638.3415892;-45.120503652039325
1739209638.3415926;-38.13080360867914
1739209638.341596;-35.57807855764607
1739209638.3415992;-38.13080360867914
1739209638.3416026;-45.120503652039325
1739209638.341606;-33.981070128970906
1739209638.3416092;-38.13080360867914
1739209638.3416126;-38.13080360867914
1739209638.3416157;-38.13080360867914
1739209638.341619;-45.120503652039325
1739209638.3416224;-38.13080360867914
1739209638.3416257;-33.981070128970906
1739209638.341629;-45.120503652039325
1739209638.3416324;-38.13080360867914
1739209638.3416357;-38.13080360867914
1739209638.341639;-38.13080360867914
1739209638.3416424;-45.120503652039325
1739209638.3416457;-38.13080360867914
1739209638.341649;-38.13080360867914
1739209638.3416524;-33.981070128970906
1739209638.3416557;-45.120503652039325
1739209638.341659;-45.120503652039325
1739209638.3416624;-38.13080360867914
1739209638.3416657;-33.981070128970906
1739209638.341669;-38.13080360867914
1739209638.3416724;-38.13080360867914
1739209638.3416758;-38.13080360867914
1739209638.341679;-45.120503652039325
1739209638.3416824;-45.120503652039325
1739209638.3416858;-38.13080360867914
1739209638.341689;-38.13080360867914
1739209638.3416924;-38.13080360867914
1739209638.3416958;-45.120503652039325
1739209638.3416991;-38.13080360867914
1739209638.3417025;-32.816014438256545
1739209638.3417058;-35.57807855764607
1739209638.3417091;-45.120503652039325
1739209638.3417125;-38.13080360867914
1739209638.3417158;-45.120503652039325
1739209638.3417192;-38.13080360867914
1739209638.3417225;-45.120503652039325
1739209638.3417258;-45.120503652039325
1739209638.3417292;-45.120503652039325
1739209638.3417325;-33.981070128970906
1739209638.3417358;-38.13080360867914
1739209638.3417392;-45.120503652039325
1739209638.3417425;-38.13080360867914
1739209638.3417459;-33.981070128970906
1739209638.3417492;-45.120503652039325
1739209638.3417525;-45.120503652039325
1739209638.3417559;-45.120503652039325
1739209638.3417592;-31.141103565318915
1739209638.3417625;-35.57807855764607
1739209638.3417659;-38.13080360867914
1739209638.3417692;-38.13080360867914
1739209638.3417726;-33.981070128970906
1739209638.341776;-38.13080360867914
1739209638.3417792;-45.120503652039325
1739209638.3417826;-45.120503652039325
1739209638.341786;-45.120503652039325
1739209638.3417892;-38.13080360867914
1739209638.3417926;-38.13080360867914
1739209638.341796;-38.13080360867914
1739209638.3417993;-33.981070128970906
1739209638.3418026;-35.57807855764607
1739209638.3418057;-38.13080360867914
1739209638.341809;-45.120503652039325
1739209638.3418124;-33.981070128970906
1739209638.3418157;-38.13080360867914
1739209638.341819;-38.13080360867914
1739209638.3418224;-45.120503652039325
1739209638.3418257;-45.120503652039325
1739209638.341829;-45.120503652039325
1739209638.3418324;-45.120503652039325
1739209638.3418357;-38.13080360867914
1739209638.341839;-45.120503652039325
1739209638.3418424;-45.120503652039325
1739209638.3418458;-45.120503652039325
1739209638.341849;-45.120503652039325
1739209638.3418524;-38.13080360867914
1739209638.3418558;-45.120503652039325
1739209638.341859;-45.120503652039325
1739209638.3418624;-45.120503652039325
1739209638.3418658;-31.141103565318915
1739209638.341869;-30.49652367304973
1739209638.3418725;-38.13080360867914
1739209638.3418758;-45.120503652039325
1739209638.3418791;-35.57807855764607
1739209638.3418825;-35.57807855764607
1739209638.3418858;-45.120503652039325
1739209638.3418891;-38.13080360867914
1739209638.3418925;-45.120503652039325
1739209638.3418958;-38.13080360867914
1739209638.3418992;-38.13080360867914
1739209638.3419025;-45.120503652039325
1739209638.3419058;-38.13080360867914
1739209638.3419092;-45.120503652039325
1739209638.3419125;-45.120503652039325
1739209638.3419158;-45.120503652039325
1739209638.3419192;-32.816014438256545
1739209638.3419225;-26.991370085610736
1739209638.3419259;-38.13080360867914
1739209638.3419292;-45.120503652039325
1739209638.3419325;-38.13080360867914
1739209638.3419359;-32.816014438256545
1739209638.3419392;-35.57807855764607
1739209638.3419425;-33.981070128970906
1739209638.341946;-45.120503652039325
1739209638.3419492;-38.13080360867914
1739209638.3419526;-38.13080360867914
1739209638.341956;-45.120503652039325
1739209638.3419592;-45.120503652039325
1739209638.3419626;-45.120503652039325
1739209638.341966;-35.57807855764607
1739209638.3419693;-38.13080360867914
1739209638.3419726;-32.816014438256545
1739209638.341976;-26.991370085610736
1739209638.3419793;-38.13080360867914
1739209638.3419826;-45.120503652039325
1739209638.341986;-45.120503652039325
1739209638.3419893;-38.13080360867914
1739209638.3419926;-45.120503652039325
1739209638.3419957;-45.120503652039325
1739209638.341999;-38.13080360867914
1739209638.3420024;-45.120503652039325
1739209638.3420057;-45.120503652039325
1739209638.342009;-45.120503652039325
1739209638.3420124;-38.13080360867914
1739209638.3420157;-45.120503652039325
1739209638.342019;-45.120503652039325
1739209638.3420224;-45.120503652039325
1739209638.3420258;-45.120503652039325
1739209638.342029;-29.438486411369333
1739209638.3420324;-38.13080360867914
1739209638.3420358;-45.120503652039325
1739209638.342039;-35.57807855764607
1739209638.3420424;-26.991370085610736
1739209638.3420458;-45.120503652039325
1739209638.3420491;-45.120503652039325
1739209638.3420525;-45.120503652039325
