CAN Message; 0x24:06147f762768e16b
Timestamp;Amplitude
1739209797.3960626;-32.816014438256545
1739209797.3960645;-45.120503652039325
1739209797.3960667;-45.120503652039325
1739209797.3960686;-38.13080360867914
1739209797.3960707;-45.120503652039325
1739209797.3960726;-38.13080360867914
1739209797.3960748;-45.120503652039325
1739209797.3960767;-38.13080360867914
1739209797.3960788;-38.13080360867914
1739209797.3960807;-35.57807855764607
1739209797.3960829;-38.13080360867914
1739209797.3960848;-38.13080360867914
1739209797.3960867;-45.120503652039325
1739209797.3960888;-38.13080360867914
1739209797.3960907;-45.120503652039325
1739209797.396093;-45.120503652039325
1739209797.3960948;-45.120503652039325
1739209797.396097;-45.120503652039325
1739209797.3960989;-38.13080360867914
1739209797.396101;-35.57807855764607
1739209797.396103;-45.120503652039325
1739209797.396105;-45.120503652039325
1739209797.396107;-45.120503652039325
1739209797.396109;-45.120503652039325
1739209797.396111;-45.120503652039325
1739209797.3961132;-45.120503652039325
1739209797.396115;-45.120503652039325
1739209797.3961172;-38.13080360867914
1739209797.396119;-38.13080360867914
1739209797.3961213;-38.13080360867914
1739209797.3961232;-45.120503652039325
1739209797.3961253;-38.13080360867914
1739209797.3961272;-38.13080360867914
1739209797.3961294;-38.13080360867914
1739209797.3961313;-32.816014438256545
1739209797.3961334;-45.120503652039325
1739209797.3961353;-33.981070128970906
1739209797.3961375;-45.120503652039325
1739209797.3961394;-45.120503652039325
1739209797.3961415;-38.13080360867914
1739209797.3961434;-35.57807855764607
1739209797.3961456;-33.981070128970906
1739209797.3961475;-38.13080360867914
1739209797.3961496;-35.57807855764607
1739209797.3961515;-45.120503652039325
1739209797.3961537;-38.13080360867914
1739209797.3961556;-35.57807855764607
1739209797.3961577;-38.13080360867914
1739209797.3961596;-45.120503652039325
1739209797.3961618;-38.13080360867914
1739209797.3961637;-32.816014438256545
1739209797.3961656;-38.13080360867914
1739209797.3961678;-45.120503652039325
1739209797.3961697;-45.120503652039325
1739209797.3961718;-45.120503652039325
1739209797.3961737;-45.120503652039325
1739209797.3961759;-38.13080360867914
1739209797.3961778;-38.13080360867914
1739209797.39618;-45.120503652039325
1739209797.3961818;-38.13080360867914
1739209797.396184;-38.13080360867914
1739209797.3961859;-45.120503652039325
1739209797.396188;-38.13080360867914
1739209797.39619;-45.120503652039325
1739209797.396192;-45.120503652039325
1739209797.396194;-33.981070128970906
1739209797.3961961;-33.981070128970906
1739209797.396198;-38.13080360867914
1739209797.3962002;-38.13080360867914
1739209797.396202;-30.49652367304973
1739209797.3962042;-31.141103565318915
1739209797.3962061;-38.13080360867914
1739209797.3962083;-35.57807855764607
1739209797.3962102;-45.120503652039325
1739209797.3962123;-45.120503652039325
1739209797.3962142;-45.120503652039325
1739209797.3962164;-45.120503652039325
1739209797.3962183;-45.120503652039325
1739209797.3962204;-38.13080360867914
1739209797.3962224;-35.57807855764607
1739209797.3962245;-45.120503652039325
1739209797.3962264;-35.57807855764607
1739209797.3962286;-38.13080360867914
1739209797.3962305;-38.13080360867914
1739209797.3962326;-45.120503652039325
1739209797.3991206;-45.120503652039325
1739209797.3991241;-38.13080360867914
1739209797.3991275;-45.120503652039325
1739209797.399131;-30.49652367304973
1739209797.3991346;-32.816014438256545
1739209797.3991382;-45.120503652039325
1739209797.3991418;-45.120503652039325
1739209797.3991454;-35.57807855764607
1739209797.3991487;-35.57807855764607
1739209797.3991523;-45.120503652039325
1739209797.3991559;-38.13080360867914
1739209797.3991594;-33.981070128970956
1739209797.399163;-45.120503652039325
1739209797.3991663;-38.13080360867914
1739209797.39917;-45.120503652039325
1739209797.3991735;-45.120503652039325
1739209797.399177;-45.120503652039325
1739209797.3991807;-38.13080360867914
1739209797.3991842;-38.13080360867914
1739209797.3991876;-38.13080360867914
1739209797.3991911;-32.816014438256545
1739209797.3991947;-38.13080360867914
1739209797.3991983;-45.120503652039325
1739209797.3992019;-38.13080360867914
1739209797.3992052;-35.57807855764607
1739209797.3992088;-45.120503652039325
1739209797.3992124;-45.120503652039325
1739209797.399216;-30.49652367304973
1739209797.3992195;-29.438486411369333
1739209797.399223;-45.120503652039325
1739209797.3992264;-45.120503652039325
1739209797.39923;-32.816014438256545
1739209797.3992336;-32.816014438256545
1739209797.3992372;-45.120503652039325
1739209797.3992407;-38.13080360867914
1739209797.399244;-45.120503652039325
1739209797.3992476;-45.120503652039325
1739209797.3992512;-45.120503652039325
1739209797.3992548;-45.120503652039325
1739209797.3992584;-45.120503652039325
1739209797.399262;-38.13080360867914
1739209797.3992653;-38.13080360867914
1739209797.3992689;-38.13080360867914
1739209797.3992724;-35.57807855764607
1739209797.399276;-32.816014438256545
1739209797.3992796;-38.13080360867914
1739209797.399283;-45.120503652039325
1739209797.3992865;-45.120503652039325
1739209797.39929;-45.120503652039325
1739209797.3992937;-45.120503652039325
1739209797.3992972;-45.120503652039325
1739209797.3993008;-45.120503652039325
1739209797.3993042;-45.120503652039325
1739209797.3993077;-38.13080360867914
1739209797.3993113;-45.120503652039325
1739209797.3993149;-38.13080360867914
1739209797.3993185;-45.120503652039325
1739209797.3993218;-38.13080360867914
1739209797.3993254;-38.13080360867914
1739209797.399329;-45.120503652039325
1739209797.3993325;-45.120503652039325
1739209797.399336;-45.120503652039325
1739209797.3993397;-45.120503652039325
1739209797.399343;-45.120503652039325
1739209797.3993466;-45.120503652039325
1739209797.3993502;-38.13080360867914
1739209797.3993537;-45.120503652039325
1739209797.3993573;-38.13080360867914
1739209797.3993607;-35.57807855764607
1739209797.3993642;-45.120503652039325
1739209797.3993678;-45.120503652039325
1739209797.3993714;-38.13080360867914
1739209797.399375;-38.13080360867914
1739209797.3993785;-45.120503652039325
1739209797.3993819;-38.13080360867914
1739209797.3993855;-38.13080360867914
1739209797.399389;-45.120503652039325
1739209797.3993926;-45.120503652039325
1739209797.3993962;-45.120503652039325
1739209797.3993995;-45.120503652039325
1739209797.399403;-45.120503652039325
1739209797.3994067;-33.981070128970906
1739209797.3994102;-38.13080360867914
1739209797.3994138;-38.13080360867914
1739209797.3994174;-32.816014438256545
1739209797.3994207;-45.120503652039325
1739209797.3994243;-45.120503652039325
1739209797.399428;-38.13080360867914
1739209797.3994315;-38.13080360867914
1739209797.399435;-33.981070128970906
1739209797.3994384;-45.120503652039325
1739209797.399442;-45.120503652039325
1739209797.3994455;-45.120503652039325
1739209797.399449;-38.13080360867914
1739209797.3994527;-35.57807855764607
1739209797.3994563;-45.120503652039325
