CAN Message; 0x1d3:00004cb9e1dd0972
Timestamp;Amplitude
1739209782.4355938;-45.120503652039325
1739209782.4355943;-45.120503652039325
1739209782.435595;-38.13080360867914
1739209782.4355955;-38.13080360867914
1739209782.435596;-38.13080360867914
1739209782.4355967;-45.120503652039325
1739209782.4355972;-33.981070128970906
1739209782.4355977;-45.120503652039325
1739209782.4355981;-45.120503652039325
1739209782.4355989;-38.13080360867914
1739209782.4355993;-45.120503652039325
1739209782.4355998;-45.120503652039325
1739209782.4356003;-45.120503652039325
1739209782.435601;-38.13080360867914
1739209782.4356015;-38.13080360867914
1739209782.435602;-45.120503652039325
1739209782.4356024;-45.120503652039325
1739209782.4356031;-38.13080360867914
1739209782.4356036;-38.13080360867914
1739209782.435604;-45.120503652039325
1739209782.4356048;-45.120503652039325
1739209782.4356053;-33.981070128970906
1739209782.4356058;-38.13080360867914
1739209782.4356062;-45.120503652039325
1739209782.435607;-45.120503652039325
1739209782.4356074;-45.120503652039325
1739209782.435608;-35.57807855764607
1739209782.4356084;-38.13080360867914
1739209782.435609;-35.57807855764607
1739209782.4356096;-33.981070128970906
1739209782.43561;-45.120503652039325
1739209782.4356105;-45.120503652039325
1739209782.4356112;-45.120503652039325
1739209782.4356117;-33.981070128970906
1739209782.4356122;-45.120503652039325
1739209782.435613;-38.13080360867914
1739209782.4356134;-33.981070128970906
1739209782.4356139;-28.992665084841942
1739209782.4356143;-31.141103565318915
1739209782.435615;-38.13080360867914
1739209782.4356155;-45.120503652039325
1739209782.435616;-33.981070128970906
1739209782.4356165;-38.13080360867914
1739209782.4356172;-45.120503652039325
1739209782.4356177;-35.57807855764607
1739209782.4356182;-38.13080360867914
1739209782.4356186;-45.120503652039325
1739209782.4356194;-38.13080360867914
1739209782.4356198;-38.13080360867914
1739209782.4356203;-38.13080360867914
1739209782.435621;-45.120503652039325
1739209782.4356215;-45.120503652039325
1739209782.435622;-45.120503652039325
1739209782.4356225;-38.13080360867914
1739209782.4356232;-38.13080360867914
1739209782.4356236;-45.120503652039325
1739209782.4356241;-38.13080360867914
1739209782.4356246;-38.13080360867914
1739209782.4356253;-45.120503652039325
1739209782.4356258;-45.120503652039325
1739209782.4356263;-38.13080360867914
1739209782.435627;-33.981070128970906
1739209782.4356275;-32.816014438256545
1739209782.435628;-38.13080360867914
1739209782.4356284;-45.120503652039325
1739209782.4356291;-45.120503652039325
1739209782.4356296;-38.13080360867914
1739209782.43563;-38.13080360867914
1739209782.4356306;-35.57807855764607
1739209782.4356313;-33.981070128970906
1739209782.4356318;-28.992665084841942
1739209782.4356322;-45.120503652039325
1739209782.4356327;-38.13080360867914
1739209782.4356334;-38.13080360867914
1739209782.435634;-33.981070128970906
1739209782.4356344;-33.981070128970906
1739209782.435635;-45.120503652039325
1739209782.4356356;-38.13080360867914
1739209782.435636;-33.981070128970906
1739209782.4356365;-35.57807855764607
1739209782.4356372;-38.13080360867914
1739209782.4356377;-45.120503652039325
1739209782.4356382;-31.141103565318893
1739209782.4356387;-38.13080360867914
1739209782.4356394;-38.13080360867914
1739209782.4356399;-38.13080360867914
1739209782.4356403;-33.981070128970906
1739209782.4356408;-32.816014438256545
1739209782.4356415;-35.57807855764607
1739209782.435642;-45.120503652039325
1739209782.4356425;-38.13080360867914
1739209782.4356432;-33.981070128970906
1739209782.4356437;-38.13080360867914
1739209782.4356441;-38.13080360867914
1739209782.4356446;-33.981070128970906
1739209782.4356453;-38.13080360867914
1739209782.4356458;-45.120503652039325
1739209782.4356463;-45.120503652039325
1739209782.4356468;-38.13080360867914
1739209782.4356475;-45.120503652039325
1739209782.435648;-35.57807855764607
1739209782.4356484;-38.13080360867914
1739209782.435649;-45.120503652039325
1739209782.4356496;-35.57807855764607
1739209782.43565;-45.120503652039325
1739209782.4356506;-45.120503652039325
1739209782.4356513;-32.816014438256545
1739209782.4356518;-35.57807855764607
1739209782.4356523;-45.120503652039325
1739209782.4356527;-45.120503652039325
1739209782.4356534;-33.981070128970906
1739209782.435654;-38.13080360867914
1739209782.4356544;-38.13080360867914
1739209782.4356549;-45.120503652039325
1739209782.4356556;-45.120503652039325
1739209782.435656;-45.120503652039325
1739209782.4356565;-45.120503652039325
1739209782.435657;-45.120503652039325
1739209782.4356577;-45.120503652039325
1739209782.4356582;-45.120503652039325
1739209782.4356587;-38.13080360867914
1739209782.4356594;-38.13080360867914
1739209782.43566;-45.120503652039325
1739209782.4356604;-45.120503652039325
1739209782.4356608;-33.981070128970906
1739209782.4356616;-45.120503652039325
1739209782.435662;-38.13080360867914
1739209782.4356625;-38.13080360867914
1739209782.435663;-35.57807855764607
1739209782.4356637;-35.57807855764607
1739209782.4356642;-45.120503652039325
1739209782.4356647;-38.13080360867914
1739209782.4356651;-38.13080360867914
1739209782.4356658;-38.13080360867914
1739209782.4356663;-45.120503652039325
1739209782.4356668;-45.120503652039325
1739209782.4356675;-45.120503652039325
1739209782.435668;-45.120503652039325
1739209782.4356685;-38.13080360867914
1739209782.435669;-45.120503652039325
1739209782.4356697;-45.120503652039325
1739209782.4356701;-45.120503652039325
1739209782.4356706;-35.57807855764607
1739209782.435671;-31.141103565318893
1739209782.4356718;-45.120503652039325
1739209782.4356723;-45.120503652039325
1739209782.4356728;-38.13080360867914
1739209782.4356735;-35.57807855764607
1739209782.435674;-45.120503652039325
1739209782.4356744;-38.13080360867914
1739209782.435675;-38.13080360867914
1739209782.4356756;-45.120503652039325
1739209782.435676;-45.120503652039325
1739209782.4356766;-45.120503652039325
1739209782.435677;-45.120503652039325
1739209782.4356778;-45.120503652039325
1739209782.4356782;-45.120503652039325
1739209782.4356787;-45.120503652039325
1739209782.4356792;-45.120503652039325
1739209782.43568;-45.120503652039325
1739209782.4356804;-38.13080360867914
1739209782.4356809;-45.120503652039325
1739209782.4356816;-35.57807855764607
1739209782.435682;-35.57807855764607
1739209782.4356825;-38.13080360867914
1739209782.435683;-38.13080360867914
1739209782.4356837;-35.57807855764607
1739209782.4356842;-26.991370085610722
1739209782.4356847;-45.120503652039325
1739209782.4356852;-38.13080360867914
1739209782.4356859;-38.13080360867914
1739209782.4356863;-38.13080360867914
1739209782.4356868;-45.120503652039325
1739209782.4356873;-45.120503652039325
1739209782.435688;-45.120503652039325
1739209782.4356885;-33.981070128970956
1739209782.435689;-45.120503652039325
1739209782.4356897;-45.120503652039325
1739209782.4356902;-45.120503652039325
1739209782.4356906;-45.120503652039325
1739209782.435691;-45.120503652039325
1739209782.4356918;-38.13080360867914
1739209782.4356923;-31.141103565318915
1739209782.4356928;-28.21854285175415
1739209782.4356933;-38.13080360867914
1739209782.435694;-38.13080360867914
1739209782.4356945;-38.13080360867914
1739209782.435695;-35.57807855764607
1739209782.4356954;-45.120503652039325
1739209782.4356961;-45.120503652039325
1739209782.4356966;-38.13080360867914
1739209782.435697;-35.57807855764607
1739209782.4356978;-38.13080360867914
1739209782.4356983;-45.120503652039325
1739209782.4356987;-38.13080360867914
1739209782.4356992;-38.13080360867914
1739209782.4357;-35.57807855764607
1739209782.4357004;-35.57807855764607
1739209782.435701;-35.57807855764607
1739209782.4357014;-35.57807855764607
1739209782.435702;-45.120503652039325
1739209782.4357026;-33.981070128970906
1739209782.435703;-45.120503652039325
1739209782.4357035;-45.120503652039325
1739209782.4357042;-45.120503652039325
1739209782.4357047;-45.120503652039325
1739209782.4357052;-38.13080360867914
1739209782.435706;-27.267205301931607
1739209782.4357064;-38.13080360867914
1739209782.4357069;-45.120503652039325
1739209782.4357073;-38.13080360867914
1739209782.435708;-32.816014438256545
1739209782.4357085;-38.13080360867914
1739209782.435709;-45.120503652039325
1739209782.4357095;-45.120503652039325
1739209782.4357102;-38.13080360867914
1739209782.4357107;-38.13080360867914
1739209782.4357111;-45.120503652039325
1739209782.4357119;-45.120503652039325
1739209782.4357123;-33.981070128970906
1739209782.4357128;-45.120503652039325
1739209782.4357133;-45.120503652039325
1739209782.435714;-38.13080360867914
1739209782.4357145;-38.13080360867914
1739209782.435715;-45.120503652039325
1739209782.4357154;-45.120503652039325
1739209782.4357162;-45.120503652039325
1739209782.4357166;-45.120503652039325
1739209782.435717;-45.120503652039325
1739209782.4357176;-38.13080360867914
1739209782.4357183;-45.120503652039325
1739209782.4357188;-33.981070128970906
1739209782.4357193;-35.57807855764607
1739209782.43572;-38.13080360867914
1739209782.4357204;-45.120503652039325
1739209782.435721;-45.120503652039325
1739209782.4357214;-33.981070128970906
1739209782.435722;-45.120503652039325
1739209782.4357226;-38.13080360867914
1739209782.435723;-45.120503652039325
1739209782.4357235;-45.120503652039325
1739209782.4357243;-38.13080360867914
1739209782.4357247;-38.13080360867914
1739209782.4357252;-45.120503652039325
1739209782.4357257;-45.120503652039325
1739209782.4357264;-45.120503652039325
1739209782.435727;-45.120503652039325
1739209782.4357274;-45.120503652039325
1739209782.435728;-45.120503652039325
1739209782.4357285;-38.13080360867914
1739209782.435729;-38.13080360867914
1739209782.4357295;-45.120503652039325
1739209782.4357302;-45.120503652039325
1739209782.4357307;-45.120503652039325
1739209782.4357312;-45.120503652039325
