CAN Message; 0x150:000047d36d4823f8
Timestamp;Amplitude
1739209689.2010128;-38.13080360867914
1739209689.2010267;-38.13080360867914
1739209689.2010403;-38.13080360867914
1739209689.2010539;-45.120503652039325
1739209689.2010674;-45.120503652039325
1739209689.201081;-38.13080360867914
1739209689.2010946;-38.13080360867914
1739209689.2011085;-45.120503652039325
1739209689.201122;-45.120503652039325
1739209689.2011356;-38.13080360867914
1739209689.2011492;-38.13080360867914
1739209689.2011628;-45.120503652039325
1739209689.2011764;-45.120503652039325
1739209689.2011902;-38.13080360867914
1739209689.2012038;-38.13080360867914
1739209689.2012174;-38.13080360867914
1739209689.201231;-45.120503652039325
1739209689.2012446;-38.13080360867914
1739209689.2012582;-28.992665084841942
1739209689.201272;-33.981070128970906
1739209689.2012856;-38.13080360867914
1739209689.2012992;-38.13080360867914
1739209689.2013128;-45.120503652039325
1739209689.2013264;-45.120503652039325
1739209689.20134;-45.120503652039325
1739209689.2013535;-38.13080360867914
1739209689.2013674;-38.13080360867914
1739209689.201381;-38.13080360867914
1739209689.2013946;-45.120503652039325
1739209689.2014081;-38.13080360867914
1739209689.2014217;-38.13080360867914
1739209689.2014353;-38.13080360867914
1739209689.2014492;-45.120503652039325
1739209689.2014627;-45.120503652039325
1739209689.2014763;-33.981070128970906
1739209689.20149;-45.120503652039325
1739209689.2015035;-38.13080360867914
1739209689.201517;-38.13080360867914
1739209689.201531;-32.816014438256545
1739209689.2015445;-35.57807855764607
1739209689.201558;-45.120503652039325
1739209689.2015717;-38.13080360867914
1739209689.2015853;-33.981070128970906
1739209689.201599;-38.13080360867914
1739209689.2016127;-38.13080360867914
1739209689.2016263;-38.13080360867914
1739209689.20164;-38.13080360867914
1739209689.2016535;-45.120503652039325
1739209689.201667;-45.120503652039325
1739209689.2016807;-45.120503652039325
1739209689.2016945;-38.13080360867914
1739209689.201708;-35.57807855764607
1739209689.2017217;-35.57807855764607
1739209689.2017353;-45.120503652039325
1739209689.2017488;-33.981070128970906
1739209689.2017624;-35.57807855764607
1739209689.2017763;-45.120503652039325
1739209689.2017899;-38.13080360867914
1739209689.2018034;-38.13080360867914
1739209689.201817;-38.13080360867914
1739209689.2018306;-38.13080360867914
1739209689.2018442;-45.120503652039325
1739209689.201858;-45.120503652039325
1739209689.2018716;-45.120503652039325
1739209689.2018852;-45.120503652039325
