CAN Message; 0x1d3:00004b26ad21d818
Timestamp;Amplitude
1739209807.093715;-38.13080360867914
1739209807.0937207;-38.13080360867914
1739209807.0937266;-45.120503652039325
1739209807.0937324;-45.120503652039325
1739209807.093738;-38.13080360867914
1739209807.0937438;-32.816014438256545
1739209807.0937498;-45.120503652039325
1739209807.0937555;-38.13080360867914
1739209807.0937612;-38.13080360867914
1739209807.093767;-38.13080360867914
1739209807.093773;-38.13080360867914
1739209807.0937786;-45.120503652039325
1739209807.0937843;-38.13080360867914
1739209807.0937903;-35.57807855764607
1739209807.093796;-38.13080360867914
1739209807.0938017;-38.13080360867914
1739209807.0938075;-33.981070128970906
1739209807.0938134;-38.13080360867914
1739209807.0938191;-45.120503652039325
1739209807.0938249;-38.13080360867914
1739209807.0938306;-38.13080360867914
1739209807.0938365;-33.981070128970906
1739209807.0938423;-45.120503652039325
1739209807.093848;-38.13080360867914
1739209807.093854;-33.981070128970906
1739209807.0938597;-38.13080360867914
1739209807.0938654;-38.13080360867914
1739209807.093871;-38.13080360867914
1739209807.093877;-32.816014438256545
1739209807.0938828;-33.981070128970906
1739209807.0938885;-45.120503652039325
1739209807.0938945;-38.13080360867914
1739209807.0939002;-38.13080360867914
1739209807.093906;-38.13080360867914
1739209807.0939116;-38.13080360867914
1739209807.0939176;-38.13080360867914
1739209807.0939233;-45.120503652039325
1739209807.093929;-38.13080360867914
1739209807.0939348;-38.13080360867914
1739209807.0939407;-45.120503652039325
1739209807.0939465;-45.120503652039325
1739209807.0939522;-45.120503652039325
1739209807.0939581;-45.120503652039325
1739209807.0939639;-31.141103565318915
1739209807.0939696;-38.13080360867914
1739209807.0939753;-38.13080360867914
1739209807.0939813;-45.120503652039325
1739209807.093987;-38.13080360867914
1739209807.0939927;-38.13080360867914
1739209807.0939987;-38.13080360867914
1739209807.0940044;-35.57807855764607
1739209807.09401;-45.120503652039325
1739209807.0940158;-45.120503652039325
1739209807.0940218;-45.120503652039325
1739209807.0940275;-38.13080360867914
1739209807.0940332;-38.13080360867914
1739209807.094039;-31.141103565318915
1739209807.094045;-38.13080360867914
1739209807.0940506;-45.120503652039325
1739209807.0940564;-38.13080360867914
1739209807.0940623;-45.120503652039325
1739209807.094068;-45.120503652039325
1739209807.0940738;-38.13080360867914
1739209807.0940795;-33.981070128970906
1739209807.0940855;-30.49652367304973
1739209807.0940912;-45.120503652039325
1739209807.094097;-45.120503652039325
1739209807.0941026;-45.120503652039325
1739209807.0941086;-38.13080360867914
1739209807.0941143;-45.120503652039325
1739209807.09412;-45.120503652039325
1739209807.094126;-38.13080360867914
1739209807.0941317;-33.981070128970906
1739209807.0941374;-45.120503652039325
1739209807.0941432;-45.120503652039325
1739209807.094149;-45.120503652039325
1739209807.0941548;-45.120503652039325
1739209807.0941606;-38.13080360867914
1739209807.0941665;-35.57807855764607
1739209807.0941722;-38.13080360867914
1739209807.094178;-33.981070128970906
1739209807.0941837;-38.13080360867914
1739209807.0941896;-38.13080360867914
1739209807.0941954;-45.120503652039325
1739209807.094201;-38.13080360867914
1739209807.0942068;-45.120503652039325
1739209807.0942128;-45.120503652039325
1739209807.0942185;-38.13080360867914
1739209807.0942242;-29.438486411369347
1739209807.0942302;-38.13080360867914
1739209807.094236;-38.13080360867914
1739209807.0942416;-45.120503652039325
1739209807.0942473;-38.13080360867914
1739209807.0942533;-38.13080360867914
1739209807.094259;-38.13080360867914
1739209807.0942647;-45.120503652039325
1739209807.0942707;-27.267205301931607
1739209807.0942764;-35.57807855764607
1739209807.0942822;-38.13080360867914
1739209807.0942879;-38.13080360867914
1739209807.0942938;-33.981070128970906
1739209807.0942996;-45.120503652039325
1739209807.0943053;-45.120503652039325
1739209807.094311;-45.120503652039325
1739209807.094317;-45.120503652039325
1739209807.0943227;-38.13080360867914
1739209807.0943284;-38.13080360867914
1739209807.0943344;-45.120503652039325
1739209807.09434;-33.981070128970906
1739209807.0943458;-35.57807855764607
1739209807.0943515;-38.13080360867914
1739209807.0943575;-45.120503652039325
1739209807.0943632;-45.120503652039325
1739209807.094369;-38.13080360867914
1739209807.0943747;-45.120503652039325
1739209807.0943806;-45.120503652039325
