CAN Message; 0x1bb:00000e037fb9f9df
Timestamp;Amplitude
1739209696.6621075;-38.13080360867914
1739209696.6621141;-45.120503652039325
1739209696.6621208;-32.816014438256545
1739209696.6621273;-33.981070128970906
1739209696.662134;-35.57807855764607
1739209696.6621406;-38.13080360867914
1739209696.6621473;-45.120503652039325
1739209696.662154;-38.13080360867914
1739209696.6621606;-35.57807855764607
1739209696.6621673;-38.13080360867914
1739209696.662174;-45.120503652039325
1739209696.6621807;-38.13080360867914
1739209696.662187;-38.13080360867914
1739209696.6621938;-45.120503652039325
1739209696.6622005;-38.13080360867914
1739209696.6622071;-33.981070128970906
1739209696.6622138;-45.120503652039325
1739209696.6622205;-33.981070128970906
1739209696.6622272;-45.120503652039325
1739209696.6622338;-45.120503652039325
1739209696.6622405;-45.120503652039325
1739209696.6622472;-45.120503652039325
1739209696.6622536;-45.120503652039325
1739209696.6622603;-45.120503652039325
1739209696.662267;-31.141103565318893
1739209696.6622736;-38.13080360867914
1739209696.6622803;-38.13080360867914
1739209696.662287;-32.816014438256545
1739209696.6622937;-35.57807855764607
1739209696.6623003;-38.13080360867914
1739209696.662307;-38.13080360867914
1739209696.6623135;-38.13080360867914
1739209696.6623201;-45.120503652039325
1739209696.6623268;-38.13080360867914
1739209696.6623335;-45.120503652039325
1739209696.6623402;-38.13080360867914
1739209696.6623468;-35.57807855764607
1739209696.6623535;-38.13080360867914
1739209696.6623602;-45.120503652039325
1739209696.6623669;-45.120503652039325
1739209696.6623735;-45.120503652039325
1739209696.66238;-38.13080360867914
1739209696.6623867;-32.816014438256545
1739209696.6623933;-38.13080360867914
1739209696.6624;-45.120503652039325
1739209696.6624067;-38.13080360867914
1739209696.6624134;-38.13080360867914
1739209696.66242;-38.13080360867914
1739209696.6624267;-38.13080360867914
1739209696.6624334;-38.13080360867914
1739209696.66244;-38.13080360867914
1739209696.6624465;-35.57807855764607
1739209696.6624532;-33.981070128970906
1739209696.6624599;-45.120503652039325
1739209696.6624665;-45.120503652039325
1739209696.6624732;-38.13080360867914
1739209696.6624799;-38.13080360867914
1739209696.6624866;-38.13080360867914
1739209696.6624932;-38.13080360867914
1739209696.6625;-38.13080360867914
1739209696.6625063;-45.120503652039325
1739209696.662513;-38.13080360867914
1739209696.6625197;-45.120503652039325
1739209696.6625264;-45.120503652039325
1739209696.662533;-38.13080360867914
1739209696.6625397;-45.120503652039325
1739209696.6625464;-38.13080360867914
1739209696.662553;-31.141103565318915
1739209696.6625597;-33.981070128970906
1739209696.6625664;-35.57807855764607
1739209696.6625729;-38.13080360867914
1739209696.6625795;-38.13080360867914
1739209696.6625862;-33.981070128970906
1739209696.662593;-45.120503652039325
1739209696.6625996;-45.120503652039325
1739209696.6626062;-45.120503652039325
1739209696.662613;-38.13080360867914
1739209696.6626196;-38.13080360867914
1739209696.6626263;-45.120503652039325
1739209696.6626327;-38.13080360867914
1739209696.6626394;-45.120503652039325
1739209696.662646;-38.13080360867914
1739209696.6626527;-45.120503652039325
1739209696.6626594;-38.13080360867914
1739209696.662666;-35.57807855764607
1739209696.6626728;-45.120503652039325
1739209696.6626794;-35.57807855764607
1739209696.662686;-33.981070128970906
1739209696.6626928;-45.120503652039325
1739209696.6626992;-38.13080360867914
1739209696.662706;-38.13080360867914
1739209696.6627126;-35.57807855764607
1739209696.6627192;-33.981070128970906
1739209696.662726;-38.13080360867914
1739209696.6627326;-32.816014438256545
1739209696.6627393;-38.13080360867914
1739209696.662746;-38.13080360867914
1739209696.6627526;-45.120503652039325
1739209696.662759;-38.13080360867914
1739209696.6627657;-45.120503652039325
1739209696.6627724;-38.13080360867914
1739209696.662779;-33.981070128970906
1739209696.6627858;-38.13080360867914
1739209696.6627924;-38.13080360867914
1739209696.6627991;-45.120503652039325
1739209696.6628058;-38.13080360867914
1739209696.6628125;-45.120503652039325
1739209696.6628191;-33.981070128970906
1739209696.6628256;-30.49652367304973
1739209696.6628323;-38.13080360867914
1739209696.662839;-35.57807855764607
1739209696.6628456;-38.13080360867914
1739209696.6628523;-38.13080360867914
1739209696.662859;-38.13080360867914
1739209696.6628656;-35.57807855764607
1739209696.6628723;-45.120503652039325
1739209696.662879;-38.13080360867914
1739209696.6628857;-38.13080360867914
1739209696.662892;-45.120503652039325
1739209696.6628988;-38.13080360867914
1739209696.6629055;-35.57807855764607
1739209696.6629121;-38.13080360867914
1739209696.6629188;-45.120503652039325
1739209696.6629255;-45.120503652039325
1739209696.6629322;-45.120503652039325
1739209696.6629388;-38.13080360867914
1739209696.6629455;-45.120503652039325
1739209696.662952;-45.120503652039325
1739209696.6629586;-38.13080360867914
1739209696.6629653;-32.816014438256545
1739209696.662972;-45.120503652039325
1739209696.6629786;-35.57807855764607
1739209696.6629853;-27.8777449560314
1739209696.662992;-38.13080360867914
1739209696.6629987;-45.120503652039325
1739209696.6630054;-38.13080360867914
1739209696.663012;-38.13080360867914
1739209696.6630185;-45.120503652039325
1739209696.6630251;-38.13080360867914
1739209696.6630318;-45.120503652039325
1739209696.6630385;-45.120503652039325
1739209696.6630452;-45.120503652039325
1739209696.6630518;-45.120503652039325
1739209696.6630585;-45.120503652039325
1739209696.6630652;-38.13080360867914
1739209696.6630719;-45.120503652039325
1739209696.6630783;-38.13080360867914
1739209696.663085;-45.120503652039325
1739209696.6630917;-45.120503652039325
1739209696.6630983;-38.13080360867914
1739209696.663105;-45.120503652039325
1739209696.6631117;-45.120503652039325
1739209696.6631184;-45.120503652039325
1739209696.663125;-35.57807855764607
1739209696.6631317;-35.57807855764607
1739209696.6631384;-38.13080360867914
1739209696.6631448;-32.816014438256545
1739209696.6631515;-38.13080360867914
1739209696.6631582;-45.120503652039325
1739209696.6631649;-38.13080360867914
1739209696.6631715;-45.120503652039325
1739209696.6631782;-38.13080360867914
1739209696.663185;-45.120503652039325
1739209696.6631916;-45.120503652039325
1739209696.6631982;-45.120503652039325
1739209696.6632047;-45.120503652039325
1739209696.6632113;-38.13080360867914
1739209696.663218;-38.13080360867914
1739209696.6632247;-31.141103565318893
1739209696.6632314;-33.981070128970906
1739209696.663238;-45.120503652039325
1739209696.6632447;-38.13080360867914
1739209696.6632514;-38.13080360867914
1739209696.663258;-38.13080360867914
1739209696.6632648;-45.120503652039325
1739209696.6632712;-45.120503652039325
1739209696.6632779;-45.120503652039325
1739209696.6632845;-33.981070128970906
1739209696.6632912;-45.120503652039325
1739209696.663298;-45.120503652039325
1739209696.6633046;-38.13080360867914
1739209696.6633112;-38.13080360867914
1739209696.663318;-45.120503652039325
1739209696.6633246;-45.120503652039325
1739209696.6633313;-32.816014438256545
1739209696.6633377;-38.13080360867914
1739209696.6633444;-45.120503652039325
1739209696.663351;-45.120503652039325
1739209696.6633577;-31.141103565318893
1739209696.6633644;-31.141103565318915
1739209696.663371;-45.120503652039325
1739209696.6633778;-38.13080360867914
1739209696.6633844;-35.57807855764607
1739209696.663391;-38.13080360867914
1739209696.6633976;-45.120503652039325
1739209696.6634042;-45.120503652039325
1739209696.663411;-45.120503652039325
1739209696.6634176;-38.13080360867914
1739209696.6634243;-35.57807855764607
1739209696.663431;-38.13080360867914
1739209696.6634376;-45.120503652039325
1739209696.6634443;-38.13080360867914
1739209696.663451;-35.57807855764607
1739209696.6634576;-45.120503652039325
1739209696.663464;-45.120503652039325
1739209696.6634707;-38.13080360867914
1739209696.6634774;-35.57807855764607
1739209696.663484;-38.13080360867914
1739209696.6634908;-38.13080360867914
1739209696.6634974;-35.57807855764607
1739209696.6635041;-45.120503652039325
1739209696.6635108;-38.13080360867914
1739209696.6635175;-35.57807855764607
1739209696.663524;-31.141103565318915
1739209696.6635306;-45.120503652039325
1739209696.6635373;-45.120503652039325
1739209696.663544;-45.120503652039325
1739209696.6635506;-45.120503652039325
1739209696.6635573;-35.57807855764607
1739209696.663564;-45.120503652039325
1739209696.6635706;-32.816014438256545
1739209696.6635773;-33.981070128970906
1739209696.663584;-45.120503652039325
1739209696.6635904;-38.13080360867914
1739209696.663597;-35.57807855764607
1739209696.6636038;-45.120503652039325
1739209696.6636105;-45.120503652039325
1739209696.6636171;-38.13080360867914
1739209696.6636238;-38.13080360867914
1739209696.6636305;-28.992665084841942
1739209696.6636372;-45.120503652039325
1739209696.6636438;-38.13080360867914
1739209696.6636503;-35.57807855764607
1739209696.663657;-33.981070128970906
1739209696.6636636;-45.120503652039325
1739209696.6636703;-38.13080360867914
1739209696.663677;-38.13080360867914
1739209696.6636837;-38.13080360867914
1739209696.6636903;-38.13080360867914
1739209696.663697;-38.13080360867914
1739209696.6637037;-38.13080360867914
1739209696.6637104;-38.13080360867914
1739209696.6637168;-45.120503652039325
1739209696.6637235;-38.13080360867914
1739209696.6637301;-38.13080360867914
1739209696.6637368;-31.141103565318915
1739209696.6637435;-45.120503652039325
1739209696.6637502;-45.120503652039325
1739209696.6637568;-45.120503652039325
1739209696.6637635;-38.13080360867914
1739209696.6637702;-45.120503652039325
1739209696.6637769;-45.120503652039325
1739209696.6637833;-45.120503652039325
1739209696.66379;-31.141103565318915
1739209696.6637967;-38.13080360867914
1739209696.6638033;-35.57807855764607
1739209696.66381;-38.13080360867914
1739209696.6638167;-38.13080360867914
1739209696.6638234;-33.981070128970906
1739209696.66383;-38.13080360867914
1739209696.6638367;-45.120503652039325
1739209696.6638432;-45.120503652039325
1739209696.6638498;-35.57807855764607
1739209696.6638565;-35.57807855764607
1739209696.6638632;-45.120503652039325
1739209696.6638699;-38.13080360867914
1739209696.6638765;-35.57807855764607
1739209696.6638832;-45.120503652039325
1739209696.66389;-38.13080360867914
1739209696.6638966;-38.13080360867914
1739209696.6639032;-38.13080360867914
1739209696.6639097;-33.981070128970906
1739209696.6639163;-45.120503652039325
1739209696.663923;-38.13080360867914
1739209696.6639297;-45.120503652039325
1739209696.6639364;-38.13080360867914
1739209696.663943;-45.120503652039325
1739209696.6639497;-38.13080360867914
1739209696.6639564;-38.13080360867914
1739209696.663963;-38.13080360867914
1739209696.6639695;-45.120503652039325
1739209696.6639762;-45.120503652039325
1739209696.6639829;-35.57807855764607
1739209696.6639895;-38.13080360867914
1739209696.6639962;-38.13080360867914
1739209696.664003;-38.13080360867914
1739209696.6640096;-45.120503652039325
1739209696.6640162;-38.13080360867914
1739209696.664023;-38.13080360867914
1739209696.6640296;-45.120503652039325
1739209696.664036;-45.120503652039325
1739209696.6640427;-38.13080360867914
1739209696.6640494;-38.13080360867914
1739209696.664056;-38.13080360867914
1739209696.6640627;-45.120503652039325
1739209696.6640694;-38.13080360867914
1739209696.664076;-45.120503652039325
1739209696.6640828;-33.981070128970906
1739209696.6640894;-45.120503652039325
1739209696.6640959;-45.120503652039325
1739209696.6641026;-45.120503652039325
1739209696.6641092;-45.120503652039325
1739209696.664116;-35.57807855764607
1739209696.6641226;-38.13080360867914
1739209696.6641293;-45.120503652039325
1739209696.664136;-45.120503652039325
1739209696.6641426;-35.57807855764607
1739209696.6641493;-33.981070128970906
1739209696.664156;-38.13080360867914
1739209696.6641624;-45.120503652039325
1739209696.664169;-45.120503652039325
1739209696.6641757;-45.120503652039325
1739209696.6641824;-38.13080360867914
1739209696.664189;-38.13080360867914
1739209696.6641958;-38.13080360867914
1739209696.6642025;-38.13080360867914
1739209696.6642091;-38.13080360867914
1739209696.6642158;-45.120503652039325
1739209696.6642222;-45.120503652039325
1739209696.664229;-45.120503652039325
1739209696.6642356;-45.120503652039325
1739209696.6642423;-35.57807855764607
1739209696.664249;-32.816014438256545
1739209696.6642556;-45.120503652039325
1739209696.6642623;-38.13080360867914
1739209696.664269;-38.13080360867914
1739209696.6642756;-26.035653463252796
1739209696.6642823;-32.816014438256545
1739209696.6642888;-45.120503652039325
1739209696.6642954;-38.13080360867914
1739209696.664302;-35.57807855764607
1739209696.6643088;-38.13080360867914
1739209696.6643155;-45.120503652039325
1739209696.6643221;-45.120503652039325
1739209696.6643288;-45.120503652039325
1739209696.6643355;-45.120503652039325
1739209696.6643422;-45.120503652039325
1739209696.6643488;-45.120503652039325
1739209696.6643553;-45.120503652039325
1739209696.664362;-38.13080360867914
1739209696.6643686;-45.120503652039325
1739209696.6643753;-38.13080360867914
1739209696.664382;-38.13080360867914
1739209696.6643887;-45.120503652039325
1739209696.6643953;-35.57807855764607
1739209696.664402;-45.120503652039325
1739209696.6644087;-45.120503652039325
1739209696.6644151;-45.120503652039325
1739209696.6644218;-32.816014438256545
1739209696.6644285;-38.13080360867914
1739209696.6644351;-29.438486411369333
1739209696.6644418;-35.57807855764607
1739209696.6644485;-45.120503652039325
1739209696.6644552;-38.13080360867914
1739209696.6644619;-45.120503652039325
1739209696.6644685;-38.13080360867914
1739209696.6644752;-38.13080360867914
1739209696.6644816;-45.120503652039325
1739209696.6644883;-45.120503652039325
1739209696.664495;-38.13080360867914
1739209696.6645017;-38.13080360867914
1739209696.6645083;-38.13080360867914
1739209696.664515;-38.13080360867914
1739209696.6645217;-33.981070128970906
1739209696.6645284;-45.120503652039325
1739209696.664535;-33.981070128970906
