CAN Message; 0x77:1fa54a9f3646b5be
1739209774.933842;-45.120503652039325
1739209774.933848;-33.981070128970906
1739209774.9338536;-38.13080360867914
1739209774.9338596;-38.13080360867914
1739209774.9338655;-45.120503652039325
1739209774.9338713;-38.13080360867914
1739209774.9338772;-35.57807855764607
1739209774.9338832;-38.13080360867914
1739209774.9338892;-38.13080360867914
1739209774.9338949;-45.120503652039325
1739209774.9339008;-32.816014438256545
1739209774.9339068;-38.13080360867914
1739209774.9339125;-45.120503652039325
1739209774.9339185;-38.13080360867914
1739209774.9339244;-35.57807855764607
1739209774.9339304;-38.13080360867914
1739209774.933936;-38.13080360867914
1739209774.933942;-45.120503652039325
1739209774.933948;-45.120503652039325
1739209774.933954;-38.13080360867914
1739209774.9339597;-38.13080360867914
1739209774.9339657;-45.120503652039325
1739209774.9339716;-45.120503652039325
1739209774.9339774;-45.120503652039325
1739209774.9339833;-45.120503652039325
1739209774.9339893;-38.13080360867914
1739209774.9339952;-38.13080360867914
1739209774.934001;-45.120503652039325
1739209774.934007;-33.981070128970906
1739209774.934013;-45.120503652039325
1739209774.9340189;-32.816014438256545
1739209774.9340246;-45.120503652039325
1739209774.938806;-33.981070128970906
1739209774.9388127;-45.120503652039325
1739209774.9388192;-45.120503652039325
1739209774.9388256;-45.120503652039325
1739209774.9388323;-38.13080360867914
1739209774.9388387;-33.981070128970906
1739209774.9388452;-38.13080360867914
1739209774.9388516;-45.120503652039325
1739209774.9388583;-38.13080360867914
1739209774.9388647;-33.981070128970906
1739209774.9388711;-45.120503652039325
1739209774.9388778;-33.981070128970906
1739209774.9388843;-25.077289914212862
1739209774.9388907;-38.13080360867914
1739209774.9388974;-45.120503652039325
1739209774.9389038;-45.120503652039325
1739209774.9389102;-32.816014438256545
1739209774.938917;-38.13080360867914
1739209774.9389234;-45.120503652039325
1739209774.9389298;-45.120503652039325
1739209774.9389362;-45.120503652039325
1739209774.938943;-45.120503652039325
1739209774.9389493;-45.120503652039325
1739209774.9389558;-45.120503652039325
1739209774.9389625;-45.120503652039325
1739209774.938969;-45.120503652039325
1739209774.9389753;-45.120503652039325
1739209774.938982;-38.13080360867914
1739209774.9389884;-32.816014438256545
1739209774.938995;-38.13080360867914
1739209774.9390016;-45.120503652039325
1739209774.939008;-38.13080360867914
1739209774.9390144;-38.13080360867914
1739209774.9390209;-45.120503652039325
1739209774.9390275;-45.120503652039325
1739209774.939034;-45.120503652039325
1739209774.9390404;-38.13080360867914
1739209774.939047;-38.13080360867914
1739209774.9390535;-45.120503652039325
1739209774.93906;-38.13080360867914
1739209774.9390666;-35.57807855764607
1739209774.939073;-45.120503652039325
1739209774.9390795;-45.120503652039325
1739209774.9390862;-35.57807855764607
1739209774.9390926;-45.120503652039325
1739209774.939099;-38.13080360867914
1739209774.9391055;-35.57807855764607
1739209774.9391122;-45.120503652039325
1739209774.9391186;-45.120503652039325
1739209774.939125;-38.13080360867914
1739209774.9391317;-38.13080360867914
1739209774.9391382;-45.120503652039325
1739209774.9391446;-27.8777449560314
1739209774.9391513;-32.816014438256545
1739209774.9391577;-45.120503652039325
1739209774.9391642;-38.13080360867914
1739209774.9391708;-32.816014438256545
1739209774.9391773;-45.120503652039325
1739209774.9391837;-45.120503652039325
1739209774.9391901;-45.120503652039325
1739209774.9391968;-38.13080360867914
1739209774.9392033;-45.120503652039325
1739209774.9392097;-38.13080360867914
1739209774.9392164;-45.120503652039325
1739209774.9392228;-45.120503652039325
1739209774.9392292;-35.57807855764607
1739209774.939236;-38.13080360867914
1739209774.9392424;-45.120503652039325
1739209774.9392488;-30.49652367304973
1739209774.9392555;-35.57807855764607
1739209774.939262;-38.13080360867914
1739209774.9392684;-38.13080360867914
1739209774.9392748;-45.120503652039325
1739209774.9392815;-45.120503652039325
1739209774.939288;-45.120503652039325
1739209774.9392943;-45.120503652039325
1739209774.939301;-45.120503652039325
1739209774.9393075;-38.13080360867914
1739209774.939314;-38.13080360867914
1739209774.9393206;-38.13080360867914
1739209774.939327;-35.57807855764607
1739209774.9393334;-35.57807855764607
1739209774.93934;-35.57807855764607
1739209774.9393466;-38.13080360867914
1739209774.939353;-38.13080360867914
1739209774.9393594;-45.120503652039325
1739209774.939366;-45.120503652039325
1739209774.9393725;-38.13080360867914
1739209774.939379;-45.120503652039325
1739209774.9393857;-45.120503652039325
1739209774.939392;-38.13080360867914
1739209774.9393985;-38.13080360867914
1739209774.9394052;-38.13080360867914
1739209774.9394116;-38.13080360867914
1739209774.939418;-45.120503652039325
1739209774.9394248;-38.13080360867914
1739209774.9394312;-33.981070128970906
1739209774.9394376;-35.57807855764607
1739209774.939444;-45.120503652039325
1739209774.9394507;-38.13080360867914
1739209774.9394572;-38.13080360867914
1739209774.9394636;-38.13080360867914
1739209774.9394703;-45.120503652039325
1739209774.9394767;-35.57807855764607
1739209774.9394832;-32.816014438256545
1739209774.9394898;-45.120503652039325
1739209774.9394963;-45.120503652039325
1739209774.9395027;-45.120503652039325
1739209774.9395094;-33.981070128970906
1739209774.9395158;-33.981070128970906
1739209774.9395223;-38.13080360867914
1739209774.9395287;-33.981070128970906
1739209774.9395354;-35.57807855764607
1739209774.9395418;-35.57807855764607
1739209774.9395483;-38.13080360867914
1739209774.939555;-38.13080360867914
1739209774.9395614;-38.13080360867914
1739209774.9395678;-38.13080360867914
1739209774.9395745;-45.120503652039325
1739209774.939581;-45.120503652039325
1739209774.9395874;-45.120503652039325
1739209774.939594;-45.120503652039325
1739209774.9396005;-38.13080360867914
1739209774.939607;-38.13080360867914
1739209774.9396133;-45.120503652039325
1739209774.93962;-45.120503652039325
1739209774.9396265;-45.120503652039325
1739209774.939633;-45.120503652039325
1739209774.9396396;-38.13080360867914
1739209774.939646;-35.57807855764607
1739209774.9396524;-38.13080360867914
1739209774.939659;-38.13080360867914
1739209774.9396656;-45.120503652039325
1739209774.939672;-45.120503652039325
1739209774.9396787;-45.120503652039325
1739209774.939685;-38.13080360867914
1739209774.9396915;-35.57807855764607
1739209774.939698;-38.13080360867914
1739209774.9397047;-35.57807855764607
1739209774.939711;-32.816014438256545
1739209774.9397175;-32.816014438256545
1739209774.9397242;-45.120503652039325
1739209774.9397306;-45.120503652039325
1739209774.939737;-38.13080360867914
1739209774.9397438;-38.13080360867914
1739209774.9397502;-38.13080360867914
1739209774.9397566;-45.120503652039325
1739209774.9397633;-38.13080360867914
1739209774.9397697;-45.120503652039325
1739209774.9397762;-32.816014438256545
1739209774.9397826;-33.981070128970906
1739209774.9397893;-45.120503652039325
1739209774.9397957;-45.120503652039325
1739209774.9398022;-38.13080360867914
1739209774.9398088;-38.13080360867914
1739209774.9398153;-45.120503652039325
1739209774.9398217;-45.120503652039325
1739209774.9398284;-45.120503652039325
1739209774.9398348;-38.13080360867914
1739209774.9398413;-38.13080360867914
1739209774.939848;-38.13080360867914
1739209774.9398544;-45.120503652039325
1739209774.9398608;-45.120503652039325
1739209774.9398673;-45.120503652039325
1739209774.939874;-45.120503652039325
1739209774.9398804;-38.13080360867914
1739209774.9398868;-35.57807855764607
1739209774.9398935;-38.13080360867914
1739209774.9399;-45.120503652039325
1739209774.9399064;-38.13080360867914
1739209774.939913;-38.13080360867914
1739209774.9399195;-45.120503652039325
1739209774.939926;-33.981070128970906
1739209774.9399326;-33.981070128970906
1739209774.939939;-35.57807855764607
1739209774.9399455;-45.120503652039325
1739209774.939952;-45.120503652039325
1739209774.9399586;-45.120503652039325
1739209774.939965;-38.13080360867914
1739209774.9399714;-38.13080360867914
1739209774.9399781;-45.120503652039325
1739209774.9399846;-38.13080360867914
1739209774.939991;-38.13080360867914
1739209774.9399977;-38.13080360867914
1739209774.940004;-45.120503652039325
1739209774.9400105;-38.13080360867914
1739209774.9400172;-38.13080360867914
1739209774.9400237;-45.120503652039325
1739209774.94003;-35.57807855764607
1739209774.9400365;-38.13080360867914
1739209774.9400432;-35.57807855764607
1739209774.9400496;-45.120503652039325
1739209774.940056;-45.120503652039325
1739209774.9400628;-38.13080360867914
1739209774.9400692;-45.120503652039325
1739209774.9400756;-45.120503652039325
1739209774.9400823;-45.120503652039325
1739209774.9400887;-45.120503652039325
1739209774.9400952;-45.120503652039325
1739209774.9401019;-45.120503652039325
1739209774.9401083;-45.120503652039325
1739209774.9401147;-38.13080360867914
1739209774.9401212;-35.57807855764607
1739209774.9401278;-38.13080360867914
1739209774.9401343;-45.120503652039325
1739209774.9401407;-38.13080360867914
1739209774.9401474;-28.21854285175415
1739209774.9401538;-38.13080360867914
1739209774.9401603;-45.120503652039325
1739209774.940167;-45.120503652039325
1739209774.9401734;-45.120503652039325
1739209774.9401798;-45.120503652039325
1739209774.9401865;-45.120503652039325
1739209774.940193;-45.120503652039325
1739209774.9401994;-35.57807855764607
1739209774.9402058;-45.120503652039325
1739209774.9402125;-45.120503652039325
1739209774.940219;-38.13080360867914
1739209774.9402254;-45.120503652039325
1739209774.940232;-45.120503652039325
1739209774.9402385;-45.120503652039325
1739209774.940245;-33.981070128970906
1739209774.9402516;-26.991370085610736
1739209774.940258;-38.13080360867914
1739209774.9402645;-45.120503652039325
1739209774.9402711;-38.13080360867914
1739209774.9402776;-32.816014438256545
1739209774.940284;-45.120503652039325
1739209774.9402905;-45.120503652039325
1739209774.9402971;-38.13080360867914
1739209774.9403036;-45.120503652039325
1739209774.94031;-45.120503652039325
1739209774.9403167;-45.120503652039325
1739209774.940323;-45.120503652039325
1739209774.9403296;-45.120503652039325
1739209774.9403362;-45.120503652039325
1739209774.9403427;-45.120503652039325
1739209774.940349;-33.981070128970906
1739209774.9403558;-32.816014438256545
1739209774.9403622;-38.13080360867914
1739209774.9403687;-35.57807855764607
1739209774.940375;-38.13080360867914
1739209774.9403818;-35.57807855764607
1739209774.9403882;-38.13080360867914
1739209774.9403946;-45.120503652039325
1739209774.9404013;-45.120503652039325
1739209774.9404078;-38.13080360867914
1739209774.9404142;-38.13080360867914
1739209774.9404209;-45.120503652039325
1739209774.9404273;-38.13080360867914
1739209774.9404337;-45.120503652039325
1739209774.9404404;-45.120503652039325
1739209774.9404469;-45.120503652039325
1739209774.9404533;-38.13080360867914
1739209774.9404597;-45.120503652039325
1739209774.9404664;-45.120503652039325
1739209774.9404728;-32.816014438256545
1739209774.9404793;-38.13080360867914
1739209774.940486;-45.120503652039325
1739209774.9404924;-45.120503652039325
1739209774.9404988;-38.13080360867914
1739209774.9405055;-45.120503652039325
1739209774.940512;-31.141103565318915
1739209774.9405184;-30.49652367304973
1739209774.940525;-33.981070128970906
1739209774.9405315;-45.120503652039325
1739209774.940538;-45.120503652039325
1739209774.9405444;-38.13080360867914
1739209774.940551;-38.13080360867914
1739209774.9405575;-33.981070128970906
1739209774.940564;-38.13080360867914
1739209774.9405706;-32.81601443825658
1739209774.940577;-35.57807855764607
1739209774.9405835;-45.120503652039325
1739209774.9405901;-45.120503652039325
1739209774.9405966;-45.120503652039325
1739209774.940603;-45.120503652039325
1739209774.9406097;-45.120503652039325
1739209774.9406161;-38.13080360867914
1739209774.9406226;-33.981070128970906
1739209774.940629;-45.120503652039325
1739209774.9406357;-38.13080360867914
1739209774.940642;-45.120503652039325
1739209774.9406486;-38.13080360867914
1739209774.9406552;-38.13080360867914
1739209774.9406617;-45.120503652039325
1739209774.940668;-45.120503652039325
1739209774.9406748;-38.13080360867914
1739209774.9406812;-45.120503652039325
1739209774.9406877;-45.120503652039325
1739209774.9406943;-33.981070128970906
1739209774.9407008;-38.13080360867914
1739209774.9407072;-38.13080360867914
1739209774.9407136;-38.13080360867914
1739209774.9407203;-38.13080360867914
1739209774.9407268;-45.120503652039325
1739209774.9407332;-38.13080360867914
1739209774.9407399;-38.13080360867914
1739209774.9407463;-45.120503652039325
1739209774.9407527;-45.120503652039325
1739209774.9407594;-38.13080360867914
1739209774.9407659;-45.120503652039325
1739209774.9407723;-38.13080360867914
1739209774.940779;-33.981070128970906
1739209774.9407854;-35.57807855764607
1739209774.9407918;-38.13080360867914
1739209774.9407983;-38.13080360867914
1739209774.940805;-38.13080360867914
1739209774.9408114;-35.57807855764607
1739209774.9408178;-38.13080360867914
1739209774.9408245;-38.13080360867914
1739209774.940831;-38.13080360867914
1739209774.9408374;-45.120503652039325
1739209774.940844;-45.120503652039325
1739209774.9408505;-35.57807855764607
1739209774.940857;-45.120503652039325
1739209774.9408636;-45.120503652039325
1739209774.94087;-45.120503652039325
1739209774.9408765;-45.120503652039325
1739209774.940883;-38.13080360867914
1739209774.9408896;-38.13080360867914
1739209774.940896;-38.13080360867914
1739209774.9409025;-38.13080360867914
1739209774.9409091;-38.13080360867914
1739209774.9409156;-38.13080360867914
1739209774.940922;-45.120503652039325
1739209774.9409287;-32.816014438256545
1739209774.9409351;-38.13080360867914
1739209774.9409416;-45.120503652039325
1739209774.9409482;-38.13080360867914
1739209774.9409547;-45.120503652039325
1739209774.9409611;-45.120503652039325
1739209774.9409676;-45.120503652039325
1739209774.9409742;-38.13080360867914
1739209774.9409807;-35.57807855764607
1739209774.940987;-38.13080360867914
1739209774.9409938;-38.13080360867914
1739209774.9410002;-38.13080360867914
1739209774.9410067;-45.120503652039325
1739209774.9410133;-38.13080360867914
1739209774.9410198;-33.981070128970906
1739209774.9410262;-45.120503652039325
1739209774.941033;-45.120503652039325
1739209774.9410393;-45.120503652039325
1739209774.9410458;-45.120503652039325
1739209774.9410522;-45.120503652039325
1739209774.9410589;-38.13080360867914
1739209774.9410653;-38.13080360867914
1739209774.9410717;-38.13080360867914
1739209774.9410784;-38.13080360867914
1739209774.9410849;-38.13080360867914
1739209774.9410913;-45.120503652039325
1739209774.941098;-45.120503652039325
1739209774.9411044;-35.57807855764607
1739209774.9411108;-45.120503652039325
1739209774.9411175;-38.13080360867914
1739209774.941124;-38.13080360867914
1739209774.9411304;-33.981070128970906
1739209774.9411368;-45.120503652039325
1739209774.9411435;-35.57807855764607
1739209774.94115;-32.816014438256545
1739209774.9411564;-38.13080360867914
1739209774.941163;-45.120503652039325
1739209774.9411695;-45.120503652039325
1739209774.941176;-32.816014438256545
1739209774.9411826;-45.120503652039325
1739209774.941189;-45.120503652039325
1739209774.9411955;-45.120503652039325
1739209774.9412022;-45.120503652039325
1739209774.9412086;-45.120503652039325
1739209774.941215;-45.120503652039325
1739209774.9412215;-45.120503652039325
1739209774.9412282;-45.120503652039325
1739209774.9412346;-38.13080360867914
1739209774.941241;-38.13080360867914
1739209774.9412477;-45.120503652039325
1739209774.9412541;-35.57807855764607
1739209774.9412606;-45.120503652039325
1739209774.9412673;-38.13080360867914
1739209774.9412737;-35.57807855764607
1739209774.9412801;-38.13080360867914
1739209774.9412868;-45.120503652039325
1739209774.9412932;-45.120503652039325
1739209774.9412997;-38.13080360867914
1739209774.941306;-45.120503652039325
1739209774.9413128;-45.120503652039325
1739209774.9413192;-38.13080360867914
1739209774.9413257;-45.120503652039325
1739209774.9413323;-45.120503652039325
1739209774.9413388;-45.120503652039325
1739209774.9413452;-45.120503652039325
1739209774.941352;-45.120503652039325
1739209774.9413583;-45.120503652039325
1739209774.9413648;-45.120503652039325
1739209774.9413714;-33.981070128970906
1739209774.9413779;-32.816014438256545
1739209774.9413843;-38.13080360867914
1739209774.9413908;-33.981070128970906
1739209774.9413974;-45.120503652039325
1739209774.9414039;-45.120503652039325
1739209774.9414103;-25.077289914212862
1739209774.941417;-33.981070128970906
1739209774.9414234;-45.120503652039325
1739209774.9414299;-35.57807855764607
1739209774.9414365;-35.57807855764607
1739209774.941443;-38.13080360867914
1739209774.9414494;-38.13080360867914
1739209774.941456;-45.120503652039325
1739209774.9414625;-38.13080360867914
1739209774.941469;-45.120503652039325
1739209774.9414754;-45.120503652039325
1739209774.941482;-45.120503652039325
1739209774.9414885;-45.120503652039325
1739209774.941495;-45.120503652039325
1739209774.9415016;-45.120503652039325
1739209774.941508;-45.120503652039325
1739209774.9415145;-29.438486411369333
1739209774.9415212;-38.13080360867914
1739209774.9415276;-45.120503652039325
1739209774.941534;-38.13080360867914
1739209774.9415407;-35.57807855764607
1739209774.9415472;-45.120503652039325
1739209774.9415536;-32.816014438256545
1739209774.94156;-35.57807855764607
1739209774.9415667;-45.120503652039325
1739209774.9415731;-45.120503652039325
1739209774.9415796;-38.13080360867914
1739209774.9415863;-38.13080360867914
1739209774.9415927;-45.120503652039325
1739209774.9415991;-45.120503652039325
1739209774.9416058;-45.120503652039325
1739209774.9416122;-45.120503652039325
1739209774.9416187;-45.120503652039325
1739209774.9416254;-38.13080360867914
1739209774.9416318;-35.57807855764607
1739209774.9416382;-45.120503652039325
1739209774.9416447;-38.13080360867914
1739209774.9416513;-45.120503652039325
1739209774.9416578;-38.13080360867914
1739209774.9416642;-45.120503652039325
1739209774.941671;-45.120503652039325
1739209774.9416773;-45.120503652039325
1739209774.9416838;-38.13080360867914
1739209774.9416904;-38.13080360867914
1739209774.941697;-45.120503652039325
1739209774.9417033;-45.120503652039325
1739209774.94171;-38.13080360867914
1739209774.9417164;-38.13080360867914
1739209774.9417229;-38.13080360867914
1739209774.9417293;-45.120503652039325
1739209774.941736;-45.120503652039325
1739209774.9417424;-45.120503652039325
1739209774.9417489;-45.120503652039325
1739209774.9417555;-38.13080360867914
1739209774.941762;-35.57807855764607
1739209774.9417684;-38.13080360867914
1739209774.941775;-38.13080360867914
1739209774.9417815;-38.13080360867914
1739209774.941788;-45.120503652039325
1739209774.9417946;-38.13080360867914
1739209774.941801;-45.120503652039325
1739209774.9418075;-38.13080360867914
1739209774.941814;-38.13080360867914
1739209774.9418206;-38.13080360867914
1739209774.941827;-38.13080360867914
1739209774.9418335;-38.13080360867914
1739209774.9418402;-45.120503652039325
1739209774.9418466;-38.13080360867914
1739209774.941853;-45.120503652039325
1739209774.9418597;-45.120503652039325
1739209774.9418662;-38.13080360867914
1739209774.9418726;-38.13080360867914
1739209774.9418793;-38.13080360867914
1739209774.9418857;-28.992665084841942
1739209774.9418921;-33.981070128970906
1739209774.9418986;-45.120503652039325
1739209774.9419053;-45.120503652039325
1739209774.9419117;-38.13080360867914
1739209774.9419181;-45.120503652039325
1739209774.9419248;-33.981070128970906
1739209774.9419312;-38.13080360867914
1739209774.9419377;-29.438486411369347
1739209774.9419444;-38.13080360867914
1739209774.9419508;-45.120503652039325
1739209774.9419572;-45.120503652039325
1739209774.941964;-45.120503652039325
1739209774.9419703;-38.13080360867914
1739209774.9419768;-45.120503652039325
1739209774.9419832;-38.13080360867914
1739209774.94199;-31.141103565318915
1739209774.9419963;-38.13080360867914
1739209774.9420028;-35.57807855764607
1739209774.9420094;-38.13080360867914
1739209774.942016;-35.57807855764607
1739209774.9420223;-35.57807855764607
1739209774.942029;-35.57807855764607
1739209774.9420354;-38.13080360867914
1739209774.9420419;-31.141103565318915
1739209774.9420485;-38.13080360867914
1739209774.942055;-38.13080360867914
1739209774.9420614;-45.120503652039325
1739209774.9420679;-45.120503652039325
1739209774.9420745;-38.13080360867914
1739209774.942081;-38.13080360867914
1739209774.9420874;-35.57807855764607
1739209774.942094;-31.141103565318915
1739209774.9421005;-45.120503652039325
1739209774.942107;-45.120503652039325
1739209774.9421136;-45.120503652039325
1739209774.94212;-38.13080360867914
1739209774.9421265;-38.13080360867914
1739209774.942133;-38.13080360867914
1739209774.9421396;-45.120503652039325
1739209774.942146;-38.13080360867914
1739209774.9421525;-35.57807855764607
1739209774.9421592;-38.13080360867914
1739209774.9421656;-45.120503652039325
1739209774.942172;-38.13080360867914
1739209774.9421787;-35.57807855764607
1739209774.9421852;-38.13080360867914
1739209774.9421916;-38.13080360867914
1739209774.9421983;-38.13080360867914
1739209774.9422047;-45.120503652039325
1739209774.9422112;-38.13080360867914
1739209774.9422176;-32.816014438256545
1739209774.9422243;-45.120503652039325
1739209774.9422307;-45.120503652039325
1739209774.9422371;-38.13080360867914
1739209774.9422438;-38.13080360867914
1739209774.9422503;-38.13080360867914
1739209774.9422567;-38.13080360867914
1739209774.9422634;-38.13080360867914
1739209774.9422698;-35.57807855764607
1739209774.9422762;-38.13080360867914
1739209774.942283;-45.120503652039325
1739209774.9422894;-45.120503652039325
1739209774.9422958;-38.13080360867914
1739209774.9423022;-35.57807855764607
1739209774.942309;-38.13080360867914
1739209774.9423153;-38.13080360867914
1739209774.9423218;-35.57807855764607
1739209774.9423285;-38.13080360867914
1739209774.942335;-45.120503652039325
1739209774.9423413;-45.120503652039325
1739209774.942348;-38.13080360867914
1739209774.9423544;-45.120503652039325
1739209774.9423609;-38.13080360867914
1739209774.9423676;-35.57807855764607
1739209774.942374;-35.57807855764607
1739209774.9423804;-33.981070128970906
1739209774.9423869;-31.141103565318893
1739209774.9423935;-38.13080360867914
1739209774.9424;-38.13080360867914
1739209774.9424064;-33.981070128970906
1739209774.942413;-38.13080360867914
1739209774.9424195;-45.120503652039325
1739209774.942426;-45.120503652039325
1739209774.9424326;-33.981070128970906
1739209774.942439;-45.120503652039325
1739209774.9424455;-38.13080360867914
1739209774.9424522;-38.13080360867914
1739209774.9424586;-45.120503652039325
1739209774.942465;-38.13080360867914
1739209774.9424715;-45.120503652039325
1739209774.9424782;-45.120503652039325
1739209774.9424846;-38.13080360867914
1739209774.942491;-35.57807855764607
1739209774.9424977;-38.13080360867914
1739209774.9425042;-45.120503652039325
1739209774.9425106;-38.13080360867914
1739209774.9425173;-35.57807855764607
