CAN Message; 0x98:0000d36f79917bc1
Timestamp;Amplitude
1739209610.166435;-32.81601443825658
1739209610.166437;-45.120503652039325
1739209610.166439;-38.13080360867914
1739209610.1664412;-38.13080360867914
1739209610.166443;-38.13080360867914
1739209610.1664453;-45.120503652039325
1739209610.1664472;-35.57807855764607
1739209610.1664493;-38.13080360867914
1739209610.1664512;-32.816014438256545
1739209610.1664534;-38.13080360867914
1739209610.1664555;-45.120503652039325
1739209610.1664574;-45.120503652039325
1739209610.1664596;-38.13080360867914
1739209610.1664615;-45.120503652039325
1739209610.1664636;-38.13080360867914
1739209610.1664655;-45.120503652039325
1739209610.1664677;-38.13080360867914
1739209610.1664696;-35.57807855764607
1739209610.1664717;-38.13080360867914
1739209610.1664739;-45.120503652039325
1739209610.1664758;-38.13080360867914
1739209610.166478;-38.13080360867914
1739209610.1664798;-45.120503652039325
1739209610.166482;-45.120503652039325
1739209610.1664839;-45.120503652039325
1739209610.166486;-38.13080360867914
1739209610.166488;-35.57807855764607
1739209610.16649;-45.120503652039325
1739209610.1664922;-45.120503652039325
1739209610.1664941;-45.120503652039325
1739209610.1664963;-38.13080360867914
1739209610.1664982;-45.120503652039325
1739209610.1665003;-31.141103565318893
1739209610.1665022;-29.438486411369333
1739209610.1665044;-45.120503652039325
1739209610.1665063;-35.57807855764607
1739209610.1665084;-32.816014438256545
1739209610.1665106;-38.13080360867914
1739209610.1665125;-38.13080360867914
1739209610.1665146;-35.57807855764607
1739209610.1665165;-45.120503652039325
1739209610.1665187;-35.57807855764607
1739209610.1665206;-35.57807855764607
1739209610.1665227;-35.57807855764607
1739209610.1665246;-38.13080360867914
1739209610.1665268;-45.120503652039325
1739209610.166529;-33.981070128970906
1739209610.1665308;-38.13080360867914
1739209610.166533;-35.57807855764607
1739209610.166535;-31.141103565318893
1739209610.166537;-38.13080360867914
1739209610.166539;-38.13080360867914
1739209610.166541;-35.57807855764607
1739209610.1665432;-38.13080360867914
1739209610.1665452;-45.120503652039325
1739209610.1665473;-32.816014438256545
1739209610.1665492;-45.120503652039325
1739209610.1665514;-38.13080360867914
1739209610.1665533;-38.13080360867914
1739209610.1665554;-45.120503652039325
1739209610.1665573;-45.120503652039325
1739209610.1665595;-38.13080360867914
1739209610.1665616;-38.13080360867914
1739209610.1665635;-45.120503652039325
1739209610.1665657;-35.57807855764607
1739209610.1665676;-29.438486411369333
1739209610.1665697;-45.120503652039325
1739209610.1665716;-38.13080360867914
1739209610.1665738;-38.13080360867914
1739209610.1665757;-45.120503652039325
1739209610.1665778;-45.120503652039325
1739209610.16658;-45.120503652039325
1739209610.1665819;-38.13080360867914
1739209610.166584;-45.120503652039325
1739209610.166586;-45.120503652039325
1739209610.166588;-45.120503652039325
1739209610.16659;-38.13080360867914
1739209610.1665921;-38.13080360867914
1739209610.166594;-38.13080360867914
1739209610.1665962;-45.120503652039325
1739209610.1665983;-45.120503652039325
1739209610.1666002;-45.120503652039325
1739209610.1666024;-38.13080360867914
1739209610.1666043;-38.13080360867914
1739209610.1666064;-38.13080360867914
1739209610.1666083;-38.13080360867914
1739209610.1666105;-45.120503652039325
1739209610.1666126;-38.13080360867914
1739209610.1666145;-38.13080360867914
1739209610.1666167;-45.120503652039325
1739209610.1666186;-45.120503652039325
1739209610.1666207;-38.13080360867914
1739209610.1666226;-38.13080360867914
1739209610.1666248;-33.981070128970906
1739209610.1666267;-38.13080360867914
1739209610.1666288;-38.13080360867914
1739209610.166631;-35.57807855764607
1739209610.166633;-38.13080360867914
1739209610.166635;-45.120503652039325
1739209610.166637;-45.120503652039325
1739209610.166639;-45.120503652039325
1739209610.166641;-45.120503652039325
1739209610.1666431;-45.120503652039325
1739209610.166645;-38.13080360867914
1739209610.1666472;-38.13080360867914
1739209610.1666493;-38.13080360867914
1739209610.1666512;-30.49652367304973
1739209610.1666534;-32.816014438256545
1739209610.1666553;-38.13080360867914
1739209610.1666574;-38.13080360867914
1739209610.1666594;-33.981070128970906
1739209610.1666615;-45.120503652039325
1739209610.1666634;-45.120503652039325
1739209610.1666656;-45.120503652039325
1739209610.1666677;-33.981070128970906
1739209610.1666696;-38.13080360867914
1739209610.1666718;-38.13080360867914
1739209610.1666737;-45.120503652039325
1739209610.1666758;-45.120503652039325
1739209610.1666777;-35.57807855764607
1739209610.1666799;-45.120503652039325
1739209610.166682;-33.981070128970906
1739209610.166684;-45.120503652039325
1739209610.166686;-38.13080360867914
1739209610.166688;-38.13080360867914
1739209610.16669;-38.13080360867914
1739209610.166692;-35.57807855764607
1739209610.1666942;-38.13080360867914
1739209610.166696;-38.13080360867914
1739209610.1666982;-38.13080360867914
1739209610.1667004;-38.13080360867914
1739209610.1667023;-33.981070128970906
1739209610.1667044;-38.13080360867914
1739209610.1667063;-45.120503652039325
1739209610.1667085;-45.120503652039325
1739209610.1667104;-45.120503652039325
1739209610.1667125;-38.13080360867914
1739209610.1667144;-38.13080360867914
