CAN Message; 0x1d3:00000d9b77e89f99
Timestamp;Amplitude
1739209676.9776442;-45.120503652039325
1739209676.9776483;-33.981070128970906
1739209676.9776523;-35.57807855764607
1739209676.9776561;-38.13080360867914
1739209676.9776602;-38.13080360867914
1739209676.977664;-38.13080360867914
1739209676.977668;-45.120503652039325
1739209676.9776719;-45.120503652039325
1739209676.977676;-45.120503652039325
1739209676.97768;-38.13080360867914
1739209676.9776838;-45.120503652039325
1739209676.9776878;-45.120503652039325
1739209676.9776917;-45.120503652039325
1739209676.9776957;-45.120503652039325
1739209676.9776995;-45.120503652039325
1739209676.9777036;-45.120503652039325
1739209676.9777076;-38.13080360867914
1739209676.9777114;-38.13080360867914
1739209676.9777155;-45.120503652039325
1739209676.9777193;-33.981070128970906
1739209676.9777234;-38.13080360867914
1739209676.9777272;-38.13080360867914
1739209676.9777312;-45.120503652039325
1739209676.9777353;-45.120503652039325
1739209676.977739;-45.120503652039325
1739209676.9777431;-38.13080360867914
1739209676.977747;-38.13080360867914
1739209676.977751;-45.120503652039325
1739209676.9777548;-45.120503652039325
1739209676.977759;-38.13080360867914
1739209676.9777627;-45.120503652039325
1739209676.9777668;-45.120503652039325
1739209676.9777708;-38.13080360867914
1739209676.9777746;-45.120503652039325
1739209676.9777787;-45.120503652039325
1739209676.9777825;-45.120503652039325
1739209676.9777865;-38.13080360867914
1739209676.9777904;-38.13080360867914
1739209676.9777944;-38.13080360867914
1739209676.9777985;-38.13080360867914
1739209676.9778023;-38.13080360867914
1739209676.9778063;-33.981070128970906
1739209676.9778101;-38.13080360867914
1739209676.9778142;-38.13080360867914
1739209676.977818;-35.57807855764607
1739209676.977822;-38.13080360867914
1739209676.977826;-45.120503652039325
1739209676.97783;-45.120503652039325
1739209676.977834;-35.57807855764607
1739209676.9778378;-45.120503652039325
1739209676.9778419;-45.120503652039325
1739209676.9778457;-38.13080360867914
1739209676.9778497;-38.13080360867914
1739209676.9778538;-38.13080360867914
1739209676.9778576;-45.120503652039325
1739209676.9778616;-45.120503652039325
1739209676.9778655;-45.120503652039325
1739209676.9778695;-35.57807855764607
1739209676.9778733;-35.57807855764607
1739209676.9778774;-38.13080360867914
1739209676.9778814;-38.13080360867914
1739209676.9778852;-38.13080360867914
1739209676.9778893;-45.120503652039325
1739209676.977893;-38.13080360867914
1739209676.9778972;-35.57807855764607
1739209676.977901;-45.120503652039325
1739209676.977905;-45.120503652039325
1739209676.9779088;-38.13080360867914
1739209676.977913;-35.57807855764607
1739209676.977917;-38.13080360867914
1739209676.9779208;-45.120503652039325
1739209676.9779248;-45.120503652039325
1739209676.9779286;-38.13080360867914
1739209676.9779327;-38.13080360867914
1739209676.9779365;-45.120503652039325
1739209676.9779406;-38.13080360867914
1739209676.9779446;-38.13080360867914
1739209676.9779484;-38.13080360867914
1739209676.9779525;-32.816014438256545
1739209676.9779563;-45.120503652039325
1739209676.9779603;-45.120503652039325
1739209676.9779642;-38.13080360867914
1739209676.9779682;-38.13080360867914
1739209676.9779723;-45.120503652039325
1739209676.977976;-38.13080360867914
1739209676.9779801;-38.13080360867914
1739209676.977984;-45.120503652039325
1739209676.977988;-45.120503652039325
1739209676.9779918;-45.120503652039325
1739209676.9779959;-38.13080360867914
1739209676.978;-45.120503652039325
1739209676.9780037;-45.120503652039325
1739209676.9780078;-38.13080360867914
1739209676.9780116;-33.981070128970906
1739209676.9780157;-32.816014438256545
1739209676.9780195;-35.57807855764607
1739209676.9780235;-38.13080360867914
1739209676.9780273;-32.816014438256545
1739209676.9780314;-32.816014438256545
1739209676.9780354;-45.120503652039325
1739209676.9780393;-45.120503652039325
1739209676.9780433;-38.13080360867914
1739209676.9780471;-29.438486411369333
1739209676.9780512;-38.13080360867914
1739209676.978055;-45.120503652039325
1739209676.978059;-45.120503652039325
1739209676.978063;-45.120503652039325
1739209676.978067;-45.120503652039325
1739209676.978071;-45.120503652039325
1739209676.9780748;-38.13080360867914
1739209676.9780788;-33.981070128970956
1739209676.9780827;-45.120503652039325
1739209676.9780867;-45.120503652039325
1739209676.9780908;-45.120503652039325
1739209676.9780946;-45.120503652039325
1739209676.9780986;-45.120503652039325
1739209676.9781024;-45.120503652039325
1739209676.9781065;-45.120503652039325
1739209676.9781103;-26.991370085610722
1739209676.9781144;-33.981070128970906
1739209676.9781184;-45.120503652039325
1739209676.9781222;-45.120503652039325
1739209676.9781263;-33.981070128970906
1739209676.97813;-35.57807855764607
1739209676.9781342;-45.120503652039325
1739209676.978138;-45.120503652039325
1739209676.978142;-38.13080360867914
1739209676.978146;-45.120503652039325
1739209676.97815;-45.120503652039325
1739209676.978154;-45.120503652039325
1739209676.9781578;-45.120503652039325
1739209676.9781618;-45.120503652039325
1739209676.9781656;-45.120503652039325
1739209676.9781697;-38.13080360867914
1739209676.9781735;-35.57807855764607
1739209676.9781775;-45.120503652039325
1739209676.9781816;-45.120503652039325
1739209676.9781854;-45.120503652039325
1739209676.9781895;-45.120503652039325
1739209676.9781933;-45.120503652039325
1739209676.9781973;-38.13080360867914
1739209676.9782012;-45.120503652039325
1739209676.9782052;-33.981070128970906
1739209676.9782093;-32.816014438256545
1739209676.978213;-38.13080360867914
1739209676.9782171;-45.120503652039325
1739209676.978221;-33.981070128970906
1739209676.978225;-38.13080360867914
1739209676.9782288;-35.57807855764607
1739209676.9782329;-33.981070128970906
1739209676.978237;-33.981070128970956
1739209676.9782407;-38.13080360867914
1739209676.9782448;-33.981070128970906
1739209676.9782486;-38.13080360867914
1739209676.9806137;-38.13080360867914
1739209676.9806204;-45.120503652039325
1739209676.9806273;-35.57807855764607
1739209676.9806342;-35.57807855764607
1739209676.980641;-45.120503652039325
1739209676.9806478;-45.120503652039325
1739209676.9806547;-45.120503652039325
1739209676.9806614;-45.120503652039325
1739209676.9806683;-45.120503652039325
1739209676.9806752;-33.981070128970906
1739209676.9806821;-38.13080360867914
1739209676.9806888;-45.120503652039325
1739209676.9806957;-38.13080360867914
1739209676.9807026;-38.13080360867914
1739209676.9807093;-38.13080360867914
1739209676.9807162;-45.120503652039325
1739209676.9807231;-38.13080360867914
1739209676.9807298;-38.13080360867914
1739209676.9807367;-45.120503652039325
1739209676.9807436;-38.13080360867914
1739209676.9807503;-45.120503652039325
1739209676.9807572;-45.120503652039325
1739209676.9807642;-45.120503652039325
1739209676.9807708;-45.120503652039325
1739209676.9807777;-38.13080360867914
1739209676.9807847;-38.13080360867914
1739209676.9807913;-38.13080360867914
1739209676.9807982;-35.57807855764607
1739209676.9808052;-45.120503652039325
1739209676.980812;-45.120503652039325
1739209676.9808187;-45.120503652039325
1739209676.9808257;-38.13080360867914
1739209676.9808326;-35.57807855764607
1739209676.9808393;-32.816014438256545
1739209676.9808462;-38.13080360867914
1739209676.980853;-45.120503652039325
1739209676.9808598;-38.13080360867914
1739209676.9808667;-38.13080360867914
1739209676.9808736;-35.57807855764607
1739209676.9808803;-38.13080360867914
1739209676.9808872;-45.120503652039325
1739209676.980894;-35.57807855764607
1739209676.9809008;-45.120503652039325
1739209676.9809077;-45.120503652039325
1739209676.9809146;-45.120503652039325
1739209676.9809213;-45.120503652039325
1739209676.9809282;-45.120503652039325
1739209676.980935;-38.13080360867914
1739209676.980942;-38.13080360867914
1739209676.9809487;-38.13080360867914
1739209676.9809556;-31.141103565318915
1739209676.9809625;-35.57807855764607
1739209676.9809692;-38.13080360867914
1739209676.980976;-45.120503652039325
1739209676.980983;-45.120503652039325
1739209676.9809897;-38.13080360867914
1739209676.9809966;-45.120503652039325
1739209676.9810035;-38.13080360867914
1739209676.9810102;-45.120503652039325
1739209676.981017;-45.120503652039325
1739209676.981024;-45.120503652039325
1739209676.9810307;-38.13080360867914
1739209676.9810376;-38.13080360867914
1739209676.9810445;-45.120503652039325
1739209676.9810512;-38.13080360867914
1739209676.9810581;-45.120503652039325
1739209676.981065;-45.120503652039325
1739209676.981072;-45.120503652039325
1739209676.9810786;-38.13080360867914
1739209676.9810855;-35.57807855764607
1739209676.9810925;-38.13080360867914
1739209676.9810991;-45.120503652039325
1739209676.981106;-33.981070128970906
1739209676.981113;-35.57807855764607
1739209676.9811196;-32.816014438256545
1739209676.9811265;-38.13080360867914
1739209676.9811335;-38.13080360867914
1739209676.9811401;-38.13080360867914
1739209676.981147;-38.13080360867914
1739209676.981154;-38.13080360867914
1739209676.9811606;-45.120503652039325
1739209676.9811676;-38.13080360867914
1739209676.9811745;-45.120503652039325
1739209676.9811814;-38.13080360867914
1739209676.981188;-38.13080360867914
1739209676.981195;-45.120503652039325
1739209676.981202;-45.120503652039325
1739209676.9812086;-45.120503652039325
1739209676.9812155;-38.13080360867914
1739209676.9812224;-45.120503652039325
1739209676.981229;-30.49652367304973
1739209676.981236;-31.141103565318893
1739209676.981243;-45.120503652039325
1739209676.9812496;-38.13080360867914
1739209676.9812565;-38.13080360867914
1739209676.9812634;-45.120503652039325
1739209676.98127;-45.120503652039325
1739209676.981277;-45.120503652039325
1739209676.981284;-45.120503652039325
1739209676.9812906;-45.120503652039325
1739209676.9812975;-45.120503652039325
1739209676.9813044;-45.120503652039325
1739209676.9813113;-45.120503652039325
1739209676.981318;-38.13080360867914
1739209676.981325;-38.13080360867914
1739209676.9813318;-45.120503652039325
1739209676.9813385;-45.120503652039325
1739209676.9813454;-38.13080360867914
1739209676.9813523;-38.13080360867914
1739209676.981359;-45.120503652039325
1739209676.981366;-45.120503652039325
1739209676.9813728;-45.120503652039325
1739209676.9813795;-38.13080360867914
1739209676.9813864;-45.120503652039325
1739209676.9813933;-32.816014438256545
1739209676.9814;-28.21854285175415
1739209676.981407;-45.120503652039325
1739209676.9814138;-45.120503652039325
1739209676.9814205;-38.13080360867914
1739209676.9814274;-32.816014438256545
1739209676.9814343;-45.120503652039325
1739209676.9814413;-38.13080360867914
1739209676.981448;-45.120503652039325
1739209676.9814548;-45.120503652039325
1739209676.9814618;-35.57807855764607
1739209676.9814684;-45.120503652039325
1739209676.9814754;-45.120503652039325
1739209676.9814823;-38.13080360867914
1739209676.981489;-38.13080360867914
1739209676.9814959;-45.120503652039325
1739209676.9815028;-32.816014438256545
1739209676.9815094;-27.8777449560314
1739209676.9815164;-45.120503652039325
1739209676.9815233;-45.120503652039325
1739209676.98153;-45.120503652039325
1739209676.9815369;-45.120503652039325
1739209676.9815438;-45.120503652039325
1739209676.9815505;-38.13080360867914
1739209676.9815574;-38.13080360867914
1739209676.9815643;-45.120503652039325
1739209676.9815712;-38.13080360867914
1739209676.9815779;-38.13080360867914
1739209676.9815848;-38.13080360867914
1739209676.9815917;-35.57807855764607
1739209676.9815984;-38.13080360867914
1739209676.9816053;-45.120503652039325
1739209676.9816122;-38.13080360867914
1739209676.981619;-38.13080360867914
1739209676.9816258;-45.120503652039325
1739209676.9816327;-45.120503652039325
1739209676.9816394;-45.120503652039325
1739209676.9816463;-45.120503652039325
1739209676.9816532;-45.120503652039325
1739209676.98166;-45.120503652039325
1739209676.9816668;-45.120503652039325
1739209676.9816737;-32.816014438256545
1739209676.9816804;-38.13080360867914
1739209676.9816873;-45.120503652039325
1739209676.9816942;-38.13080360867914
1739209676.9817011;-33.981070128970906
1739209676.9817078;-33.981070128970906
1739209676.9817147;-45.120503652039325
1739209676.9817216;-45.120503652039325
1739209676.9817283;-45.120503652039325
1739209676.9817352;-45.120503652039325
1739209676.9817421;-45.120503652039325
1739209676.9817488;-33.981070128970906
1739209676.9817557;-38.13080360867914
1739209676.9817626;-38.13080360867914
1739209676.9817693;-38.13080360867914
1739209676.9817762;-45.120503652039325
1739209676.9817832;-35.57807855764607
1739209676.9817898;-38.13080360867914
1739209676.9817967;-38.13080360867914
