CAN Message; 0x1d3:00008dbd91f933a3
Timestamp;Amplitude
1739209644.1409771;-45.120503652039325
1739209644.1409812;-45.120503652039325
1739209644.1409855;-45.120503652039325
1739209644.1409895;-45.120503652039325
1739209644.1409936;-45.120503652039325
1739209644.1409976;-38.13080360867914
1739209644.141002;-38.13080360867914
1739209644.141006;-45.120503652039325
1739209644.14101;-45.120503652039325
1739209644.141014;-45.120503652039325
1739209644.1410184;-45.120503652039325
1739209644.1410224;-45.120503652039325
1739209644.1410265;-45.120503652039325
1739209644.1410306;-38.13080360867914
1739209644.1410346;-45.120503652039325
1739209644.141039;-38.13080360867914
1739209644.141043;-32.816014438256545
1739209644.141047;-38.13080360867914
1739209644.141051;-45.120503652039325
1739209644.1410553;-38.13080360867914
1739209644.1410594;-38.13080360867914
1739209644.1410635;-38.13080360867914
1739209644.1410675;-35.57807855764607
1739209644.1410718;-35.57807855764607
1739209644.1410758;-45.120503652039325
1739209644.14108;-45.120503652039325
1739209644.141084;-35.57807855764607
1739209644.1410882;-38.13080360867914
1739209644.1410923;-45.120503652039325
1739209644.1410964;-35.57807855764607
1739209644.1411004;-38.13080360867914
1739209644.1411047;-45.120503652039325
1739209644.1411088;-45.120503652039325
1739209644.1411128;-38.13080360867914
1739209644.1411169;-45.120503652039325
1739209644.1411211;-35.57807855764607
1739209644.1411252;-38.13080360867914
1739209644.1411293;-45.120503652039325
1739209644.1411333;-32.816014438256545
1739209644.1411376;-45.120503652039325
1739209644.1411417;-45.120503652039325
1739209644.1411457;-38.13080360867914
1739209644.1411498;-38.13080360867914
1739209644.141154;-45.120503652039325
1739209644.141158;-38.13080360867914
1739209644.1411622;-33.981070128970906
1739209644.1411662;-38.13080360867914
1739209644.1411705;-45.120503652039325
1739209644.1411746;-45.120503652039325
1739209644.1411786;-38.13080360867914
1739209644.1411827;-35.57807855764607
1739209644.141187;-38.13080360867914
1739209644.141191;-45.120503652039325
1739209644.141195;-38.13080360867914
1739209644.141199;-38.13080360867914
1739209644.1412034;-38.13080360867914
1739209644.1412075;-38.13080360867914
1739209644.1412115;-33.981070128970906
1739209644.1412156;-45.120503652039325
1739209644.1412196;-45.120503652039325
1739209644.141224;-45.120503652039325
1739209644.141228;-33.981070128970906
1739209644.141232;-38.13080360867914
1739209644.141236;-38.13080360867914
1739209644.1412404;-45.120503652039325
1739209644.1412444;-38.13080360867914
1739209644.1412485;-45.120503652039325
1739209644.1412525;-45.120503652039325
1739209644.1412568;-45.120503652039325
1739209644.1412609;-38.13080360867914
1739209644.141265;-45.120503652039325
1739209644.141269;-45.120503652039325
1739209644.1412733;-45.120503652039325
1739209644.1412773;-45.120503652039325
1739209644.1412814;-38.13080360867914
1739209644.1412854;-33.981070128970906
1739209644.1412897;-45.120503652039325
1739209644.1412938;-33.981070128970906
1739209644.1412978;-38.13080360867914
1739209644.1413019;-35.57807855764607
1739209644.1413062;-38.13080360867914
1739209644.1413102;-38.13080360867914
1739209644.1413143;-38.13080360867914
1739209644.1413183;-45.120503652039325
1739209644.1413226;-45.120503652039325
1739209644.1413267;-38.13080360867914
1739209644.1413307;-45.120503652039325
1739209644.1413348;-38.13080360867914
1739209644.141339;-45.120503652039325
1739209644.141343;-38.13080360867914
1739209644.1413472;-38.13080360867914
1739209644.1413512;-38.13080360867914
1739209644.1413555;-45.120503652039325
1739209644.1413596;-45.120503652039325
1739209644.1413636;-38.13080360867914
1739209644.1413677;-38.13080360867914
1739209644.141372;-45.120503652039325
1739209644.141376;-31.141103565318915
1739209644.14138;-38.13080360867914
1739209644.1413841;-38.13080360867914
1739209644.1413882;-45.120503652039325
1739209644.1413925;-33.981070128970906
1739209644.1413965;-38.13080360867914
1739209644.1414006;-33.981070128970906
1739209644.1414046;-45.120503652039325
1739209644.141409;-38.13080360867914
1739209644.141413;-38.13080360867914
1739209644.141417;-38.13080360867914
1739209644.141421;-45.120503652039325
1739209644.1414254;-38.13080360867914
1739209644.1414294;-35.57807855764607
1739209644.1414335;-38.13080360867914
1739209644.1414375;-45.120503652039325
1739209644.1414418;-33.981070128970906
1739209644.1414459;-32.816014438256545
1739209644.14145;-38.13080360867914
1739209644.141454;-38.13080360867914
1739209644.1414583;-38.13080360867914
1739209644.1414623;-31.141103565318893
1739209644.1414664;-38.13080360867914
1739209644.1414704;-45.120503652039325
1739209644.1414747;-33.981070128970906
1739209644.1414788;-32.816014438256545
