CAN Message; 0x1b8:0300ba43d62d9c94
Timestamp;Amplitude
1739209759.2651017;-38.13080360867914
1739209759.2651064;-38.13080360867914
1739209759.2651112;-45.120503652039325
1739209759.2651162;-45.120503652039325
1739209759.265121;-38.13080360867914
1739209759.2651258;-38.13080360867914
1739209759.2651305;-45.120503652039325
1739209759.2651353;-45.120503652039325
1739209759.2651403;-45.120503652039325
1739209759.265145;-45.120503652039325
1739209759.2651498;-38.13080360867914
1739209759.2651546;-45.120503652039325
1739209759.2651596;-45.120503652039325
1739209759.2651644;-45.120503652039325
1739209759.2651691;-38.13080360867914
1739209759.265174;-45.120503652039325
1739209759.2651787;-38.13080360867914
1739209759.2651837;-26.487275050834715
1739209759.2651885;-45.120503652039325
1739209759.2651932;-45.120503652039325
1739209759.265198;-35.57807855764607
1739209759.265203;-35.57807855764607
1739209759.2652078;-45.120503652039325
1739209759.2652125;-45.120503652039325
1739209759.2652173;-33.981070128970906
1739209759.265222;-45.120503652039325
1739209759.265227;-45.120503652039325
1739209759.2652318;-45.120503652039325
1739209759.2652366;-38.13080360867914
1739209759.2652414;-33.981070128970906
1739209759.2652464;-38.13080360867914
1739209759.2652512;-45.120503652039325
1739209759.265256;-33.981070128970906
1739209759.2652607;-38.13080360867914
1739209759.2652655;-38.13080360867914
1739209759.2652705;-45.120503652039325
1739209759.2652752;-45.120503652039325
1739209759.26528;-45.120503652039325
1739209759.2652848;-38.13080360867914
1739209759.2652898;-45.120503652039325
1739209759.2652946;-38.13080360867914
1739209759.2652993;-32.816014438256545
1739209759.265304;-38.13080360867914
1739209759.265309;-45.120503652039325
1739209759.2653139;-38.13080360867914
1739209759.2653186;-35.57807855764607
1739209759.2653234;-33.981070128970906
1739209759.2653282;-45.120503652039325
1739209759.2653332;-38.13080360867914
1739209759.265338;-45.120503652039325
1739209759.2653427;-45.120503652039325
1739209759.2653475;-45.120503652039325
1739209759.2653525;-33.981070128970906
1739209759.2653573;-45.120503652039325
1739209759.265362;-38.13080360867914
1739209759.2653668;-45.120503652039325
1739209759.2653716;-45.120503652039325
