CAN Message; 0x1d3:0000f380296f15e1
Timestamp;Amplitude
1739209738.6371486;-26.991370085610736
1739209738.6371522;-45.120503652039325
1739209738.637156;-45.120503652039325
1739209738.6371596;-38.13080360867914
1739209738.6371632;-35.57807855764607
1739209738.637167;-45.120503652039325
1739209738.6371706;-45.120503652039325
1739209738.6371741;-45.120503652039325
1739209738.6371777;-45.120503652039325
1739209738.6371815;-45.120503652039325
1739209738.637185;-45.120503652039325
1739209738.6371887;-45.120503652039325
1739209738.6371925;-45.120503652039325
1739209738.637196;-38.13080360867914
1739209738.6371996;-45.120503652039325
1739209738.6372032;-35.57807855764607
1739209738.637207;-32.816014438256545
1739209738.6372106;-45.120503652039325
1739209738.6372142;-38.13080360867914
1739209738.637218;-45.120503652039325
1739209738.6372216;-45.120503652039325
1739209738.6372252;-45.120503652039325
1739209738.637229;-45.120503652039325
1739209738.6372325;-38.13080360867914
1739209738.637236;-45.120503652039325
1739209738.6372397;-38.13080360867914
1739209738.6372435;-35.57807855764607
1739209738.637247;-45.120503652039325
1739209738.6372507;-45.120503652039325
1739209738.6372545;-38.13080360867914
1739209738.637258;-38.13080360867914
1739209738.6372616;-45.120503652039325
1739209738.6372652;-38.13080360867914
1739209738.637269;-38.13080360867914
1739209738.6372726;-35.57807855764607
1739209738.6372762;-38.13080360867914
1739209738.63728;-45.120503652039325
1739209738.6372836;-32.816014438256545
1739209738.6372871;-35.57807855764607
1739209738.6372907;-45.120503652039325
1739209738.6372945;-28.58837851428586
1739209738.637298;-33.981070128970906
1739209738.6373017;-38.13080360867914
1739209738.6373055;-38.13080360867914
1739209738.637309;-45.120503652039325
1739209738.6373127;-38.13080360867914
1739209738.6373165;-38.13080360867914
1739209738.63732;-38.13080360867914
1739209738.6373236;-30.49652367304976
1739209738.6373272;-38.13080360867914
1739209738.637331;-38.13080360867914
1739209738.6373346;-45.120503652039325
1739209738.6373382;-45.120503652039325
1739209738.637342;-38.13080360867914
1739209738.6373456;-38.13080360867914
1739209738.6373491;-45.120503652039325
1739209738.6373527;-31.141103565318915
1739209738.6373565;-32.816014438256545
1739209738.63736;-38.13080360867914
1739209738.6373637;-45.120503652039325
1739209738.6373675;-45.120503652039325
1739209738.637371;-38.13080360867914
1739209738.6373746;-31.141103565318915
1739209738.6373782;-33.981070128970906
1739209738.637382;-35.57807855764607
1739209738.6373856;-38.13080360867914
1739209738.6373892;-45.120503652039325
1739209738.637393;-45.120503652039325
1739209738.6373966;-45.120503652039325
1739209738.6374002;-45.120503652039325
1739209738.6374037;-45.120503652039325
1739209738.6374075;-45.120503652039325
1739209738.637411;-38.13080360867914
1739209738.6374147;-38.13080360867914
1739209738.6374185;-45.120503652039325
1739209738.637422;-45.120503652039325
1739209738.6374257;-45.120503652039325
1739209738.6374295;-45.120503652039325
1739209738.637433;-33.981070128970906
1739209738.6374366;-45.120503652039325
1739209738.6374402;-33.981070128970906
1739209738.637444;-32.816014438256545
1739209738.6374476;-38.13080360867914
1739209738.6374512;-45.120503652039325
1739209738.637455;-33.981070128970906
1739209738.6374586;-38.13080360867914
1739209738.6374621;-45.120503652039325
1739209738.6374657;-38.13080360867914
1739209738.6374695;-38.13080360867914
1739209738.637473;-45.120503652039325
1739209738.6374767;-45.120503652039325
1739209738.6374805;-35.57807855764607
1739209738.637484;-38.13080360867914
1739209738.6374876;-45.120503652039325
1739209738.6374912;-45.120503652039325
1739209738.637495;-45.120503652039325
1739209738.6374986;-38.13080360867914
1739209738.6375022;-38.13080360867914
1739209738.637506;-45.120503652039325
1739209738.6375096;-38.13080360867914
1739209738.6375132;-38.13080360867914
1739209738.637517;-35.57807855764607
1739209738.6375206;-45.120503652039325
1739209738.6375241;-38.13080360867914
1739209738.6375277;-38.13080360867914
1739209738.6375315;-38.13080360867914
1739209738.637535;-45.120503652039325
1739209738.6375387;-38.13080360867914
1739209738.6375425;-35.57807855764607
1739209738.637546;-45.120503652039325
1739209738.6375496;-38.13080360867914
1739209738.6375532;-38.13080360867914
1739209738.637557;-45.120503652039325
1739209738.6375606;-35.57807855764607
1739209738.6375642;-45.120503652039325
1739209738.637568;-45.120503652039325
1739209738.6375716;-35.57807855764607
1739209738.6375751;-45.120503652039325
1739209738.6375787;-45.120503652039325
1739209738.6375825;-45.120503652039325
1739209738.637586;-45.120503652039325
1739209738.6375897;-33.981070128970906
1739209738.6375935;-45.120503652039325
1739209738.637597;-38.13080360867914
1739209738.6376007;-45.120503652039325
1739209738.6376042;-38.13080360867914
1739209738.637608;-35.57807855764607
1739209738.6376116;-38.13080360867914
1739209738.6376152;-38.13080360867914
1739209738.637619;-45.120503652039325
1739209738.6376226;-38.13080360867914
1739209738.6376262;-35.57807855764607
1739209738.63763;-38.13080360867914
1739209738.6376336;-38.13080360867914
1739209738.6376371;-38.13080360867914
1739209738.6376407;-38.13080360867914
1739209738.6376445;-45.120503652039325
1739209738.637648;-29.438486411369333
1739209738.6376517;-31.141103565318893
1739209738.6376555;-38.13080360867914
1739209738.637659;-45.120503652039325
1739209738.6376626;-33.981070128970906
1739209738.6376662;-35.57807855764607
1739209738.63767;-45.120503652039325
1739209738.6376736;-45.120503652039325
1739209738.6376772;-38.13080360867914
1739209738.637681;-38.13080360867914
1739209738.6376846;-38.13080360867914
1739209738.6376882;-45.120503652039325
1739209738.6376917;-45.120503652039325
1739209738.6376956;-45.120503652039325
1739209738.6376991;-38.13080360867914
1739209738.6377027;-45.120503652039325
1739209738.6377065;-35.57807855764607
1739209738.63771;-35.57807855764607
1739209738.6377137;-45.120503652039325
1739209738.6377175;-45.120503652039325
1739209738.637721;-38.13080360867914
1739209738.6377246;-35.57807855764607
1739209738.6377282;-45.120503652039325
1739209738.637732;-45.120503652039325
1739209738.6377356;-45.120503652039325
1739209738.6377392;-33.981070128970906
1739209738.637743;-33.981070128970906
1739209738.6377466;-38.13080360867914
1739209738.6377501;-45.120503652039325
1739209738.6377537;-35.57807855764607
1739209738.6377575;-45.120503652039325
1739209738.637761;-38.13080360867914
1739209738.6377647;-38.13080360867914
1739209738.6377685;-45.120503652039325
1739209738.637772;-45.120503652039325
1739209738.6377757;-45.120503652039325
1739209738.6377792;-33.981070128970906
1739209738.637783;-45.120503652039325
1739209738.6377866;-45.120503652039325
1739209738.6377902;-45.120503652039325
1739209738.637794;-38.13080360867914
1739209738.6377976;-31.141103565318893
1739209738.6378012;-45.120503652039325
1739209738.637805;-38.13080360867914
1739209738.6378086;-45.120503652039325
1739209738.6378121;-45.120503652039325
1739209738.6378157;-33.981070128970906
1739209738.6378195;-35.57807855764607
1739209738.637823;-45.120503652039325
1739209738.6378267;-45.120503652039325
1739209738.6378305;-45.120503652039325
1739209738.637834;-45.120503652039325
1739209738.6378376;-35.57807855764607
1739209738.6378412;-32.816014438256545
1739209738.637845;-45.120503652039325
1739209738.6378486;-45.120503652039325
1739209738.6378522;-35.57807855764607
1739209738.637856;-30.49652367304973
1739209738.6378596;-38.13080360867914
1739209738.6378632;-38.13080360867914
1739209738.6378667;-45.120503652039325
1739209738.6378706;-45.120503652039325
1739209738.6378741;-33.981070128970906
1739209738.6378777;-45.120503652039325
1739209738.6378815;-45.120503652039325
1739209738.637885;-33.981070128970956
1739209738.6378887;-45.120503652039325
1739209738.6378922;-38.13080360867914
1739209738.637896;-38.13080360867914
1739209738.6378996;-45.120503652039325
1739209738.6379032;-38.13080360867914
1739209738.637907;-38.13080360867914
1739209738.6379106;-45.120503652039325
1739209738.6379142;-28.58837851428586
1739209738.637918;-38.13080360867914
1739209738.6379216;-38.13080360867914
1739209738.6379251;-38.13080360867914
1739209738.6379287;-45.120503652039325
1739209738.6379325;-38.13080360867914
1739209738.637936;-45.120503652039325
1739209738.6379397;-45.120503652039325
1739209738.6379435;-33.981070128970956
1739209738.637947;-45.120503652039325
1739209738.6379507;-38.13080360867914
1739209738.6379542;-35.57807855764607
1739209738.637958;-35.57807855764607
1739209738.6379616;-45.120503652039325
1739209738.6379652;-45.120503652039325
1739209738.637969;-45.120503652039325
1739209738.6379726;-27.267205301931607
1739209738.6379762;-33.981070128970906
1739209738.6379797;-38.13080360867914
1739209738.6379836;-38.13080360867914
1739209738.6379871;-38.13080360867914
1739209738.6379907;-45.120503652039325
1739209738.6379945;-45.120503652039325
1739209738.637998;-45.120503652039325
1739209738.6380017;-35.57807855764607
1739209738.6380055;-45.120503652039325
1739209738.638009;-45.120503652039325
1739209738.6380126;-45.120503652039325
1739209738.6380162;-45.120503652039325
1739209738.63802;-45.120503652039325
1739209738.6380236;-45.120503652039325
1739209738.6380272;-45.120503652039325
1739209738.638031;-31.141103565318915
1739209738.6380346;-33.981070128970906
1739209738.6380382;-45.120503652039325
1739209738.6380417;-45.120503652039325
1739209738.6380455;-38.13080360867914
1739209738.6380491;-38.13080360867914
1739209738.6380527;-33.981070128970906
1739209738.6380565;-38.13080360867914
1739209738.63806;-33.981070128970906
