CAN Message; 0x1d3:0000999ca499c36a
Timestamp;Amplitude
1739209686.049329;-38.13080360867914
1739209686.0493374;-38.13080360867914
1739209686.0493457;-38.13080360867914
1739209686.049354;-38.13080360867914
1739209686.0493624;-45.120503652039325
1739209686.0493708;-35.57807855764607
1739209686.0493789;-38.13080360867914
1739209686.0493872;-45.120503652039325
1739209686.0493956;-26.991370085610722
1739209686.049404;-38.13080360867914
1739209686.0494123;-45.120503652039325
1739209686.0494206;-45.120503652039325
1739209686.049429;-33.981070128970906
1739209686.049437;-45.120503652039325
1739209686.0494454;-45.120503652039325
1739209686.0494537;-45.120503652039325
1739209686.049462;-32.816014438256545
1739209686.0494704;-38.13080360867914
1739209686.0494788;-38.13080360867914
1739209686.049487;-45.120503652039325
1739209686.0494955;-45.120503652039325
1739209686.0495036;-45.120503652039325
1739209686.049512;-45.120503652039325
1739209686.0495203;-45.120503652039325
1739209686.0495286;-28.992665084841942
1739209686.049537;-35.57807855764607
1739209686.0495453;-38.13080360867914
1739209686.0495536;-35.57807855764607
1739209686.0495617;-33.981070128970906
1739209686.04957;-35.57807855764607
1739209686.0495784;-38.13080360867914
1739209686.0495868;-45.120503652039325
1739209686.049595;-38.13080360867914
1739209686.0496035;-35.57807855764607
1739209686.0496118;-38.13080360867914
1739209686.0496202;-45.120503652039325
1739209686.0496283;-33.981070128970906
1739209686.0496366;-45.120503652039325
1739209686.049645;-38.13080360867914
1739209686.0496533;-45.120503652039325
1739209686.0496616;-45.120503652039325
1739209686.04967;-38.13080360867914
1739209686.0496783;-38.13080360867914
1739209686.0496864;-45.120503652039325
1739209686.0496948;-45.120503652039325
1739209686.0497031;-38.13080360867914
1739209686.0497115;-38.13080360867914
1739209686.0497198;-45.120503652039325
1739209686.0497282;-27.267205301931607
1739209686.0497365;-29.438486411369333
1739209686.0497448;-38.13080360867914
1739209686.049753;-45.120503652039325
1739209686.0497613;-33.981070128970906
1739209686.0497696;-38.13080360867914
