CAN Message; 0x1a7:000085cbe9f10634
Timestamp;Amplitude
1739209786.5272796;-45.120503652039325
1739209786.527283;-45.120503652039325
1739209786.5272865;-38.13080360867914
1739209786.52729;-38.13080360867914
1739209786.5272937;-45.120503652039325
1739209786.527297;-38.13080360867914
1739209786.5273006;-38.13080360867914
1739209786.5273042;-38.13080360867914
1739209786.5273077;-45.120503652039325
1739209786.527311;-38.13080360867914
1739209786.5273147;-38.13080360867914
1739209786.5273182;-38.13080360867914
1739209786.5273218;-45.120503652039325
1739209786.5273254;-45.120503652039325
1739209786.5273287;-45.120503652039325
1739209786.5273323;-45.120503652039325
1739209786.527336;-45.120503652039325
1739209786.5273395;-45.120503652039325
1739209786.5273428;-45.120503652039325
1739209786.5273464;-45.120503652039325
1739209786.52735;-45.120503652039325
1739209786.5273535;-45.120503652039325
1739209786.5273569;-27.8777449560314
1739209786.5273604;-38.13080360867914
1739209786.527364;-35.57807855764607
1739209786.5273676;-35.57807855764607
1739209786.5273712;-45.120503652039325
1739209786.5273745;-45.120503652039325
1739209786.527378;-45.120503652039325
1739209786.5273817;-45.120503652039325
1739209786.5273852;-45.120503652039325
1739209786.5273886;-45.120503652039325
1739209786.5273921;-38.13080360867914
1739209786.5273957;-38.13080360867914
1739209786.5273993;-45.120503652039325
1739209786.5274026;-45.120503652039325
1739209786.5274062;-45.120503652039325
1739209786.5274098;-45.120503652039325
1739209786.5274134;-45.120503652039325
1739209786.527417;-38.13080360867914
1739209786.5274203;-32.816014438256545
1739209786.5274239;-38.13080360867914
1739209786.5274274;-45.120503652039325
1739209786.527431;-38.13080360867914
1739209786.5274343;-38.13080360867914
1739209786.527438;-45.120503652039325
1739209786.5274415;-32.816014438256545
1739209786.527445;-45.120503652039325
1739209786.5274484;-45.120503652039325
1739209786.527452;-38.13080360867914
1739209786.5274556;-38.13080360867914
1739209786.5274591;-45.120503652039325
1739209786.5274627;-38.13080360867914
1739209786.527466;-38.13080360867914
1739209786.5274696;-45.120503652039325
1739209786.5274732;-38.13080360867914
1739209786.5274768;-35.57807855764607
1739209786.5274801;-38.13080360867914
1739209786.5274837;-45.120503652039325
1739209786.5274873;-33.981070128970906
1739209786.5274909;-38.13080360867914
1739209786.5274942;-38.13080360867914
1739209786.5274978;-38.13080360867914
1739209786.5275013;-38.13080360867914
1739209786.527505;-38.13080360867914
1739209786.5275085;-45.120503652039325
1739209786.5275118;-35.57807855764607
1739209786.5275154;-38.13080360867914
1739209786.527519;-38.13080360867914
1739209786.5275226;-38.13080360867914
1739209786.527526;-38.13080360867914
1739209786.5275295;-45.120503652039325
1739209786.527533;-45.120503652039325
1739209786.5275366;-45.120503652039325
1739209786.52754;-30.49652367304973
1739209786.5275435;-38.13080360867914
1739209786.5275471;-45.120503652039325
1739209786.5275507;-45.120503652039325
1739209786.5275543;-38.13080360867914
1739209786.5275576;-28.992665084841942
1739209786.5275612;-45.120503652039325
1739209786.5275648;-45.120503652039325
1739209786.5275683;-45.120503652039325
1739209786.5275717;-33.981070128970906
1739209786.5275753;-38.13080360867914
1739209786.5275788;-38.13080360867914
1739209786.5275824;-38.13080360867914
1739209786.5275857;-45.120503652039325
1739209786.5275893;-45.120503652039325
1739209786.527593;-38.13080360867914
1739209786.5275965;-38.13080360867914
1739209786.5276;-45.120503652039325
1739209786.5276034;-45.120503652039325
1739209786.527607;-45.120503652039325
1739209786.5276105;-32.816014438256545
1739209786.527614;-35.57807855764607
1739209786.5276175;-45.120503652039325
1739209786.527621;-38.13080360867914
1739209786.5276246;-35.57807855764607
1739209786.5276282;-33.981070128970906
1739209786.5276315;-45.120503652039325
1739209786.527635;-38.13080360867914
1739209786.5276387;-35.57807855764607
1739209786.5276423;-31.141103565318915
1739209786.5276458;-35.57807855764607
1739209786.5276492;-38.13080360867914
1739209786.5276527;-38.13080360867914
1739209786.5276563;-38.13080360867914
1739209786.52766;-38.13080360867914
1739209786.5276632;-38.13080360867914
1739209786.5276668;-38.13080360867914
1739209786.5276704;-29.438486411369347
1739209786.527674;-33.981070128970906
1739209786.5276775;-45.120503652039325
1739209786.5276809;-45.120503652039325
1739209786.5276845;-38.13080360867914
1739209786.527688;-38.13080360867914
1739209786.5276916;-38.13080360867914
1739209786.527695;-45.120503652039325
1739209786.5276985;-28.992665084841942
1739209786.527702;-38.13080360867914
1739209786.5277057;-45.120503652039325
1739209786.527709;-45.120503652039325
1739209786.5277126;-45.120503652039325
1739209786.5277162;-38.13080360867914
1739209786.5277197;-38.13080360867914
1739209786.5277233;-38.13080360867914
1739209786.5277267;-38.13080360867914
1739209786.5277302;-38.13080360867914
1739209786.5277338;-33.981070128970906
1739209786.5277374;-45.120503652039325
1739209786.5277407;-45.120503652039325
1739209786.5277443;-38.13080360867914
