CAN Message; 0x150:0500a55e2ebfa30b
Timestamp;Amplitude
1739209678.7896795;-35.57807855764607
1739209678.7896826;-38.13080360867914
1739209678.789686;-38.13080360867914
1739209678.789689;-38.13080360867914
1739209678.7896924;-38.13080360867914
1739209678.7896955;-32.816014438256545
1739209678.7896986;-35.57807855764607
1739209678.789702;-38.13080360867914
1739209678.789705;-45.120503652039325
1739209678.7897084;-35.57807855764607
1739209678.7897115;-35.57807855764607
1739209678.7897148;-38.13080360867914
1739209678.789718;-38.13080360867914
1739209678.789721;-35.57807855764607
1739209678.7897243;-38.13080360867914
1739209678.7897274;-38.13080360867914
1739209678.7897308;-45.120503652039325
1739209678.789734;-38.13080360867914
1739209678.789737;-45.120503652039325
1739209678.7897403;-45.120503652039325
1739209678.7897434;-38.13080360867914
1739209678.7897468;-45.120503652039325
1739209678.7897499;-35.57807855764607
1739209678.789753;-28.58837851428586
1739209678.7897563;-38.13080360867914
1739209678.7897594;-45.120503652039325
1739209678.7897627;-35.57807855764607
1739209678.7897658;-38.13080360867914
1739209678.789769;-45.120503652039325
1739209678.7897723;-38.13080360867914
1739209678.7897754;-33.981070128970906
1739209678.7897787;-33.981070128970956
1739209678.7897818;-45.120503652039325
1739209678.789785;-35.57807855764607
1739209678.7897882;-45.120503652039325
1739209678.7897913;-45.120503652039325
1739209678.7897947;-45.120503652039325
1739209678.7897978;-32.816014438256545
1739209678.789801;-38.13080360867914
1739209678.7898042;-31.141103565318893
1739209678.7917116;-38.13080360867914
1739209678.7917137;-32.816014438256545
1739209678.791716;-33.981070128970906
1739209678.7917185;-45.120503652039325
1739209678.7917206;-45.120503652039325
1739209678.791723;-38.13080360867914
1739209678.7917254;-35.57807855764607
1739209678.7917275;-45.120503652039325
1739209678.79173;-38.13080360867914
1739209678.7917323;-38.13080360867914
1739209678.7917345;-45.120503652039325
1739209678.7917368;-45.120503652039325
1739209678.7917392;-45.120503652039325
1739209678.7917414;-45.120503652039325
1739209678.7917438;-45.120503652039325
1739209678.7917461;-45.120503652039325
1739209678.7917483;-45.120503652039325
1739209678.7917507;-32.816014438256545
1739209678.791753;-33.981070128970906
1739209678.7917552;-45.120503652039325
1739209678.7917576;-45.120503652039325
1739209678.79176;-38.13080360867914
1739209678.791762;-33.981070128970906
1739209678.7917645;-45.120503652039325
1739209678.791767;-45.120503652039325
1739209678.791769;-45.120503652039325
1739209678.7917714;-45.120503652039325
1739209678.7917738;-45.120503652039325
1739209678.791776;-45.120503652039325
1739209678.7917783;-45.120503652039325
1739209678.7917807;-45.120503652039325
1739209678.7917829;-35.57807855764607
1739209678.7917852;-45.120503652039325
1739209678.7917876;-38.13080360867914
1739209678.7917898;-38.13080360867914
1739209678.7917922;-45.120503652039325
1739209678.7917945;-38.13080360867914
1739209678.7917967;-35.57807855764607
1739209678.791799;-33.981070128970906
1739209678.7918015;-45.120503652039325
1739209678.7918036;-38.13080360867914
1739209678.791806;-35.57807855764607
1739209678.7918084;-33.981070128970906
1739209678.7918105;-45.120503652039325
1739209678.791813;-45.120503652039325
1739209678.7918153;-45.120503652039325
