CAN Message; 0x77:19d1fb7de98000d3
Timestamp;Amplitude
1739209726.0023675;-38.13080360867914
1739209726.0023766;-38.13080360867914
1739209726.0023859;-45.120503652039325
1739209726.002395;-45.120503652039325
1739209726.002404;-45.120503652039325
1739209726.0024133;-45.120503652039325
1739209726.0024223;-45.120503652039325
1739209726.0024314;-45.120503652039325
1739209726.0024407;-38.13080360867914
1739209726.0024498;-35.57807855764607
1739209726.0024588;-38.13080360867914
1739209726.002468;-45.120503652039325
1739209726.0024772;-45.120503652039325
1739209726.0024862;-45.120503652039325
1739209726.0024955;-45.120503652039325
1739209726.0025046;-45.120503652039325
1739209726.002514;-38.13080360867914
1739209726.002523;-38.13080360867914
1739209726.002532;-38.13080360867914
1739209726.0025413;-38.13080360867914
1739209726.0025504;-45.120503652039325
1739209726.0025594;-33.981070128970906
1739209726.0025687;-35.57807855764607
1739209726.0025778;-45.120503652039325
1739209726.0025868;-38.13080360867914
1739209726.0025961;-35.57807855764607
1739209726.0026052;-38.13080360867914
1739209726.0026143;-45.120503652039325
1739209726.0026236;-38.13080360867914
1739209726.0026326;-45.120503652039325
1739209726.002642;-45.120503652039325
1739209726.002651;-38.13080360867914
1739209726.00266;-45.120503652039325
1739209726.0026693;-45.120503652039325
1739209726.0026784;-35.57807855764607
1739209726.0026875;-35.57807855764607
1739209726.0026968;-38.13080360867914
1739209726.0027058;-45.120503652039325
1739209726.0027149;-35.57807855764607
1739209726.0027242;-35.57807855764607
1739209726.0027332;-38.13080360867914
1739209726.0027423;-45.120503652039325
1739209726.0027516;-38.13080360867914
1739209726.0027606;-38.13080360867914
1739209726.0027697;-45.120503652039325
1739209726.002779;-45.120503652039325
1739209726.002788;-38.13080360867914
1739209726.0027974;-45.120503652039325
1739209726.0028064;-45.120503652039325
1739209726.0028155;-45.120503652039325
1739209726.0028248;-38.13080360867914
1739209726.0028338;-38.13080360867914
1739209726.002843;-38.13080360867914
1739209726.0028522;-45.120503652039325
1739209726.0028613;-33.981070128970906
1739209726.0028703;-38.13080360867914
1739209726.0028796;-45.120503652039325
1739209726.0028887;-45.120503652039325
1739209726.0028977;-38.13080360867914
1739209726.002907;-38.13080360867914
1739209726.002916;-38.13080360867914
1739209726.0029254;-38.13080360867914
1739209726.0029345;-33.981070128970906
1739209726.0029435;-45.120503652039325
1739209726.0029528;-45.120503652039325
1739209726.0029619;-38.13080360867914
1739209726.002971;-32.816014438256545
1739209726.0029802;-45.120503652039325
1739209726.0029893;-45.120503652039325
1739209726.0029984;-45.120503652039325
1739209726.0030077;-38.13080360867914
1739209726.0030167;-45.120503652039325
1739209726.0030258;-45.120503652039325
1739209726.003035;-38.13080360867914
1739209726.0030441;-45.120503652039325
1739209726.0030532;-45.120503652039325
1739209726.0030625;-33.981070128970906
1739209726.0030715;-32.816014438256545
1739209726.0030808;-38.13080360867914
1739209726.00309;-45.120503652039325
1739209726.003099;-38.13080360867914
1739209726.0031083;-35.57807855764607
1739209726.0031173;-35.57807855764607
1739209726.0031264;-45.120503652039325
1739209726.0031357;-45.120503652039325
1739209726.0031447;-35.57807855764607
1739209726.0031538;-45.120503652039325
1739209726.003163;-45.120503652039325
1739209726.0031722;-38.13080360867914
1739209726.0031812;-38.13080360867914
1739209726.0031905;-45.120503652039325
1739209726.0031996;-45.120503652039325
1739209726.0032086;-33.981070128970906
1739209726.003218;-38.13080360867914
1739209726.003227;-45.120503652039325
1739209726.0032363;-45.120503652039325
1739209726.0032454;-38.13080360867914
1739209726.0032544;-35.57807855764607
1739209726.0032637;-38.13080360867914
1739209726.0032728;-45.120503652039325
1739209726.0032818;-45.120503652039325
1739209726.0032911;-38.13080360867914
1739209726.0033002;-35.57807855764607
1739209726.0033092;-38.13080360867914
1739209726.0033185;-45.120503652039325
1739209726.0033276;-45.120503652039325
1739209726.0033367;-45.120503652039325
1739209726.003346;-45.120503652039325
