CAN Message; 0x24:0deb045ad871c455
Timestamp;Amplitude
1739209810.2542422;-38.13080360867914
1739209810.2542458;-45.120503652039325
1739209810.2542496;-45.120503652039325
1739209810.2542531;-33.981070128970906
1739209810.2542567;-45.120503652039325
1739209810.2542605;-38.13080360867914
1739209810.254264;-31.141103565318915
1739209810.2542677;-33.981070128970906
1739209810.2542715;-45.120503652039325
1739209810.254275;-45.120503652039325
1739209810.254279;-33.981070128970906
1739209810.2542825;-35.57807855764607
1739209810.254286;-38.13080360867914
1739209810.2542899;-45.120503652039325
1739209810.2542934;-38.13080360867914
1739209810.2542973;-35.57807855764607
1739209810.2543008;-32.816014438256545
1739209810.2543044;-45.120503652039325
1739209810.2543082;-45.120503652039325
1739209810.2543118;-45.120503652039325
1739209810.2543156;-38.13080360867914
1739209810.2543192;-38.13080360867914
1739209810.2543228;-38.13080360867914
1739209810.2543266;-38.13080360867914
1739209810.2543302;-45.120503652039325
1739209810.2543337;-38.13080360867914
1739209810.2543375;-45.120503652039325
1739209810.2543411;-45.120503652039325
1739209810.254345;-45.120503652039325
1739209810.2543485;-45.120503652039325
1739209810.254352;-45.120503652039325
1739209810.254356;-45.120503652039325
1739209810.2543595;-45.120503652039325
1739209810.2543633;-45.120503652039325
1739209810.2543669;-45.120503652039325
1739209810.2543705;-38.13080360867914
1739209810.2543743;-35.57807855764607
1739209810.2543778;-38.13080360867914
1739209810.2543817;-45.120503652039325
1739209810.2543852;-45.120503652039325
1739209810.2543888;-28.58837851428586
1739209810.2543926;-38.13080360867914
1739209810.2543962;-45.120503652039325
1739209810.2543998;-38.13080360867914
1739209810.2544036;-33.981070128970906
1739209810.2544072;-35.57807855764607
1739209810.254411;-45.120503652039325
1739209810.2544146;-45.120503652039325
1739209810.2544181;-38.13080360867914
1739209810.254422;-45.120503652039325
1739209810.2544255;-45.120503652039325
1739209810.2544293;-45.120503652039325
1739209810.254433;-45.120503652039325
1739209810.2544365;-38.13080360867914
1739209810.2544403;-35.57807855764607
1739209810.254444;-45.120503652039325
1739209810.2544477;-38.13080360867914
1739209810.2544513;-38.13080360867914
1739209810.2544549;-45.120503652039325
1739209810.2544587;-38.13080360867914
1739209810.2544622;-45.120503652039325
1739209810.2544658;-35.57807855764607
1739209810.2544696;-32.816014438256545
1739209810.2544732;-45.120503652039325
1739209810.254477;-31.141103565318915
1739209810.2544806;-38.13080360867914
1739209810.2544842;-45.120503652039325
1739209810.254488;-45.120503652039325
1739209810.2544916;-32.816014438256545
1739209810.2544954;-38.13080360867914
1739209810.254499;-45.120503652039325
1739209810.2545025;-45.120503652039325
1739209810.2545063;-45.120503652039325
1739209810.25451;-33.981070128970906
1739209810.2545137;-38.13080360867914
1739209810.2545173;-38.13080360867914
1739209810.254521;-38.13080360867914
1739209810.2545247;-45.120503652039325
1739209810.2545283;-45.120503652039325
1739209810.2545319;-38.13080360867914
1739209810.2545357;-35.57807855764607
1739209810.2545393;-45.120503652039325
1739209810.254543;-45.120503652039325
1739209810.2545466;-38.13080360867914
1739209810.2545502;-38.13080360867914
1739209810.254554;-45.120503652039325
1739209810.2545576;-45.120503652039325
1739209810.2545614;-45.120503652039325
1739209810.254565;-32.816014438256545
1739209810.2545686;-38.13080360867914
1739209810.2545724;-45.120503652039325
1739209810.254576;-38.13080360867914
1739209810.2545798;-45.120503652039325
1739209810.2545834;-38.13080360867914
1739209810.254587;-45.120503652039325
1739209810.2545907;-38.13080360867914
1739209810.2545943;-38.13080360867914
1739209810.254598;-45.120503652039325
1739209810.2546017;-45.120503652039325
1739209810.2546053;-33.981070128970906
1739209810.254609;-38.13080360867914
1739209810.2546127;-38.13080360867914
1739209810.2546163;-38.13080360867914
1739209810.25462;-38.13080360867914
1739209810.2546237;-38.13080360867914
1739209810.2546275;-38.13080360867914
1739209810.254631;-38.13080360867914
1739209810.2546346;-35.57807855764607
1739209810.2546384;-33.981070128970906
1739209810.254642;-45.120503652039325
1739209810.2546458;-38.13080360867914
1739209810.2546494;-38.13080360867914
1739209810.254653;-45.120503652039325
1739209810.2546568;-31.141103565318915
1739209810.2546604;-38.13080360867914
1739209810.254664;-45.120503652039325
1739209810.2546678;-38.13080360867914
1739209810.2546713;-32.816014438256545
1739209810.2546751;-35.57807855764607
1739209810.2546787;-38.13080360867914
1739209810.2546823;-45.120503652039325
1739209810.254686;-38.13080360867914
1739209810.2546897;-38.13080360867914
1739209810.2546935;-45.120503652039325
1739209810.254697;-38.13080360867914
1739209810.2547007;-38.13080360867914
1739209810.2547045;-38.13080360867914
1739209810.254708;-38.13080360867914
1739209810.2547119;-45.120503652039325
1739209810.2547154;-38.13080360867914
1739209810.254719;-45.120503652039325
1739209810.2547228;-45.120503652039325
1739209810.2547264;-45.120503652039325
1739209810.25473;-38.13080360867914
1739209810.2547338;-38.13080360867914
1739209810.2547374;-45.120503652039325
1739209810.2547412;-45.120503652039325
1739209810.2547448;-28.992665084841942
1739209810.2547483;-38.13080360867914
1739209810.2547522;-45.120503652039325
1739209810.2547557;-45.120503652039325
1739209810.2547596;-38.13080360867914
1739209810.2547631;-38.13080360867914
1739209810.2547667;-38.13080360867914
1739209810.2547705;-38.13080360867914
1739209810.254774;-35.57807855764607
1739209810.254778;-45.120503652039325
1739209810.2547815;-38.13080360867914
1739209810.254785;-38.13080360867914
1739209810.2547889;-45.120503652039325
1739209810.2547925;-45.120503652039325
1739209810.254796;-38.13080360867914
1739209810.2547998;-35.57807855764607
1739209810.2548034;-45.120503652039325
1739209810.2548072;-45.120503652039325
1739209810.2548108;-38.13080360867914
1739209810.2548144;-45.120503652039325
1739209810.2548182;-45.120503652039325
1739209810.2548218;-45.120503652039325
1739209810.2548256;-33.981070128970906
1739209810.2548292;-45.120503652039325
1739209810.2548327;-30.49652367304973
1739209810.2548366;-32.816014438256545
1739209810.2548401;-45.120503652039325
1739209810.254844;-38.13080360867914
1739209810.2548475;-35.57807855764607
1739209810.254851;-38.13080360867914
1739209810.254855;-45.120503652039325
1739209810.2548585;-32.816014438256545
1739209810.254862;-38.13080360867914
1739209810.254866;-45.120503652039325
1739209810.2548695;-38.13080360867914
1739209810.2548733;-45.120503652039325
1739209810.2548769;-38.13080360867914
1739209810.2548804;-38.13080360867914
1739209810.2548842;-45.120503652039325
1739209810.2548878;-45.120503652039325
1739209810.2548916;-28.58837851428586
1739209810.2548952;-31.141103565318893
