CAN Message; 0x1a7:00009554a4dcd93b
Timestamp;Amplitude
1739209828.6910627;-45.120503652039325
1739209828.6910703;-38.13080360867914
1739209828.6910777;-35.57807855764607
1739209828.6910853;-35.57807855764607
1739209828.691093;-38.13080360867914
1739209828.6911004;-33.981070128970906
1739209828.691108;-35.57807855764607
1739209828.6911156;-45.120503652039325
1739209828.691123;-45.120503652039325
1739209828.6911306;-38.13080360867914
1739209828.6911383;-38.13080360867914
1739209828.691146;-38.13080360867914
1739209828.6911533;-45.120503652039325
1739209828.691161;-45.120503652039325
1739209828.6911685;-35.57807855764607
1739209828.691176;-38.13080360867914
1739209828.6911836;-45.120503652039325
1739209828.6911912;-38.13080360867914
1739209828.6911986;-45.120503652039325
1739209828.6912062;-38.13080360867914
1739209828.6912138;-38.13080360867914
1739209828.6912212;-45.120503652039325
1739209828.6912289;-45.120503652039325
1739209828.6912365;-33.981070128970906
1739209828.691244;-38.13080360867914
1739209828.6912515;-45.120503652039325
1739209828.6912591;-38.13080360867914
1739209828.6912665;-35.57807855764607
1739209828.6912742;-45.120503652039325
1739209828.6912818;-45.120503652039325
1739209828.6912892;-33.981070128970906
1739209828.6912968;-45.120503652039325
1739209828.6913044;-45.120503652039325
1739209828.691312;-45.120503652039325
1739209828.6913195;-45.120503652039325
1739209828.691327;-45.120503652039325
1739209828.6913347;-45.120503652039325
1739209828.691342;-45.120503652039325
1739209828.6913497;-45.120503652039325
1739209828.6913574;-45.120503652039325
1739209828.6913648;-45.120503652039325
1739209828.6913724;-45.120503652039325
1739209828.69138;-38.13080360867914
1739209828.6913874;-38.13080360867914
1739209828.691395;-38.13080360867914
1739209828.6914027;-45.120503652039325
1739209828.69141;-38.13080360867914
1739209828.6914177;-45.120503652039325
1739209828.6914253;-38.13080360867914
1739209828.6914327;-35.57807855764607
1739209828.6914403;-38.13080360867914
1739209828.691448;-38.13080360867914
1739209828.6914556;-38.13080360867914
1739209828.691463;-38.13080360867914
1739209828.6914706;-45.120503652039325
1739209828.6914783;-35.57807855764607
1739209828.6914856;-45.120503652039325
1739209828.6914933;-45.120503652039325
1739209828.691501;-45.120503652039325
1739209828.6915083;-38.13080360867914
1739209828.691516;-32.816014438256545
1739209828.6915236;-38.13080360867914
