CAN Message; 0x1a7:0000045c1fd8a93d
Timestamp;Amplitude
1739209848.848038;-33.981070128970906
1739209848.84804;-45.120503652039325
1739209848.848042;-45.120503652039325
1739209848.8480442;-31.141103565318893
1739209848.8480463;-33.981070128970906
1739209848.8480482;-45.120503652039325
1739209848.8480504;-38.13080360867914
1739209848.8480525;-35.57807855764607
1739209848.8480544;-38.13080360867914
1739209848.8480566;-45.120503652039325
1739209848.8480587;-38.13080360867914
1739209848.8480606;-35.57807855764607
1739209848.8480628;-38.13080360867914
1739209848.848065;-45.120503652039325
1739209848.8480668;-33.981070128970906
1739209848.848069;-45.120503652039325
1739209848.848071;-45.120503652039325
1739209848.848073;-45.120503652039325
1739209848.8480752;-38.13080360867914
1739209848.8480773;-45.120503652039325
1739209848.8480792;-33.981070128970956
1739209848.8480814;-45.120503652039325
1739209848.8480835;-38.13080360867914
1739209848.8480854;-38.13080360867914
1739209848.8480875;-38.13080360867914
1739209848.8480897;-35.57807855764607
1739209848.8480916;-45.120503652039325
1739209848.8480937;-33.981070128970906
1739209848.848096;-30.49652367304973
1739209848.8480978;-35.57807855764607
1739209848.8481;-38.13080360867914
1739209848.848102;-45.120503652039325
1739209848.8481042;-33.981070128970906
1739209848.8481061;-38.13080360867914
1739209848.8481083;-33.981070128970906
1739209848.8481104;-45.120503652039325
1739209848.8481123;-38.13080360867914
1739209848.8481145;-38.13080360867914
1739209848.8481166;-38.13080360867914
1739209848.8481185;-45.120503652039325
1739209848.8481207;-45.120503652039325
1739209848.8481228;-35.57807855764607
1739209848.8481247;-38.13080360867914
1739209848.848127;-38.13080360867914
1739209848.848129;-38.13080360867914
1739209848.848131;-35.57807855764607
1739209848.848133;-38.13080360867914
1739209848.8481352;-45.120503652039325
1739209848.8481371;-38.13080360867914
1739209848.8481393;-35.57807855764607
1739209848.8481414;-38.13080360867914
1739209848.8481433;-38.13080360867914
1739209848.8481455;-38.13080360867914
1739209848.8481476;-38.13080360867914
1739209848.8481495;-38.13080360867914
1739209848.8481517;-38.13080360867914
1739209848.8481538;-32.816014438256545
1739209848.8481557;-38.13080360867914
1739209848.848158;-38.13080360867914
1739209848.84816;-45.120503652039325
1739209848.848162;-45.120503652039325
1739209848.848164;-38.13080360867914
1739209848.8481662;-38.13080360867914
1739209848.8481681;-45.120503652039325
1739209848.8481703;-45.120503652039325
1739209848.8481724;-38.13080360867914
1739209848.8481743;-38.13080360867914
1739209848.8481765;-38.13080360867914
1739209848.8481786;-35.57807855764607
1739209848.8481805;-45.120503652039325
1739209848.8481827;-45.120503652039325
1739209848.8481848;-38.13080360867914
1739209848.8481867;-35.57807855764607
1739209848.8481889;-38.13080360867914
1739209848.848191;-45.120503652039325
1739209848.848193;-45.120503652039325
1739209848.848195;-38.13080360867914
1739209848.8481972;-45.120503652039325
1739209848.8481991;-45.120503652039325
1739209848.8482013;-32.816014438256545
1739209848.8482034;-45.120503652039325
1739209848.8482053;-45.120503652039325
1739209848.8482075;-33.981070128970906
1739209848.8482096;-38.13080360867914
1739209848.8482115;-45.120503652039325
1739209848.8482137;-45.120503652039325
1739209848.8482158;-45.120503652039325
1739209848.8482177;-35.57807855764607
1739209848.8482199;-38.13080360867914
1739209848.848222;-45.120503652039325
1739209848.848224;-38.13080360867914
