CAN Message; 0x1bb:00006f54a8fc900e
Timestamp;Amplitude
1739209717.8137069;-45.120503652039325
1739209717.813711;-38.13080360867914
1739209717.8137147;-35.57807855764607
1739209717.8137188;-38.13080360867914
1739209717.8137228;-35.57807855764607
1739209717.813727;-45.120503652039325
1739209717.813731;-38.13080360867914
1739209717.813735;-35.57807855764607
1739209717.813739;-35.57807855764607
1739209717.8137429;-45.120503652039325
1739209717.813747;-45.120503652039325
1739209717.813751;-38.13080360867914
1739209717.813755;-35.57807855764607
1739209717.813759;-38.13080360867914
1739209717.8137631;-35.57807855764607
1739209717.8137672;-45.120503652039325
1739209717.813771;-31.141103565318943
1739209717.813775;-38.13080360867914
1739209717.813779;-32.816014438256545
1739209717.8137832;-38.13080360867914
1739209717.8137872;-45.120503652039325
1739209717.8137913;-38.13080360867914
1739209717.8137953;-45.120503652039325
1739209717.8137991;-38.13080360867914
1739209717.8138032;-29.438486411369333
1739209717.8138072;-35.57807855764607
1739209717.8138113;-38.13080360867914
1739209717.8138154;-45.120503652039325
1739209717.8138194;-35.57807855764607
1739209717.8138235;-35.57807855764607
1739209717.8138273;-38.13080360867914
1739209717.8138313;-38.13080360867914
1739209717.8138354;-45.120503652039325
1739209717.8138394;-45.120503652039325
1739209717.8138435;-38.13080360867914
1739209717.8138475;-38.13080360867914
1739209717.8138514;-45.120503652039325
1739209717.8138554;-38.13080360867914
1739209717.8138595;-45.120503652039325
1739209717.8138635;-38.13080360867914
1739209717.8138676;-38.13080360867914
1739209717.8138716;-45.120503652039325
1739209717.8138757;-35.57807855764607
1739209717.8138795;-38.13080360867914
1739209717.8138835;-45.120503652039325
1739209717.8138876;-45.120503652039325
1739209717.8138916;-35.57807855764607
1739209717.8138957;-45.120503652039325
1739209717.8138998;-31.141103565318915
1739209717.8139038;-35.57807855764607
1739209717.8139076;-45.120503652039325
1739209717.8139117;-38.13080360867914
1739209717.8139157;-35.57807855764607
1739209717.8139198;-38.13080360867914
1739209717.8139238;-35.57807855764607
1739209717.813928;-33.981070128970906
1739209717.813932;-33.981070128970956
1739209717.8139358;-38.13080360867914
1739209717.8139398;-35.57807855764607
1739209717.8139439;-38.13080360867914
1739209717.813948;-45.120503652039325
1739209717.813952;-38.13080360867914
1739209717.813956;-35.57807855764607
1739209717.81396;-45.120503652039325
1739209717.813964;-33.981070128970906
1739209717.813968;-35.57807855764607
