CAN Message; 0x150:0000a4ea39d64581
Timestamp;Amplitude
1739209818.9914544;-45.120503652039325
1739209818.9914625;-38.13080360867914
1739209818.9914706;-45.120503652039325
1739209818.9914787;-45.120503652039325
1739209818.9914868;-27.267205301931607
1739209818.991495;-38.13080360867914
1739209818.991503;-38.13080360867914
1739209818.991511;-45.120503652039325
1739209818.9915192;-38.13080360867914
1739209818.9915273;-38.13080360867914
1739209818.9915354;-38.13080360867914
1739209818.9915435;-45.120503652039325
1739209818.9915514;-33.981070128970906
1739209818.9915595;-33.981070128970906
1739209818.9915676;-45.120503652039325
1739209818.9915757;-33.981070128970906
1739209818.9915838;-38.13080360867914
1739209818.991592;-38.13080360867914
1739209818.9916;-45.120503652039325
1739209818.9916081;-45.120503652039325
1739209818.9916162;-38.13080360867914
1739209818.9916244;-38.13080360867914
1739209818.9916325;-45.120503652039325
1739209818.9916406;-45.120503652039325
1739209818.9916487;-38.13080360867914
1739209818.9916568;-45.120503652039325
1739209818.991665;-45.120503652039325
1739209818.9916728;-45.120503652039325
1739209818.9916809;-33.981070128970906
1739209818.991689;-32.816014438256545
1739209818.991697;-38.13080360867914
1739209818.9917052;-45.120503652039325
1739209818.9917133;-38.13080360867914
1739209818.9917214;-38.13080360867914
1739209818.9917295;-45.120503652039325
1739209818.9917376;-35.57807855764607
1739209818.9917457;-38.13080360867914
1739209818.9917538;-38.13080360867914
1739209818.991762;-32.816014438256545
1739209818.99177;-38.13080360867914
1739209818.9917781;-45.120503652039325
1739209818.9917862;-45.120503652039325
1739209818.9917943;-38.13080360867914
1739209818.9918022;-45.120503652039325
1739209818.9918103;-45.120503652039325
1739209818.9918184;-35.57807855764607
1739209818.9918265;-38.13080360867914
1739209818.9918346;-45.120503652039325
1739209818.9918427;-45.120503652039325
1739209818.9918509;-38.13080360867914
1739209818.991859;-38.13080360867914
1739209818.991867;-38.13080360867914
1739209818.9918752;-45.120503652039325
1739209818.9918833;-38.13080360867914
1739209818.9918914;-38.13080360867914
1739209818.9918995;-35.57807855764607
1739209818.9919076;-38.13080360867914
1739209818.9919157;-45.120503652039325
1739209818.9919236;-45.120503652039325
1739209818.9919317;-45.120503652039325
1739209818.9919398;-45.120503652039325
1739209818.991948;-38.13080360867914
1739209818.991956;-45.120503652039325
1739209818.991964;-45.120503652039325
1739209818.9919722;-38.13080360867914
1739209818.9919803;-45.120503652039325
1739209818.9919884;-45.120503652039325
1739209818.9919965;-38.13080360867914
1739209818.9920046;-35.57807855764607
1739209818.9920127;-35.57807855764607
1739209818.9920208;-45.120503652039325
1739209818.992029;-45.120503652039325
1739209818.992037;-38.13080360867914
1739209818.9920452;-38.13080360867914
1739209818.992053;-45.120503652039325
