CAN Message; 0x1bb:0000f8090f41031c
Timestamp;Amplitude
1739209741.1798997;-38.13080360867914
1739209741.1799011;-45.120503652039325
1739209741.1799023;-45.120503652039325
1739209741.1799035;-38.13080360867914
1739209741.179905;-33.981070128970906
1739209741.1799061;-45.120503652039325
1739209741.1799073;-38.13080360867914
1739209741.1799088;-35.57807855764607
1739209741.17991;-45.120503652039325
1739209741.1799114;-45.120503652039325
1739209741.1799126;-45.120503652039325
1739209741.1799138;-38.13080360867914
1739209741.1799152;-45.120503652039325
1739209741.1799164;-38.13080360867914
1739209741.1799176;-38.13080360867914
1739209741.179919;-45.120503652039325
1739209741.1799202;-38.13080360867914
1739209741.1799214;-45.120503652039325
1739209741.1799228;-45.120503652039325
1739209741.179924;-38.13080360867914
1739209741.1799254;-38.13080360867914
1739209741.1799266;-38.13080360867914
1739209741.1799278;-38.13080360867914
1739209741.1799293;-38.13080360867914
1739209741.1799304;-38.13080360867914
1739209741.1799316;-45.120503652039325
1739209741.179933;-45.120503652039325
1739209741.1799343;-45.120503652039325
1739209741.1799355;-38.13080360867914
1739209741.179937;-32.816014438256545
1739209741.179938;-38.13080360867914
1739209741.1799395;-38.13080360867914
1739209741.1799407;-38.13080360867914
1739209741.179942;-38.13080360867914
1739209741.1799433;-45.120503652039325
1739209741.1799445;-38.13080360867914
1739209741.1799457;-33.981070128970906
1739209741.1799471;-38.13080360867914
1739209741.1799483;-38.13080360867914
1739209741.1799495;-38.13080360867914
1739209741.179951;-33.981070128970906
1739209741.1799521;-33.981070128970906
1739209741.1799533;-45.120503652039325
1739209741.1799548;-45.120503652039325
1739209741.179956;-45.120503652039325
1739209741.1799574;-45.120503652039325
1739209741.1799586;-38.13080360867914
1739209741.1799598;-32.816014438256545
1739209741.1799612;-33.981070128970906
1739209741.1799624;-45.120503652039325
1739209741.1799636;-38.13080360867914
1739209741.179965;-32.816014438256545
1739209741.1799662;-45.120503652039325
1739209741.1799674;-45.120503652039325
1739209741.1799688;-45.120503652039325
1739209741.17997;-38.13080360867914
1739209741.1799715;-38.13080360867914
1739209741.1799726;-45.120503652039325
1739209741.1799738;-38.13080360867914
1739209741.1799753;-33.981070128970906
1739209741.1799765;-38.13080360867914
1739209741.1799777;-45.120503652039325
1739209741.179979;-33.981070128970906
1739209741.1799803;-33.981070128970906
1739209741.1799815;-33.981070128970906
1739209741.179983;-38.13080360867914
1739209741.179984;-38.13080360867914
1739209741.1799855;-33.981070128970906
1739209741.1799867;-33.981070128970906
1739209741.179988;-32.816014438256545
1739209741.1799893;-38.13080360867914
1739209741.1799905;-35.57807855764607
1739209741.1799917;-31.141103565318915
1739209741.1799932;-45.120503652039325
1739209741.1799943;-45.120503652039325
1739209741.1799955;-45.120503652039325
