CAN Message; 0x1a7:00001b0c22d0b5b9
Timestamp;Amplitude
1739209781.1924152;-38.13080360867914
1739209781.1924217;-35.57807855764607
1739209781.1924279;-35.57807855764607
1739209781.1924343;-38.13080360867914
1739209781.1924405;-38.13080360867914
1739209781.1924467;-45.120503652039325
1739209781.1924531;-38.13080360867914
1739209781.1924593;-33.981070128970906
1739209781.1924658;-38.13080360867914
1739209781.192472;-38.13080360867914
1739209781.1924782;-38.13080360867914
1739209781.1924846;-27.267205301931607
1739209781.1924908;-38.13080360867914
1739209781.1924973;-38.13080360867914
1739209781.1925035;-38.13080360867914
1739209781.19251;-45.120503652039325
1739209781.192516;-38.13080360867914
1739209781.1925223;-45.120503652039325
1739209781.1925287;-33.981070128970906
1739209781.192535;-33.981070128970906
1739209781.1925414;-38.13080360867914
1739209781.1925476;-38.13080360867914
1739209781.1925538;-45.120503652039325
1739209781.1925602;-38.13080360867914
1739209781.1925664;-45.120503652039325
1739209781.1925728;-45.120503652039325
1739209781.192579;-33.981070128970906
1739209781.1925855;-33.981070128970906
1739209781.1925917;-38.13080360867914
1739209781.1925979;-38.13080360867914
1739209781.1926043;-45.120503652039325
1739209781.1926105;-38.13080360867914
1739209781.192617;-35.57807855764607
1739209781.1926231;-38.13080360867914
1739209781.1926293;-45.120503652039325
1739209781.1926358;-45.120503652039325
1739209781.192642;-38.13080360867914
1739209781.1926484;-32.816014438256545
1739209781.1926546;-45.120503652039325
1739209781.1926608;-38.13080360867914
1739209781.1926672;-35.57807855764607
1739209781.1926734;-38.13080360867914
1739209781.19268;-38.13080360867914
1739209781.192686;-30.49652367304973
1739209781.1926925;-28.992665084841942
1739209781.1926987;-45.120503652039325
1739209781.192705;-45.120503652039325
1739209781.1927114;-45.120503652039325
1739209781.1927176;-38.13080360867914
1739209781.192724;-33.981070128970906
1739209781.1927302;-45.120503652039325
1739209781.1927364;-38.13080360867914
1739209781.1927428;-38.13080360867914
1739209781.192749;-38.13080360867914
1739209781.1927555;-45.120503652039325
1739209781.1927617;-38.13080360867914
1739209781.192768;-35.57807855764607
1739209781.1927743;-38.13080360867914
1739209781.1927805;-45.120503652039325
1739209781.192787;-38.13080360867914
1739209781.1927931;-38.13080360867914
1739209781.1927996;-38.13080360867914
1739209781.1928058;-38.13080360867914
1739209781.192812;-38.13080360867914
1739209781.1928184;-38.13080360867914
1739209781.1928246;-45.120503652039325
1739209781.192831;-38.13080360867914
1739209781.1928372;-35.57807855764607
1739209781.1928434;-45.120503652039325
1739209781.1928499;-45.120503652039325
1739209781.192856;-35.57807855764607
1739209781.1928625;-35.57807855764607
1739209781.1928687;-45.120503652039325
1739209781.1928751;-45.120503652039325
1739209781.1928813;-38.13080360867914
1739209781.1928875;-38.13080360867914
1739209781.192894;-38.13080360867914
1739209781.1929002;-38.13080360867914
1739209781.1929066;-35.57807855764607
1739209781.1929128;-35.57807855764607
1739209781.192919;-45.120503652039325
1739209781.1929255;-38.13080360867914
1739209781.1929317;-38.13080360867914
1739209781.192938;-38.13080360867914
1739209781.1929443;-35.57807855764607
1739209781.1929507;-38.13080360867914
1739209781.192957;-45.120503652039325
1739209781.1929631;-38.13080360867914
1739209781.1929696;-33.981070128970906
1739209781.1929758;-32.816014438256545
1739209781.1929822;-38.13080360867914
1739209781.1980872;-38.13080360867914
1739209781.1980913;-45.120503652039325
1739209781.1980953;-45.120503652039325
1739209781.1980994;-45.120503652039325
1739209781.1981034;-38.13080360867914
1739209781.1981075;-38.13080360867914
1739209781.1981115;-45.120503652039325
1739209781.1981156;-35.57807855764607
1739209781.1981196;-38.13080360867914
1739209781.1981237;-45.120503652039325
1739209781.1981277;-45.120503652039325
1739209781.1981318;-33.981070128970956
1739209781.198136;-45.120503652039325
1739209781.1981401;-38.13080360867914
1739209781.1981442;-45.120503652039325
1739209781.1981483;-45.120503652039325
1739209781.1981523;-45.120503652039325
1739209781.1981564;-38.13080360867914
1739209781.1981604;-38.13080360867914
1739209781.1981645;-29.438486411369333
1739209781.1981685;-35.57807855764607
1739209781.1981726;-45.120503652039325
1739209781.1981766;-31.141103565318915
1739209781.1981807;-33.981070128970906
1739209781.1981847;-38.13080360867914
1739209781.1981888;-32.816014438256545
1739209781.1981928;-38.13080360867914
1739209781.198197;-45.120503652039325
1739209781.198201;-45.120503652039325
1739209781.198205;-45.120503652039325
1739209781.198209;-38.13080360867914
1739209781.198213;-38.13080360867914
1739209781.1982172;-45.120503652039325
1739209781.1982212;-45.120503652039325
1739209781.1982253;-38.13080360867914
1739209781.1982293;-33.981070128970956
1739209781.1982336;-45.120503652039325
1739209781.1982377;-38.13080360867914
1739209781.1982417;-45.120503652039325
1739209781.1982458;-45.120503652039325
1739209781.1982498;-38.13080360867914
1739209781.1982539;-45.120503652039325
1739209781.198258;-45.120503652039325
1739209781.198262;-32.816014438256545
1739209781.198266;-38.13080360867914
1739209781.19827;-45.120503652039325
1739209781.1982741;-38.13080360867914
1739209781.1982782;-45.120503652039325
1739209781.1982822;-38.13080360867914
1739209781.1982863;-35.57807855764607
1739209781.1982903;-38.13080360867914
1739209781.1982944;-45.120503652039325
1739209781.1982985;-45.120503652039325
1739209781.1983025;-45.120503652039325
1739209781.1983066;-38.13080360867914
1739209781.1983106;-38.13080360867914
1739209781.1983147;-45.120503652039325
1739209781.1983187;-38.13080360867914
1739209781.1983228;-35.57807855764607
1739209781.1983268;-45.120503652039325
1739209781.198331;-45.120503652039325
1739209781.1983352;-35.57807855764607
1739209781.1983392;-38.13080360867914
1739209781.1983433;-45.120503652039325
1739209781.1983473;-38.13080360867914
1739209781.1983514;-45.120503652039325
1739209781.1983554;-45.120503652039325
1739209781.1983595;-32.816014438256545
1739209781.1983635;-35.57807855764607
1739209781.1983676;-45.120503652039325
1739209781.1983716;-45.120503652039325
1739209781.1983757;-45.120503652039325
1739209781.1983798;-38.13080360867914
1739209781.1983838;-38.13080360867914
1739209781.1983879;-38.13080360867914
1739209781.198392;-45.120503652039325
1739209781.198396;-45.120503652039325
1739209781.1984;-38.13080360867914
1739209781.198404;-38.13080360867914
1739209781.1984081;-35.57807855764607
1739209781.1984122;-38.13080360867914
1739209781.1984162;-45.120503652039325
1739209781.1984203;-38.13080360867914
1739209781.1984243;-38.13080360867914
1739209781.1984284;-33.981070128970906
1739209781.1984327;-35.57807855764607
1739209781.1984367;-35.57807855764607
1739209781.1984408;-45.120503652039325
1739209781.1984448;-38.13080360867914
1739209781.198449;-38.13080360867914
1739209781.198453;-45.120503652039325
1739209781.198457;-35.57807855764607
1739209781.198461;-33.981070128970906
1739209781.198465;-45.120503652039325
1739209781.1984692;-45.120503652039325
1739209781.1984732;-38.13080360867914
1739209781.1984773;-38.13080360867914
1739209781.1984813;-45.120503652039325
1739209781.1984854;-45.120503652039325
1739209781.1984894;-38.13080360867914
1739209781.1984935;-33.981070128970906
1739209781.1984975;-45.120503652039325
1739209781.1985016;-45.120503652039325
1739209781.1985056;-45.120503652039325
1739209781.1985097;-38.13080360867914
1739209781.1985137;-38.13080360867914
1739209781.1985178;-45.120503652039325
1739209781.1985219;-45.120503652039325
1739209781.198526;-38.13080360867914
1739209781.1985302;-38.13080360867914
1739209781.1985343;-45.120503652039325
1739209781.1985383;-38.13080360867914
1739209781.1985424;-45.120503652039325
1739209781.1985464;-45.120503652039325
1739209781.1985505;-38.13080360867914
1739209781.1985545;-32.816014438256545
1739209781.1985586;-38.13080360867914
1739209781.1985626;-45.120503652039325
1739209781.1985667;-45.120503652039325
1739209781.1985707;-45.120503652039325
1739209781.1985748;-38.13080360867914
1739209781.1985788;-45.120503652039325
1739209781.198583;-45.120503652039325
1739209781.198587;-38.13080360867914
1739209781.198591;-31.141103565318915
1739209781.198595;-38.13080360867914
1739209781.198599;-33.981070128970906
1739209781.1986032;-45.120503652039325
1739209781.1986072;-38.13080360867914
1739209781.1986113;-38.13080360867914
1739209781.1986153;-33.981070128970906
1739209781.1986194;-45.120503652039325
1739209781.1986234;-33.981070128970906
1739209781.1986275;-33.981070128970906
1739209781.1986318;-45.120503652039325
1739209781.1986358;-38.13080360867914
1739209781.1986399;-38.13080360867914
1739209781.198644;-45.120503652039325
1739209781.198648;-45.120503652039325
1739209781.198652;-45.120503652039325
1739209781.198656;-45.120503652039325
1739209781.1986601;-45.120503652039325
1739209781.1986642;-45.120503652039325
1739209781.1986682;-45.120503652039325
1739209781.1986723;-38.13080360867914
1739209781.1986763;-35.57807855764607
1739209781.1986804;-35.57807855764607
1739209781.1986845;-38.13080360867914
1739209781.1986885;-33.981070128970906
1739209781.1986926;-38.13080360867914
1739209781.1986966;-38.13080360867914
1739209781.1987007;-45.120503652039325
1739209781.1987047;-45.120503652039325
1739209781.1987088;-38.13080360867914
1739209781.1987128;-38.13080360867914
1739209781.1987169;-45.120503652039325
1739209781.198721;-31.141103565318915
1739209781.198725;-31.141103565318915
1739209781.1987293;-38.13080360867914
1739209781.1987333;-45.120503652039325
1739209781.1987374;-38.13080360867914
1739209781.1987414;-33.981070128970906
1739209781.1987455;-38.13080360867914
1739209781.1987495;-38.13080360867914
1739209781.1987536;-45.120503652039325
1739209781.1987576;-38.13080360867914
1739209781.1987617;-35.57807855764607
1739209781.1987658;-45.120503652039325
1739209781.1987698;-45.120503652039325
1739209781.1987739;-31.141103565318893
1739209781.198778;-32.816014438256545
1739209781.198782;-38.13080360867914
1739209781.198786;-33.981070128970906
1739209781.19879;-31.141103565318915
1739209781.1987941;-38.13080360867914
1739209781.1987982;-38.13080360867914
1739209781.1988022;-45.120503652039325
1739209781.1988063;-45.120503652039325
1739209781.1988103;-38.13080360867914
1739209781.1988144;-45.120503652039325
1739209781.1988184;-45.120503652039325
1739209781.1988225;-38.13080360867914
1739209781.1988268;-38.13080360867914
1739209781.1988308;-45.120503652039325
1739209781.198835;-45.120503652039325
1739209781.198839;-45.120503652039325
1739209781.198843;-45.120503652039325
1739209781.198847;-38.13080360867914
1739209781.198851;-45.120503652039325
1739209781.1988552;-38.13080360867914
1739209781.1988592;-38.13080360867914
1739209781.1988633;-45.120503652039325
1739209781.1988673;-45.120503652039325
1739209781.1988714;-33.981070128970906
1739209781.1988754;-38.13080360867914
1739209781.1988795;-38.13080360867914
1739209781.1988835;-38.13080360867914
1739209781.1988876;-38.13080360867914
1739209781.1988916;-38.13080360867914
1739209781.1988957;-38.13080360867914
1739209781.1988997;-45.120503652039325
1739209781.1989038;-45.120503652039325
1739209781.1989079;-38.13080360867914
1739209781.198912;-38.13080360867914
1739209781.198916;-45.120503652039325
1739209781.19892;-45.120503652039325
1739209781.198924;-38.13080360867914
1739209781.1989284;-33.981070128970906
1739209781.1989324;-32.816014438256545
1739209781.1989365;-38.13080360867914
1739209781.1989405;-38.13080360867914
1739209781.1989446;-38.13080360867914
1739209781.1989486;-45.120503652039325
1739209781.1989527;-32.816014438256545
1739209781.1989567;-35.57807855764607
1739209781.1989608;-45.120503652039325
1739209781.1989648;-38.13080360867914
1739209781.198969;-38.13080360867914
1739209781.198973;-35.57807855764607
1739209781.198977;-38.13080360867914
1739209781.198981;-32.816014438256545
1739209781.198985;-45.120503652039325
1739209781.1989892;-45.120503652039325
1739209781.1989932;-35.57807855764607
1739209781.1989973;-45.120503652039325
1739209781.1990013;-45.120503652039325
1739209781.1990054;-45.120503652039325
1739209781.1990094;-35.57807855764607
1739209781.1990135;-45.120503652039325
1739209781.1990175;-45.120503652039325
1739209781.1990216;-45.120503652039325
1739209781.1990259;-38.13080360867914
1739209781.19903;-31.141103565318915
1739209781.199034;-32.816014438256545
1739209781.199038;-38.13080360867914
1739209781.199042;-45.120503652039325
1739209781.1990461;-45.120503652039325
1739209781.1990502;-32.816014438256545
1739209781.1990542;-30.49652367304973
1739209781.1990583;-45.120503652039325
1739209781.1990623;-38.13080360867914
1739209781.1990664;-38.13080360867914
1739209781.1990705;-45.120503652039325
1739209781.1990745;-45.120503652039325
1739209781.1990786;-45.120503652039325
1739209781.1990826;-45.120503652039325
