CAN Message; 0x1a7:0000f0a329d4fc7c
Timestamp;Amplitude
1739209705.7534637;-38.13080360867914
1739209705.753475;-38.13080360867914
1739209705.753486;-35.57807855764607
1739209705.753497;-38.13080360867914
1739209705.7535079;-38.13080360867914
1739209705.753519;-31.141103565318915
1739209705.75353;-38.13080360867914
1739209705.753541;-45.120503652039325
1739209705.753552;-38.13080360867914
1739209705.7535632;-31.141103565318915
1739209705.7535741;-45.120503652039325
1739209705.753585;-45.120503652039325
1739209705.753596;-38.13080360867914
1739209705.7536073;-33.981070128970906
1739209705.7536182;-38.13080360867914
1739209705.7536292;-38.13080360867914
1739209705.7536402;-45.120503652039325
1739209705.7536514;-45.120503652039325
1739209705.7536623;-45.120503652039325
1739209705.7536733;-38.13080360867914
1739209705.7536843;-45.120503652039325
1739209705.7536952;-33.981070128970906
1739209705.7537065;-38.13080360867914
1739209705.7537174;-45.120503652039325
1739209705.7537284;-38.13080360867914
1739209705.7537394;-45.120503652039325
1739209705.7537506;-38.13080360867914
1739209705.7537615;-38.13080360867914
1739209705.7537725;-45.120503652039325
1739209705.7537835;-31.141103565318915
1739209705.7537947;-31.141103565318915
1739209705.7538056;-38.13080360867914
1739209705.7538166;-45.120503652039325
1739209705.7538276;-38.13080360867914
1739209705.7538388;-38.13080360867914
1739209705.7538497;-38.13080360867914
1739209705.7538607;-38.13080360867914
1739209705.7538717;-33.981070128970906
1739209705.753883;-38.13080360867914
1739209705.7538939;-45.120503652039325
1739209705.7539048;-45.120503652039325
1739209705.7539158;-45.120503652039325
1739209705.753927;-38.13080360867914
1739209705.753938;-38.13080360867914
1739209705.753949;-45.120503652039325
1739209705.75396;-31.141103565318915
1739209705.753971;-33.981070128970906
1739209705.753982;-38.13080360867914
1739209705.753993;-45.120503652039325
1739209705.754004;-38.13080360867914
1739209705.7540152;-45.120503652039325
1739209705.7540262;-45.120503652039325
1739209705.7540371;-33.981070128970906
1739209705.754048;-38.13080360867914
1739209705.7540593;-33.981070128970906
1739209705.7540703;-45.120503652039325
1739209705.7540812;-38.13080360867914
1739209705.7540922;-33.981070128970906
1739209705.7541034;-33.981070128970906
1739209705.7541144;-33.981070128970906
1739209705.7541254;-35.57807855764607
1739209705.7541363;-31.141103565318915
1739209705.7541475;-28.992665084841942
1739209705.7541585;-45.120503652039325
1739209705.7541695;-38.13080360867914
1739209705.7541804;-33.981070128970906
1739209705.7541914;-45.120503652039325
1739209705.7542026;-45.120503652039325
1739209705.7542136;-35.57807855764607
1739209705.7542245;-38.13080360867914
1739209705.7542355;-38.13080360867914
1739209705.7542467;-35.57807855764607
1739209705.7542577;-45.120503652039325
1739209705.7542686;-33.981070128970906
1739209705.7542796;-35.57807855764607
1739209705.7542908;-38.13080360867914
1739209705.7543018;-45.120503652039325
1739209705.7543128;-38.13080360867914
1739209705.7543237;-35.57807855764607
1739209705.754335;-38.13080360867914
1739209705.754346;-45.120503652039325
1739209705.7543569;-45.120503652039325
1739209705.7543678;-35.57807855764607
1739209705.754379;-35.57807855764607
1739209705.75439;-45.120503652039325
1739209705.754401;-38.13080360867914
1739209705.754412;-33.981070128970906
1739209705.7544231;-45.120503652039325
1739209705.754434;-45.120503652039325
1739209705.754445;-38.13080360867914
1739209705.754456;-38.13080360867914
1739209705.7544672;-45.120503652039325
1739209705.7544782;-38.13080360867914
1739209705.7544892;-45.120503652039325
1739209705.7545002;-38.13080360867914
1739209705.7545114;-35.57807855764607
1739209705.7545223;-38.13080360867914
1739209705.7545333;-38.13080360867914
1739209705.7545443;-38.13080360867914
1739209705.7545555;-35.57807855764607
1739209705.7545664;-38.13080360867914
1739209705.7545774;-33.981070128970906
1739209705.7545884;-38.13080360867914
1739209705.7545996;-45.120503652039325
1739209705.7546105;-45.120503652039325
1739209705.7546215;-45.120503652039325
1739209705.7546325;-45.120503652039325
1739209705.7546434;-45.120503652039325
1739209705.7546546;-38.13080360867914
1739209705.7546656;-38.13080360867914
1739209705.7546766;-45.120503652039325
1739209705.7546875;-45.120503652039325
1739209705.7546988;-38.13080360867914
1739209705.7547097;-35.57807855764607
1739209705.7547207;-45.120503652039325
1739209705.7547317;-45.120503652039325
1739209705.7547429;-38.13080360867914
1739209705.7547538;-45.120503652039325
1739209705.7547648;-33.981070128970906
1739209705.7547758;-38.13080360867914
1739209705.754787;-38.13080360867914
1739209705.754798;-38.13080360867914
1739209705.754809;-45.120503652039325
1739209705.7548199;-32.816014438256545
1739209705.754831;-38.13080360867914
1739209705.754842;-45.120503652039325
1739209705.754853;-45.120503652039325
1739209705.754864;-45.120503652039325
1739209705.7548752;-45.120503652039325
1739209705.7548862;-38.13080360867914
1739209705.754897;-38.13080360867914
1739209705.754908;-45.120503652039325
1739209705.7549193;-38.13080360867914
1739209705.7549303;-38.13080360867914
1739209705.7549412;-45.120503652039325
1739209705.7549522;-45.120503652039325
1739209705.7549634;-45.120503652039325
1739209705.7549744;-45.120503652039325
1739209705.7549853;-38.13080360867914
1739209705.7549963;-45.120503652039325
1739209705.7550075;-45.120503652039325
1739209705.7550185;-45.120503652039325
1739209705.7550294;-32.816014438256545
1739209705.7550404;-29.438486411369333
1739209705.7550516;-45.120503652039325
1739209705.7550626;-45.120503652039325
1739209705.7550735;-38.13080360867914
1739209705.7550845;-38.13080360867914
1739209705.7550957;-45.120503652039325
1739209705.7551067;-38.13080360867914
1739209705.7551177;-45.120503652039325
1739209705.7551286;-38.13080360867914
1739209705.7551396;-33.981070128970906
1739209705.7551508;-45.120503652039325
1739209705.7551618;-45.120503652039325
1739209705.7551727;-45.120503652039325
1739209705.7551837;-33.981070128970906
1739209705.755195;-38.13080360867914
1739209705.7552059;-45.120503652039325
1739209705.7552168;-45.120503652039325
1739209705.7552278;-38.13080360867914
1739209705.755239;-35.57807855764607
1739209705.75525;-45.120503652039325
1739209705.755261;-45.120503652039325
1739209705.755272;-38.13080360867914
1739209705.755283;-45.120503652039325
1739209705.755294;-31.141103565318915
1739209705.755305;-26.991370085610722
1739209705.755316;-45.120503652039325
1739209705.7553272;-38.13080360867914
1739209705.7553382;-38.13080360867914
