CAN Message; 0x62:02b820ed2c8f17ee
Timestamp;Amplitude
1739209842.5710235;-32.816014438256545
1739209842.5710325;-38.13080360867914
1739209842.5710416;-45.120503652039325
1739209842.571051;-38.13080360867914
1739209842.57106;-33.981070128970906
1739209842.571069;-45.120503652039325
1739209842.5710783;-45.120503652039325
1739209842.5710874;-45.120503652039325
1739209842.5710964;-32.816014438256545
1739209842.5711057;-31.141103565318893
1739209842.5711148;-45.120503652039325
1739209842.5711238;-38.13080360867914
1739209842.5711331;-28.992665084841942
1739209842.5711422;-38.13080360867914
1739209842.5711513;-38.13080360867914
1739209842.5711606;-38.13080360867914
1739209842.5711696;-38.13080360867914
1739209842.5711787;-38.13080360867914
1739209842.571188;-38.13080360867914
1739209842.571197;-38.13080360867914
1739209842.571206;-33.981070128970906
1739209842.5712154;-35.57807855764607
1739209842.5712245;-45.120503652039325
1739209842.5712335;-38.13080360867914
1739209842.5712428;-35.57807855764607
1739209842.5712519;-38.13080360867914
1739209842.571261;-45.120503652039325
1739209842.5712702;-45.120503652039325
1739209842.5712793;-33.981070128970906
1739209842.5712883;-38.13080360867914
1739209842.5712976;-45.120503652039325
1739209842.5713067;-38.13080360867914
1739209842.5713158;-45.120503652039325
1739209842.571325;-45.120503652039325
1739209842.5713341;-38.13080360867914
1739209842.5713432;-38.13080360867914
1739209842.5713525;-38.13080360867914
1739209842.5713615;-45.120503652039325
1739209842.5713706;-38.13080360867914
1739209842.5713797;-38.13080360867914
1739209842.571389;-38.13080360867914
1739209842.571398;-38.13080360867914
1739209842.571407;-38.13080360867914
1739209842.5714164;-35.57807855764607
1739209842.5714254;-45.120503652039325
1739209842.5714345;-45.120503652039325
1739209842.5714438;-38.13080360867914
1739209842.5714529;-32.816014438256545
1739209842.571462;-45.120503652039325
1739209842.5714712;-45.120503652039325
1739209842.5714803;-38.13080360867914
1739209842.5714893;-45.120503652039325
1739209842.5714986;-45.120503652039325
1739209842.5715077;-45.120503652039325
1739209842.5715168;-38.13080360867914
1739209842.571526;-38.13080360867914
1739209842.571535;-45.120503652039325
1739209842.5715442;-45.120503652039325
1739209842.5715535;-38.13080360867914
1739209842.5715625;-45.120503652039325
1739209842.5715716;-38.13080360867914
1739209842.571581;-31.141103565318893
1739209842.57159;-45.120503652039325
1739209842.571599;-45.120503652039325
1739209842.5716083;-45.120503652039325
1739209842.5716174;-32.816014438256545
