CAN Message; 0x77:f9203e6fb7a44f79
Timestamp;Amplitude
1739209789.9298253;-45.120503652039325
1739209789.929829;-38.13080360867914
1739209789.9298327;-38.13080360867914
1739209789.9298363;-45.120503652039325
1739209789.92984;-45.120503652039325
1739209789.9298437;-33.981070128970906
1739209789.9298472;-31.141103565318915
1739209789.929851;-38.13080360867914
1739209789.9298546;-45.120503652039325
1739209789.9298584;-45.120503652039325
1739209789.929862;-45.120503652039325
1739209789.9298658;-45.120503652039325
1739209789.9298694;-45.120503652039325
1739209789.9298732;-45.120503652039325
1739209789.9298768;-45.120503652039325
1739209789.9298806;-45.120503652039325
1739209789.9298842;-45.120503652039325
1739209789.929888;-45.120503652039325
1739209789.9298916;-45.120503652039325
1739209789.9298954;-45.120503652039325
1739209789.929899;-45.120503652039325
1739209789.9299026;-45.120503652039325
1739209789.9299064;-45.120503652039325
1739209789.92991;-38.13080360867914
1739209789.9299138;-32.816014438256545
1739209789.9299173;-33.981070128970906
1739209789.9299212;-38.13080360867914
1739209789.9299247;-35.57807855764607
1739209789.9299285;-35.57807855764607
1739209789.929932;-38.13080360867914
1739209789.929936;-38.13080360867914
1739209789.9299395;-35.57807855764607
1739209789.9299433;-38.13080360867914
1739209789.929947;-45.120503652039325
1739209789.9299507;-45.120503652039325
1739209789.9299543;-38.13080360867914
1739209789.929958;-38.13080360867914
1739209789.9299617;-45.120503652039325
1739209789.9299653;-45.120503652039325
1739209789.929969;-35.57807855764607
1739209789.9299726;-35.57807855764607
1739209789.9299765;-38.13080360867914
1739209789.92998;-38.13080360867914
1739209789.9299839;-45.120503652039325
1739209789.9299874;-45.120503652039325
1739209789.9299912;-38.13080360867914
1739209789.9299948;-45.120503652039325
1739209789.9299986;-38.13080360867914
1739209789.9300022;-45.120503652039325
1739209789.930006;-33.981070128970906
1739209789.9300096;-38.13080360867914
1739209789.9300134;-45.120503652039325
1739209789.930017;-33.981070128970906
1739209789.9300208;-38.13080360867914
1739209789.9300244;-38.13080360867914
1739209789.930028;-38.13080360867914
1739209789.9300318;-45.120503652039325
1739209789.9300354;-45.120503652039325
1739209789.9300392;-38.13080360867914
1739209789.9300427;-45.120503652039325
1739209789.9300466;-45.120503652039325
1739209789.9300501;-33.981070128970906
1739209789.930054;-38.13080360867914
1739209789.9300575;-45.120503652039325
1739209789.9300613;-45.120503652039325
1739209789.930065;-25.62660358559016
1739209789.9300687;-35.57807855764607
1739209789.9300723;-45.120503652039325
1739209789.9300761;-38.13080360867914
1739209789.9300797;-35.57807855764607
1739209789.9300833;-38.13080360867914
1739209789.930087;-45.120503652039325
1739209789.9300907;-33.981070128970906
1739209789.9300945;-38.13080360867914
1739209789.930098;-45.120503652039325
1739209789.9301019;-38.13080360867914
1739209789.9301054;-45.120503652039325
1739209789.9301093;-45.120503652039325
1739209789.9301128;-45.120503652039325
1739209789.9301167;-38.13080360867914
1739209789.9301202;-45.120503652039325
1739209789.930124;-30.49652367304973
1739209789.9301276;-35.57807855764607
1739209789.9301314;-45.120503652039325
1739209789.930135;-45.120503652039325
1739209789.9301386;-33.981070128970906
1739209789.9301424;-38.13080360867914
1739209789.930146;-38.13080360867914
1739209789.9301498;-38.13080360867914
1739209789.9301534;-32.816014438256545
1739209789.9301572;-38.13080360867914
1739209789.9301608;-38.13080360867914
1739209789.9301646;-38.13080360867914
1739209789.9301682;-38.13080360867914
1739209789.930172;-38.13080360867914
1739209789.9301755;-45.120503652039325
1739209789.9301794;-38.13080360867914
1739209789.930183;-33.981070128970956
1739209789.9301867;-45.120503652039325
1739209789.9301903;-38.13080360867914
1739209789.9301941;-45.120503652039325
1739209789.9301977;-45.120503652039325
1739209789.9302013;-45.120503652039325
1739209789.930205;-33.981070128970906
1739209789.9302087;-45.120503652039325
1739209789.9302125;-28.58837851428586
1739209789.930216;-31.141103565318893
1739209789.93022;-45.120503652039325
1739209789.9302235;-38.13080360867914
1739209789.9302273;-33.981070128970906
1739209789.9302309;-38.13080360867914
1739209789.9302347;-38.13080360867914
1739209789.9302382;-33.981070128970906
1739209789.930242;-45.120503652039325
1739209789.9302456;-45.120503652039325
1739209789.9302495;-35.57807855764607
1739209789.930253;-38.13080360867914
1739209789.9302568;-35.57807855764607
1739209789.9302604;-45.120503652039325
1739209789.930264;-32.816014438256545
1739209789.9302678;-35.57807855764607
1739209789.9302714;-45.120503652039325
1739209789.9302752;-45.120503652039325
1739209789.9302788;-33.981070128970906
1739209789.9302826;-30.49652367304973
1739209789.9302862;-45.120503652039325
1739209789.93029;-45.120503652039325
1739209789.9302936;-38.13080360867914
1739209789.9302974;-45.120503652039325
1739209789.930301;-33.981070128970906
1739209789.9303048;-38.13080360867914
1739209789.9303083;-38.13080360867914
1739209789.9303122;-45.120503652039325
1739209789.9303157;-35.57807855764607
1739209789.9303193;-38.13080360867914
1739209789.9303231;-45.120503652039325
1739209789.9303267;-45.120503652039325
1739209789.9303305;-45.120503652039325
1739209789.930334;-38.13080360867914
1739209789.930338;-38.13080360867914
1739209789.9303415;-45.120503652039325
1739209789.9303453;-38.13080360867914
1739209789.9303489;-38.13080360867914
1739209789.9303527;-45.120503652039325
1739209789.9303563;-45.120503652039325
1739209789.93036;-33.981070128970906
1739209789.9303637;-38.13080360867914
1739209789.9303675;-45.120503652039325
1739209789.930371;-45.120503652039325
1739209789.9303746;-45.120503652039325
1739209789.9303784;-45.120503652039325
1739209789.930382;-38.13080360867914
1739209789.9303858;-38.13080360867914
1739209789.9303894;-35.57807855764607
1739209789.9303932;-38.13080360867914
1739209789.9303968;-45.120503652039325
1739209789.9304006;-45.120503652039325
1739209789.9304042;-32.816014438256545
