CAN Message; 0x150:0300f6d480615e93
Timestamp;Amplitude
1739209595.947984;-45.120503652039325
1739209595.9479916;-45.120503652039325
1739209595.9479992;-45.120503652039325
1739209595.9480066;-38.13080360867914
1739209595.9480143;-38.13080360867914
1739209595.948022;-38.13080360867914
1739209595.9480295;-45.120503652039325
1739209595.948037;-45.120503652039325
1739209595.9480445;-38.13080360867914
1739209595.9480522;-45.120503652039325
1739209595.9480598;-32.816014438256545
1739209595.9480674;-33.981070128970906
1739209595.9480748;-45.120503652039325
1739209595.9480824;-38.13080360867914
1739209595.94809;-38.13080360867914
1739209595.9480977;-38.13080360867914
1739209595.948105;-45.120503652039325
1739209595.9481127;-45.120503652039325
1739209595.9481204;-45.120503652039325
1739209595.948128;-45.120503652039325
1739209595.9481354;-38.13080360867914
1739209595.948143;-45.120503652039325
1739209595.9481506;-45.120503652039325
1739209595.9481583;-45.120503652039325
1739209595.948166;-38.13080360867914
1739209595.9481733;-45.120503652039325
1739209595.948181;-38.13080360867914
1739209595.9481885;-33.981070128970906
1739209595.9481962;-38.13080360867914
1739209595.9482036;-38.13080360867914
1739209595.9482112;-35.57807855764607
1739209595.9482188;-38.13080360867914
1739209595.9482265;-45.120503652039325
1739209595.9482338;-35.57807855764607
1739209595.9482415;-38.13080360867914
1739209595.948249;-45.120503652039325
1739209595.9482567;-45.120503652039325
1739209595.9482644;-45.120503652039325
1739209595.9482718;-45.120503652039325
1739209595.9482794;-38.13080360867914
1739209595.948287;-38.13080360867914
1739209595.9482946;-38.13080360867914
1739209595.948302;-38.13080360867914
1739209595.9483097;-45.120503652039325
1739209595.9483173;-38.13080360867914
1739209595.948325;-38.13080360867914
1739209595.9483323;-38.13080360867914
1739209595.94834;-38.13080360867914
1739209595.9483476;-35.57807855764607
1739209595.9483552;-45.120503652039325
1739209595.9483628;-45.120503652039325
1739209595.9483702;-28.992665084841942
1739209595.9483778;-38.13080360867914
1739209595.9483855;-45.120503652039325
1739209595.948393;-33.981070128970906
1739209595.9484005;-45.120503652039325
1739209595.9484081;-38.13080360867914
1739209595.9484158;-45.120503652039325
1739209595.9484234;-45.120503652039325
1739209595.9484308;-38.13080360867914
1739209595.9484384;-45.120503652039325
1739209595.948446;-38.13080360867914
1739209595.9484537;-38.13080360867914
1739209595.9484613;-45.120503652039325
1739209595.9484687;-38.13080360867914
1739209595.9484763;-45.120503652039325
1739209595.948484;-45.120503652039325
1739209595.9484916;-28.58837851428586
1739209595.948499;-35.57807855764607
1739209595.9485066;-38.13080360867914
1739209595.9485142;-38.13080360867914
1739209595.9485219;-45.120503652039325
1739209595.9485292;-45.120503652039325
1739209595.9485369;-38.13080360867914
1739209595.9485445;-45.120503652039325
1739209595.9485521;-38.13080360867914
1739209595.9485598;-38.13080360867914
1739209595.9485672;-38.13080360867914
1739209595.9485748;-38.13080360867914
1739209595.9485824;-32.816014438256545
1739209595.94859;-35.57807855764607
1739209595.9485974;-45.120503652039325
1739209595.948605;-38.13080360867914
1739209595.9486127;-38.13080360867914
1739209595.9486203;-45.120503652039325
1739209595.9486277;-38.13080360867914
1739209595.9486353;-38.13080360867914
1739209595.948643;-45.120503652039325
1739209595.9486506;-38.13080360867914
1739209595.9486582;-45.120503652039325
1739209595.9486656;-45.120503652039325
1739209595.9486732;-29.438486411369333
1739209595.9486809;-32.816014438256545
1739209595.9486885;-38.13080360867914
1739209595.948696;-32.816014438256545
1739209595.9487035;-38.13080360867914
1739209595.9487112;-45.120503652039325
1739209595.9487188;-38.13080360867914
1739209595.9487262;-32.816014438256545
1739209595.9487338;-38.13080360867914
1739209595.9487414;-45.120503652039325
1739209595.948749;-45.120503652039325
1739209595.9487565;-45.120503652039325
1739209595.948764;-38.13080360867914
1739209595.9487717;-38.13080360867914
1739209595.9487793;-38.13080360867914
1739209595.948787;-45.120503652039325
1739209595.9487944;-35.57807855764607
1739209595.948802;-35.57807855764607
1739209595.9488096;-45.120503652039325
1739209595.9488173;-45.120503652039325
1739209595.9488246;-38.13080360867914
1739209595.9488323;-38.13080360867914
1739209595.94884;-45.120503652039325
1739209595.9488475;-38.13080360867914
1739209595.948855;-38.13080360867914
1739209595.9488626;-38.13080360867914
1739209595.9488702;-38.13080360867914
1739209595.9488778;-45.120503652039325
1739209595.9488854;-45.120503652039325
1739209595.9488928;-38.13080360867914
1739209595.9489005;-45.120503652039325
1739209595.948908;-38.13080360867914
1739209595.9489157;-45.120503652039325
1739209595.948923;-45.120503652039325
1739209595.9489307;-38.13080360867914
1739209595.9489384;-33.981070128970906
1739209595.948946;-45.120503652039325
1739209595.9489534;-45.120503652039325
1739209595.948961;-38.13080360867914
1739209595.9489686;-45.120503652039325
1739209595.9489763;-38.13080360867914
1739209595.948984;-31.141103565318893
1739209595.9489913;-45.120503652039325
1739209595.948999;-45.120503652039325
1739209595.9490066;-35.57807855764607
1739209595.9490142;-35.57807855764607
1739209595.9490216;-45.120503652039325
1739209595.9490292;-45.120503652039325
1739209595.9490368;-45.120503652039325
1739209595.9490445;-45.120503652039325
1739209595.9490519;-45.120503652039325
1739209595.9490595;-45.120503652039325
1739209595.949067;-33.981070128970906
1739209595.9490747;-38.13080360867914
1739209595.9490824;-35.57807855764607
1739209595.9490898;-38.13080360867914
1739209595.9490974;-38.13080360867914
1739209595.949105;-35.57807855764607
1739209595.9491127;-33.981070128970906
1739209595.94912;-35.57807855764607
1739209595.9491277;-38.13080360867914
1739209595.9491353;-38.13080360867914
1739209595.949143;-38.13080360867914
1739209595.9491503;-45.120503652039325
1739209595.949158;-45.120503652039325
1739209595.9491656;-45.120503652039325
1739209595.9491732;-45.120503652039325
1739209595.9491808;-38.13080360867914
1739209595.9491882;-31.141103565318915
1739209595.9491959;-33.981070128970906
1739209595.9492035;-38.13080360867914
1739209595.9492111;-45.120503652039325
1739209595.9492185;-45.120503652039325
1739209595.9492261;-38.13080360867914
1739209595.9492338;-45.120503652039325
1739209595.9492414;-38.13080360867914
1739209595.9492488;-38.13080360867914
1739209595.9492564;-45.120503652039325
1739209595.949264;-38.13080360867914
1739209595.9492717;-38.13080360867914
1739209595.9492793;-45.120503652039325
1739209595.9492867;-38.13080360867914
1739209595.9492943;-30.49652367304973
1739209595.949302;-35.57807855764607
1739209595.9493096;-45.120503652039325
1739209595.949317;-45.120503652039325
1739209595.9493246;-33.981070128970906
1739209595.9493322;-45.120503652039325
1739209595.9493399;-35.57807855764607
1739209595.9493473;-45.120503652039325
1739209595.949355;-38.13080360867914
1739209595.9493625;-38.13080360867914
1739209595.9493701;-38.13080360867914
1739209595.9493778;-45.120503652039325
1739209595.9493852;-45.120503652039325
1739209595.9493928;-38.13080360867914
1739209595.9494004;-38.13080360867914
1739209595.949408;-38.13080360867914
1739209595.9494154;-33.981070128970906
1739209595.949423;-45.120503652039325
1739209595.9494307;-45.120503652039325
1739209595.9494383;-38.13080360867914
1739209595.9494457;-38.13080360867914
1739209595.9494534;-45.120503652039325
1739209595.949461;-45.120503652039325
1739209595.9494686;-45.120503652039325
1739209595.9494762;-38.13080360867914
1739209595.9494836;-45.120503652039325
1739209595.9494913;-45.120503652039325
1739209595.949499;-45.120503652039325
1739209595.9495065;-45.120503652039325
1739209595.949514;-38.13080360867914
1739209595.9495215;-38.13080360867914
1739209595.9495292;-45.120503652039325
1739209595.9495368;-45.120503652039325
1739209595.9495442;-45.120503652039325
1739209595.9495518;-38.13080360867914
1739209595.9495595;-35.57807855764607
1739209595.949567;-38.13080360867914
1739209595.9495745;-45.120503652039325
1739209595.949582;-45.120503652039325
1739209595.9495897;-38.13080360867914
1739209595.9495974;-35.57807855764607
1739209595.949605;-45.120503652039325
1739209595.9496124;-45.120503652039325
1739209595.94962;-38.13080360867914
1739209595.9496276;-38.13080360867914
1739209595.9496353;-45.120503652039325
1739209595.9496427;-38.13080360867914
1739209595.9496503;-38.13080360867914
1739209595.949658;-32.81601443825658
1739209595.9496655;-38.13080360867914
1739209595.949673;-38.13080360867914
1739209595.9496806;-38.13080360867914
1739209595.9496882;-38.13080360867914
1739209595.9496958;-38.13080360867914
1739209595.9497035;-38.13080360867914
1739209595.9497108;-38.13080360867914
1739209595.9497185;-28.992665084841942
1739209595.949726;-35.57807855764607
1739209595.9497337;-45.120503652039325
1739209595.9497411;-38.13080360867914
1739209595.9497488;-33.981070128970906
1739209595.9497564;-45.120503652039325
1739209595.949764;-45.120503652039325
1739209595.9497714;-45.120503652039325
1739209595.949779;-32.81601443825658
1739209595.9497867;-38.13080360867914
1739209595.9497943;-45.120503652039325
1739209595.949802;-45.120503652039325
1739209595.9498093;-38.13080360867914
1739209595.949817;-38.13080360867914
1739209595.9498246;-38.13080360867914
1739209595.9498322;-35.57807855764607
1739209595.9498396;-45.120503652039325
1739209595.9498472;-45.120503652039325
1739209595.9498549;-38.13080360867914
1739209595.9498625;-45.120503652039325
1739209595.9498699;-38.13080360867914
1739209595.9498775;-38.13080360867914
1739209595.9498851;-35.57807855764607
1739209595.9498928;-35.57807855764607
1739209595.9499004;-28.58837851428586
1739209595.9499078;-35.57807855764607
1739209595.9499154;-45.120503652039325
1739209595.949923;-45.120503652039325
1739209595.9499307;-31.141103565318915
1739209595.949938;-38.13080360867914
1739209595.9499457;-38.13080360867914
1739209595.9499533;-35.57807855764607
1739209595.949961;-33.981070128970956
1739209595.9499683;-45.120503652039325
1739209595.949976;-30.49652367304973
1739209595.9499836;-38.13080360867914
1739209595.9499912;-45.120503652039325
1739209595.9499989;-38.13080360867914
1739209595.9500062;-31.141103565318915
1739209595.9500139;-38.13080360867914
1739209595.9500215;-29.438486411369333
1739209595.9500291;-35.57807855764607
1739209595.9500365;-45.120503652039325
1739209595.9500442;-38.13080360867914
1739209595.9500518;-45.120503652039325
1739209595.9500594;-45.120503652039325
1739209595.9500668;-38.13080360867914
1739209595.9500744;-45.120503652039325
1739209595.950082;-38.13080360867914
1739209595.9500897;-45.120503652039325
1739209595.9500973;-45.120503652039325
1739209595.9501047;-45.120503652039325
1739209595.9501123;-38.13080360867914
1739209595.95012;-32.816014438256545
1739209595.9501276;-45.120503652039325
1739209595.950135;-45.120503652039325
1739209595.9501426;-45.120503652039325
1739209595.9501503;-45.120503652039325
1739209595.9501579;-38.13080360867914
1739209595.9501653;-35.57807855764607
1739209595.950173;-45.120503652039325
1739209595.9501805;-38.13080360867914
1739209595.9501882;-32.816014438256545
1739209595.9501958;-38.13080360867914
1739209595.9502032;-35.57807855764607
1739209595.9502108;-38.13080360867914
1739209595.9502184;-38.13080360867914
1739209595.950226;-38.13080360867914
1739209595.9502335;-45.120503652039325
1739209595.950241;-38.13080360867914
1739209595.9502487;-45.120503652039325
1739209595.9502563;-45.120503652039325
1739209595.9502637;-45.120503652039325
1739209595.9502714;-38.13080360867914
1739209595.950279;-38.13080360867914
1739209595.9502866;-45.120503652039325
1739209595.9502943;-38.13080360867914
1739209595.9503016;-38.13080360867914
1739209595.9503093;-45.120503652039325
1739209595.950317;-45.120503652039325
1739209595.9503245;-32.816014438256545
1739209595.950332;-38.13080360867914
1739209595.9503396;-45.120503652039325
1739209595.9503472;-38.13080360867914
1739209595.9503548;-38.13080360867914
1739209595.9503622;-45.120503652039325
1739209595.9503698;-32.816014438256545
1739209595.9503775;-45.120503652039325
1739209595.950385;-38.13080360867914
1739209595.9503927;-33.981070128970906
1739209595.9504;-38.13080360867914
