CAN Message; 0x98:0000e2999a5cfede
Timestamp;Amplitude
1739209916.061605;-45.120503652039325
1739209916.061609;-45.120503652039325
1739209916.061613;-38.13080360867914
1739209916.0616171;-35.57807855764607
1739209916.0616212;-45.120503652039325
1739209916.061625;-45.120503652039325
1739209916.061629;-38.13080360867914
1739209916.061633;-38.13080360867914
1739209916.0616372;-38.13080360867914
1739209916.0616412;-45.120503652039325
1739209916.061645;-33.981070128970906
1739209916.061649;-33.981070128970906
1739209916.0616531;-33.981070128970906
1739209916.0616572;-35.57807855764607
1739209916.061661;-38.13080360867914
1739209916.061665;-38.13080360867914
1739209916.061669;-45.120503652039325
1739209916.0616732;-45.120503652039325
1739209916.0616772;-38.13080360867914
1739209916.061681;-38.13080360867914
1739209916.061685;-45.120503652039325
1739209916.0616891;-45.120503652039325
1739209916.0616932;-38.13080360867914
1739209916.061697;-38.13080360867914
1739209916.061701;-35.57807855764607
1739209916.061705;-45.120503652039325
1739209916.0617092;-38.13080360867914
1739209916.0617132;-32.816014438256545
1739209916.061717;-45.120503652039325
1739209916.061721;-45.120503652039325
1739209916.0617251;-45.120503652039325
1739209916.0617292;-38.13080360867914
1739209916.0617332;-38.13080360867914
1739209916.061737;-45.120503652039325
1739209916.061741;-45.120503652039325
1739209916.0617452;-45.120503652039325
1739209916.0617492;-38.13080360867914
1739209916.061753;-45.120503652039325
1739209916.061757;-45.120503652039325
1739209916.0617611;-38.13080360867914
1739209916.0617652;-33.981070128970906
1739209916.0617692;-45.120503652039325
1739209916.061773;-38.13080360867914
1739209916.061777;-38.13080360867914
1739209916.0617812;-38.13080360867914
1739209916.0617852;-38.13080360867914
1739209916.0617893;-33.981070128970906
1739209916.061793;-38.13080360867914
1739209916.0617971;-31.141103565318915
1739209916.0618012;-45.120503652039325
1739209916.0618052;-38.13080360867914
1739209916.061809;-45.120503652039325
1739209916.061813;-38.13080360867914
1739209916.0618172;-45.120503652039325
1739209916.0618212;-45.120503652039325
1739209916.0618253;-35.57807855764607
1739209916.061829;-38.13080360867914
1739209916.0618331;-45.120503652039325
1739209916.0618372;-38.13080360867914
1739209916.0618412;-45.120503652039325
1739209916.061845;-38.13080360867914
1739209916.061849;-45.120503652039325
1739209916.0618532;-38.13080360867914
1739209916.0618572;-38.13080360867914
1739209916.0618613;-45.120503652039325
1739209916.061865;-38.13080360867914
1739209916.0618691;-35.57807855764607
1739209916.0618732;-33.981070128970906
1739209916.0618773;-33.981070128970906
1739209916.0618813;-45.120503652039325
1739209916.061885;-38.13080360867914
1739209916.0618892;-38.13080360867914
