CAN Message; 0x98:0000a38659f4da2e
Timestamp;Amplitude
1739209795.1579406;-35.57807855764607
1739209795.157945;-45.120503652039325
1739209795.1579492;-38.13080360867914
1739209795.1579535;-27.267205301931607
1739209795.1579578;-38.13080360867914
1739209795.157962;-45.120503652039325
1739209795.1579666;-38.13080360867914
1739209795.157971;-33.981070128970906
1739209795.1579752;-38.13080360867914
1739209795.1579795;-38.13080360867914
1739209795.1579838;-38.13080360867914
1739209795.157988;-45.120503652039325
1739209795.1579924;-38.13080360867914
1739209795.1579967;-45.120503652039325
1739209795.1580012;-45.120503652039325
1739209795.1580055;-45.120503652039325
1739209795.1580098;-38.13080360867914
1739209795.158014;-35.57807855764607
1739209795.1580184;-38.13080360867914
1739209795.1580226;-38.13080360867914
1739209795.158027;-45.120503652039325
1739209795.1580315;-45.120503652039325
1739209795.1580358;-45.120503652039325
1739209795.15804;-45.120503652039325
1739209795.1580443;-38.13080360867914
1739209795.1580486;-38.13080360867914
1739209795.158053;-38.13080360867914
1739209795.1580572;-26.991370085610722
1739209795.1580615;-33.981070128970906
1739209795.158066;-45.120503652039325
1739209795.1580703;-38.13080360867914
1739209795.1580746;-38.13080360867914
1739209795.158079;-38.13080360867914
1739209795.1580832;-38.13080360867914
1739209795.1580875;-38.13080360867914
1739209795.1580918;-38.13080360867914
1739209795.1580963;-45.120503652039325
1739209795.1581006;-45.120503652039325
1739209795.158105;-45.120503652039325
1739209795.1581092;-38.13080360867914
1739209795.1581135;-38.13080360867914
1739209795.1581178;-45.120503652039325
1739209795.158122;-45.120503652039325
1739209795.1581266;-45.120503652039325
1739209795.158131;-45.120503652039325
1739209795.1581352;-45.120503652039325
1739209795.1581395;-38.13080360867914
1739209795.1581438;-45.120503652039325
1739209795.158148;-45.120503652039325
1739209795.1581523;-38.13080360867914
1739209795.1581566;-45.120503652039325
1739209795.1581612;-33.981070128970906
1739209795.1581655;-38.13080360867914
1739209795.1581697;-45.120503652039325
1739209795.158174;-38.13080360867914
1739209795.1581783;-32.816014438256545
1739209795.1581826;-45.120503652039325
1739209795.158187;-38.13080360867914
1739209795.1581914;-35.57807855764607
1739209795.1581957;-45.120503652039325
1739209795.1582;-33.981070128970906
1739209795.1582043;-38.13080360867914
1739209795.1582086;-38.13080360867914
1739209795.158213;-45.120503652039325
1739209795.1582172;-33.981070128970906
1739209795.1582215;-45.120503652039325
1739209795.158226;-45.120503652039325
1739209795.1582303;-38.13080360867914
1739209795.1582346;-38.13080360867914
1739209795.158239;-45.120503652039325
1739209795.1582432;-38.13080360867914
1739209795.1582475;-32.816014438256545
1739209795.1582518;-38.13080360867914
1739209795.1582563;-45.120503652039325
1739209795.1582606;-38.13080360867914
1739209795.1582649;-45.120503652039325
1739209795.1582692;-38.13080360867914
1739209795.1582735;-45.120503652039325
1739209795.1582778;-45.120503652039325
1739209795.158282;-45.120503652039325
1739209795.1582863;-31.141103565318915
1739209795.1582909;-38.13080360867914
1739209795.1582952;-45.120503652039325
1739209795.1582994;-35.57807855764607
1739209795.1583037;-35.57807855764607
1739209795.158308;-45.120503652039325
1739209795.1583123;-38.13080360867914
1739209795.1583166;-45.120503652039325
1739209795.1583211;-45.120503652039325
1739209795.1583254;-45.120503652039325
1739209795.1583297;-45.120503652039325
1739209795.158334;-45.120503652039325
1739209795.1583383;-45.120503652039325
1739209795.1583426;-33.981070128970906
1739209795.158347;-45.120503652039325
1739209795.1583514;-45.120503652039325
1739209795.1583557;-33.981070128970906
1739209795.15836;-38.13080360867914
1739209795.1583643;-45.120503652039325
1739209795.1583686;-38.13080360867914
1739209795.1583729;-38.13080360867914
1739209795.1583772;-45.120503652039325
1739209795.1583815;-45.120503652039325
1739209795.158386;-45.120503652039325
1739209795.1583903;-45.120503652039325
1739209795.1583946;-38.13080360867914
1739209795.1583989;-45.120503652039325
1739209795.1584032;-45.120503652039325
1739209795.1584074;-38.13080360867914
1739209795.1584117;-38.13080360867914
1739209795.1584163;-38.13080360867914
1739209795.1584206;-38.13080360867914
1739209795.1584249;-35.57807855764607
1739209795.1584291;-38.13080360867914
1739209795.1584334;-38.13080360867914
1739209795.1584377;-38.13080360867914
1739209795.158442;-45.120503652039325
1739209795.1584463;-45.120503652039325
1739209795.1584508;-45.120503652039325
1739209795.1584551;-45.120503652039325
1739209795.1584594;-45.120503652039325
1739209795.1584637;-38.13080360867914
1739209795.158468;-38.13080360867914
1739209795.1584723;-45.120503652039325
1739209795.1584766;-31.141103565318915
1739209795.1584811;-33.981070128970906
1739209795.1584854;-45.120503652039325
1739209795.1584897;-38.13080360867914
1739209795.158494;-35.57807855764607
1739209795.1584983;-33.981070128970906
1739209795.1585026;-38.13080360867914
1739209795.1585069;-45.120503652039325
1739209795.1585114;-38.13080360867914
1739209795.1585157;-33.981070128970906
1739209795.15852;-38.13080360867914
1739209795.1585243;-38.13080360867914
1739209795.1585286;-45.120503652039325
1739209795.1585329;-32.816014438256545
1739209795.1585371;-35.57807855764607
1739209795.1585414;-45.120503652039325
1739209795.158546;-38.13080360867914
1739209795.1585503;-33.981070128970906
1739209795.1585546;-38.13080360867914
1739209795.1585588;-45.120503652039325
1739209795.1585631;-35.57807855764607
1739209795.1585674;-38.13080360867914
1739209795.1585717;-45.120503652039325
1739209795.1585763;-38.13080360867914
1739209795.1585805;-33.981070128970906
1739209795.1585848;-33.981070128970906
1739209795.1585891;-38.13080360867914
1739209795.1585934;-38.13080360867914
1739209795.1585977;-33.981070128970906
1739209795.158602;-38.13080360867914
1739209795.1586063;-45.120503652039325
1739209795.1586108;-38.13080360867914
1739209795.158615;-35.57807855764607
1739209795.1586194;-45.120503652039325
1739209795.1586237;-45.120503652039325
1739209795.158628;-38.13080360867914
1739209795.1586323;-38.13080360867914
1739209795.1586366;-45.120503652039325
1739209795.1612275;-33.981070128970906
1739209795.1612327;-45.120503652039325
1739209795.161238;-38.13080360867914
1739209795.1612432;-45.120503652039325
1739209795.1612484;-38.13080360867914
1739209795.1612537;-38.13080360867914
1739209795.161259;-45.120503652039325
1739209795.1612642;-45.120503652039325
1739209795.1612694;-38.13080360867914
1739209795.1612747;-38.13080360867914
1739209795.16128;-45.120503652039325
1739209795.161285;-45.120503652039325
1739209795.1612902;-33.981070128970906
1739209795.1612954;-45.120503652039325
1739209795.1613007;-45.120503652039325
1739209795.161306;-38.13080360867914
1739209795.1613111;-45.120503652039325
1739209795.1613164;-45.120503652039325
1739209795.1613216;-45.120503652039325
1739209795.161327;-35.57807855764607
1739209795.1613321;-45.120503652039325
1739209795.1613374;-45.120503652039325
1739209795.1613426;-45.120503652039325
1739209795.1613479;-45.120503652039325
1739209795.161353;-33.981070128970906
1739209795.1613584;-45.120503652039325
1739209795.1613636;-38.13080360867914
1739209795.1613688;-45.120503652039325
1739209795.161374;-38.13080360867914
1739209795.1613793;-38.13080360867914
1739209795.1613846;-38.13080360867914
1739209795.1613898;-35.57807855764607
1739209795.161395;-45.120503652039325
1739209795.1614003;-45.120503652039325
1739209795.1614053;-45.120503652039325
1739209795.1614106;-35.57807855764607
1739209795.1614158;-45.120503652039325
1739209795.161421;-38.13080360867914
1739209795.1614263;-38.13080360867914
1739209795.1614316;-45.120503652039325
1739209795.1614368;-33.981070128970906
1739209795.161442;-38.13080360867914
1739209795.1614473;-45.120503652039325
1739209795.1614525;-35.57807855764607
1739209795.1614578;-38.13080360867914
1739209795.161463;-35.57807855764607
1739209795.1614683;-45.120503652039325
1739209795.1614735;-45.120503652039325
1739209795.1614788;-38.13080360867914
1739209795.161484;-45.120503652039325
1739209795.1614892;-45.120503652039325
1739209795.1614945;-45.120503652039325
1739209795.1614997;-38.13080360867914
1739209795.161505;-45.120503652039325
1739209795.1615102;-45.120503652039325
1739209795.1615155;-45.120503652039325
1739209795.1615205;-38.13080360867914
1739209795.1615257;-35.57807855764607
1739209795.161531;-38.13080360867914
1739209795.1615362;-45.120503652039325
1739209795.1615415;-38.13080360867914
1739209795.1615467;-35.57807855764607
1739209795.161552;-38.13080360867914
1739209795.1615572;-38.13080360867914
1739209795.1615624;-45.120503652039325
1739209795.1615677;-45.120503652039325
1739209795.161573;-45.120503652039325
1739209795.1615782;-38.13080360867914
1739209795.1615834;-38.13080360867914
1739209795.1615887;-45.120503652039325
1739209795.161594;-45.120503652039325
1739209795.1615992;-38.13080360867914
1739209795.1616044;-45.120503652039325
1739209795.1616096;-45.120503652039325
1739209795.161615;-45.120503652039325
1739209795.1616201;-45.120503652039325
1739209795.1616254;-33.981070128970906
1739209795.1616306;-38.13080360867914
1739209795.1616359;-38.13080360867914
1739209795.161641;-38.13080360867914
1739209795.1616461;-38.13080360867914
1739209795.1616514;-35.57807855764607
1739209795.1616566;-38.13080360867914
1739209795.1616619;-38.13080360867914
1739209795.161667;-38.13080360867914
1739209795.1616724;-38.13080360867914
1739209795.1616776;-38.13080360867914
1739209795.1616828;-35.57807855764607
1739209795.161688;-38.13080360867914
1739209795.1616933;-45.120503652039325
1739209795.1616986;-45.120503652039325
1739209795.1617038;-38.13080360867914
1739209795.161709;-33.981070128970906
1739209795.1617143;-45.120503652039325
1739209795.1617196;-45.120503652039325
1739209795.1617248;-45.120503652039325
1739209795.16173;-45.120503652039325
1739209795.1617353;-35.57807855764607
1739209795.1617405;-35.57807855764607
1739209795.1617458;-38.13080360867914
1739209795.161751;-45.120503652039325
1739209795.1617563;-35.57807855764607
1739209795.1617613;-45.120503652039325
1739209795.1617665;-45.120503652039325
1739209795.1617718;-38.13080360867914
1739209795.161777;-38.13080360867914
1739209795.1617823;-45.120503652039325
1739209795.1617875;-45.120503652039325
1739209795.1617928;-45.120503652039325
1739209795.161798;-45.120503652039325
