CAN Message; 0x1d3:00007f4287be82e8
Timestamp;Amplitude
1739209681.0713336;-35.57807855764607
1739209681.071342;-33.981070128970906
1739209681.07135;-38.13080360867914
1739209681.0713584;-45.120503652039325
1739209681.0713668;-38.13080360867914
1739209681.0713751;-38.13080360867914
1739209681.0713835;-45.120503652039325
1739209681.0713918;-38.13080360867914
1739209681.0714;-35.57807855764607
1739209681.0714083;-38.13080360867914
1739209681.0714166;-38.13080360867914
1739209681.071425;-35.57807855764607
1739209681.0714333;-45.120503652039325
1739209681.0714414;-38.13080360867914
1739209681.0714498;-30.49652367304973
1739209681.071458;-38.13080360867914
1739209681.0714664;-45.120503652039325
1739209681.0714748;-38.13080360867914
1739209681.0714831;-38.13080360867914
1739209681.0714912;-45.120503652039325
1739209681.0714996;-45.120503652039325
1739209681.071508;-45.120503652039325
1739209681.0715163;-45.120503652039325
1739209681.0715246;-31.141103565318915
1739209681.071533;-38.13080360867914
1739209681.071541;-45.120503652039325
1739209681.0715494;-45.120503652039325
1739209681.0715578;-45.120503652039325
1739209681.071566;-45.120503652039325
1739209681.0715744;-38.13080360867914
1739209681.0715826;-33.981070128970906
1739209681.071591;-33.981070128970906
1739209681.0715992;-38.13080360867914
1739209681.0716076;-45.120503652039325
1739209681.071616;-29.438486411369333
1739209681.0716243;-30.49652367304973
1739209681.0716324;-45.120503652039325
1739209681.0716407;-45.120503652039325
1739209681.071649;-32.816014438256545
1739209681.0716574;-35.57807855764607
1739209681.0716658;-38.13080360867914
1739209681.071674;-38.13080360867914
1739209681.0716822;-45.120503652039325
1739209681.0716906;-45.120503652039325
1739209681.071699;-38.13080360867914
1739209681.0717072;-38.13080360867914
1739209681.0717156;-45.120503652039325
1739209681.0717237;-45.120503652039325
1739209681.071732;-38.13080360867914
1739209681.0717404;-45.120503652039325
1739209681.0717487;-35.57807855764607
1739209681.071757;-38.13080360867914
1739209681.0717654;-38.13080360867914
1739209681.0717735;-35.57807855764607
1739209681.0717819;-35.57807855764607
1739209681.0717902;-35.57807855764607
1739209681.0717986;-32.816014438256545
1739209681.071807;-38.13080360867914
1739209681.0718153;-38.13080360867914
1739209681.0718234;-45.120503652039325
1739209681.0718317;-38.13080360867914
1739209681.07184;-38.13080360867914
1739209681.0718484;-45.120503652039325
1739209681.0718567;-45.120503652039325
1739209681.0718648;-38.13080360867914
1739209681.0718732;-33.981070128970906
1739209681.0718815;-45.120503652039325
1739209681.0718899;-45.120503652039325
1739209681.0718982;-32.816014438256545
1739209681.0719066;-38.13080360867914
1739209681.0719147;-45.120503652039325
1739209681.071923;-45.120503652039325
1739209681.0719314;-38.13080360867914
1739209681.0719397;-45.120503652039325
1739209681.071948;-29.438486411369333
1739209681.0719564;-31.141103565318893
1739209681.0719645;-38.13080360867914
1739209681.0719728;-38.13080360867914
1739209681.0719812;-38.13080360867914
1739209681.0719895;-35.57807855764607
1739209681.071998;-45.120503652039325
1739209681.072006;-45.120503652039325
1739209681.0720143;-45.120503652039325
1739209681.0720227;-45.120503652039325
1739209681.072031;-45.120503652039325
1739209681.0720394;-45.120503652039325
1739209681.0720477;-45.120503652039325
1739209681.0720558;-45.120503652039325
1739209681.0720642;-45.120503652039325
1739209681.0720725;-45.120503652039325
1739209681.0720809;-35.57807855764607
1739209681.0720892;-38.13080360867914
1739209681.0720975;-45.120503652039325
1739209681.0721056;-45.120503652039325
1739209681.072114;-38.13080360867914
1739209681.0721223;-38.13080360867914
1739209681.0721307;-45.120503652039325
1739209681.072139;-38.13080360867914
1739209681.0721471;-35.57807855764607
1739209681.0721555;-32.816014438256545
1739209681.0721638;-45.120503652039325
1739209681.0721722;-38.13080360867914
1739209681.0721805;-32.816014438256545
