CAN Message; 0x150:06004e273b6af83d
Timestamp;Amplitude
1739209606.6284184;-38.13080360867914
1739209606.6284235;-45.120503652039325
1739209606.6284285;-33.981070128970906
1739209606.6284335;-38.13080360867914
1739209606.6284385;-38.13080360867914
1739209606.6284435;-33.981070128970906
1739209606.6284485;-33.981070128970906
1739209606.6284535;-45.120503652039325
1739209606.6284585;-38.13080360867914
1739209606.6284635;-38.13080360867914
1739209606.6284685;-45.120503652039325
1739209606.6284735;-45.120503652039325
1739209606.6284785;-38.13080360867914
1739209606.6284838;-35.57807855764607
1739209606.6284888;-35.57807855764607
1739209606.6284938;-38.13080360867914
1739209606.6284988;-45.120503652039325
1739209606.6285038;-45.120503652039325
1739209606.6285088;-38.13080360867914
1739209606.6285138;-35.57807855764607
1739209606.6285188;-38.13080360867914
1739209606.6285238;-38.13080360867914
1739209606.6285288;-35.57807855764607
1739209606.6285338;-33.981070128970906
1739209606.6285388;-38.13080360867914
1739209606.6285439;-38.13080360867914
1739209606.6285489;-38.13080360867914
1739209606.628554;-45.120503652039325
1739209606.628559;-45.120503652039325
1739209606.6285641;-45.120503652039325
1739209606.6285691;-45.120503652039325
1739209606.6285741;-45.120503652039325
1739209606.6285791;-45.120503652039325
1739209606.6285841;-45.120503652039325
1739209606.6285892;-38.13080360867914
1739209606.6285942;-45.120503652039325
1739209606.6285992;-38.13080360867914
1739209606.6286042;-38.13080360867914
1739209606.6286092;-38.13080360867914
1739209606.6286142;-27.267205301931607
1739209606.6286194;-38.13080360867914
1739209606.6286244;-45.120503652039325
1739209606.6286294;-45.120503652039325
1739209606.6286345;-45.120503652039325
1739209606.6286395;-45.120503652039325
1739209606.6286445;-38.13080360867914
1739209606.6286495;-45.120503652039325
1739209606.6286545;-33.981070128970956
1739209606.6286595;-38.13080360867914
1739209606.6286645;-38.13080360867914
1739209606.6286695;-38.13080360867914
1739209606.6286745;-38.13080360867914
1739209606.6286795;-45.120503652039325
1739209606.6286848;-45.120503652039325
1739209606.6286898;-45.120503652039325
1739209606.6286948;-26.487275050834715
1739209606.6286998;-35.57807855764607
1739209606.6287048;-38.13080360867914
1739209606.6287098;-38.13080360867914
1739209606.6287148;-35.57807855764607
1739209606.6287198;-35.57807855764607
1739209606.6287248;-38.13080360867914
1739209606.6287298;-38.13080360867914
1739209606.6287348;-33.981070128970956
1739209606.6287398;-45.120503652039325
1739209606.6287448;-38.13080360867914
1739209606.6287498;-45.120503652039325
1739209606.628755;-45.120503652039325
1739209606.62876;-45.120503652039325
1739209606.628765;-35.57807855764607
1739209606.62877;-45.120503652039325
1739209606.6287751;-30.49652367304973
1739209606.6287801;-32.816014438256545
1739209606.6287851;-45.120503652039325
1739209606.6287901;-38.13080360867914
1739209606.6287951;-32.816014438256545
1739209606.6288002;-38.13080360867914
1739209606.6288052;-45.120503652039325
1739209606.6288102;-45.120503652039325
1739209606.6288152;-38.13080360867914
1739209606.6288204;-38.13080360867914
1739209606.6288254;-45.120503652039325
1739209606.6288304;-45.120503652039325
1739209606.6288354;-35.57807855764607
1739209606.6288404;-35.57807855764607
1739209606.6288455;-45.120503652039325
1739209606.6288505;-45.120503652039325
1739209606.6288555;-45.120503652039325
1739209606.6288605;-38.13080360867914
1739209606.6288655;-38.13080360867914
1739209606.6288705;-38.13080360867914
1739209606.6288755;-45.120503652039325
1739209606.6288805;-38.13080360867914
1739209606.6288857;-38.13080360867914
1739209606.6288908;-38.13080360867914
1739209606.6288958;-26.991370085610736
1739209606.6289008;-29.438486411369333
1739209606.6289058;-45.120503652039325
1739209606.6289108;-38.13080360867914
1739209606.6289158;-30.49652367304973
1739209606.6289208;-35.57807855764607
1739209606.6289258;-45.120503652039325
1739209606.6289308;-45.120503652039325
1739209606.6289358;-45.120503652039325
1739209606.6289408;-45.120503652039325
1739209606.6289458;-38.13080360867914
