CAN Message; 0x98:0000e938a1e2c03c
Timestamp;Amplitude
1739209863.8673294;-35.57807855764607
1739209863.867335;-38.13080360867914
1739209863.867341;-35.57807855764607
1739209863.8673468;-38.13080360867914
1739209863.8673525;-33.981070128970906
1739209863.8673582;-38.13080360867914
1739209863.8673642;-38.13080360867914
1739209863.86737;-38.13080360867914
1739209863.8673756;-38.13080360867914
1739209863.8673813;-38.13080360867914
1739209863.8673873;-31.141103565318915
1739209863.867393;-28.992665084841942
1739209863.8673987;-45.120503652039325
1739209863.8674045;-38.13080360867914
1739209863.8674104;-33.981070128970906
1739209863.8674161;-38.13080360867914
1739209863.8674219;-45.120503652039325
1739209863.8674276;-38.13080360867914
1739209863.8674335;-38.13080360867914
1739209863.8674393;-45.120503652039325
1739209863.867445;-45.120503652039325
1739209863.8674507;-38.13080360867914
1739209863.8674567;-45.120503652039325
1739209863.8674624;-45.120503652039325
1739209863.867468;-45.120503652039325
1739209863.8674738;-38.13080360867914
1739209863.8674798;-38.13080360867914
1739209863.8674855;-33.981070128970906
1739209863.8674912;-45.120503652039325
1739209863.867497;-45.120503652039325
1739209863.867503;-35.57807855764607
1739209863.8675086;-38.13080360867914
1739209863.8675144;-45.120503652039325
1739209863.86752;-38.13080360867914
1739209863.867526;-38.13080360867914
1739209863.8675318;-45.120503652039325
1739209863.8675375;-35.57807855764607
1739209863.8675432;-38.13080360867914
1739209863.8675492;-45.120503652039325
1739209863.867555;-38.13080360867914
1739209863.8675606;-35.57807855764607
1739209863.8675663;-38.13080360867914
1739209863.8675723;-38.13080360867914
1739209863.867578;-38.13080360867914
1739209863.8675838;-38.13080360867914
1739209863.8675895;-38.13080360867914
1739209863.8675954;-38.13080360867914
1739209863.8676012;-38.13080360867914
1739209863.8676069;-38.13080360867914
1739209863.8676126;-45.120503652039325
1739209863.8676186;-45.120503652039325
1739209863.8676243;-32.816014438256545
1739209863.86763;-38.13080360867914
1739209863.8676357;-38.13080360867914
1739209863.8676417;-45.120503652039325
1739209863.8676474;-38.13080360867914
1739209863.8676531;-45.120503652039325
1739209863.8676589;-38.13080360867914
1739209863.8676648;-38.13080360867914
1739209863.8676705;-28.992665084841942
1739209863.8676763;-45.120503652039325
1739209863.8676822;-33.981070128970906
1739209863.867688;-32.816014438256545
1739209863.8676937;-31.141103565318915
1739209863.8676994;-38.13080360867914
1739209863.8677053;-45.120503652039325
1739209863.867711;-38.13080360867914
1739209863.8677168;-31.14110356531892
1739209863.8677225;-38.13080360867914
1739209863.8677285;-45.120503652039325
1739209863.8677342;-45.120503652039325
1739209863.86774;-38.13080360867914
1739209863.8677456;-35.57807855764607
1739209863.8677516;-45.120503652039325
1739209863.8677573;-45.120503652039325
1739209863.867763;-28.992665084841942
1739209863.8677688;-35.57807855764607
1739209863.8677747;-45.120503652039325
1739209863.8677804;-45.120503652039325
1739209863.8677862;-38.13080360867914
1739209863.867792;-45.120503652039325
1739209863.8677979;-45.120503652039325
1739209863.8678036;-45.120503652039325
1739209863.8678093;-45.120503652039325
1739209863.867815;-33.981070128970906
1739209863.867821;-35.57807855764607
1739209863.8678267;-45.120503652039325
1739209863.8678324;-38.13080360867914
1739209863.8678381;-38.13080360867914
1739209863.867844;-38.13080360867914
1739209863.8678498;-45.120503652039325
1739209863.8678555;-45.120503652039325
1739209863.8678613;-38.13080360867914
1739209863.8678672;-38.13080360867914
1739209863.867873;-45.120503652039325
1739209863.8678787;-38.13080360867914
1739209863.8678844;-35.57807855764607
1739209863.8678904;-45.120503652039325
1739209863.867896;-38.13080360867914
1739209863.8679018;-35.57807855764607
1739209863.8679075;-38.13080360867914
1739209863.8679135;-38.13080360867914
1739209863.8679192;-45.120503652039325
1739209863.867925;-45.120503652039325
1739209863.8679307;-45.120503652039325
1739209863.8679366;-45.120503652039325
1739209863.8679423;-38.13080360867914
1739209863.867948;-45.120503652039325
1739209863.8679538;-45.120503652039325
1739209863.8679597;-38.13080360867914
1739209863.8679655;-35.57807855764607
1739209863.8679712;-38.13080360867914
1739209863.867977;-38.13080360867914
1739209863.8679829;-38.13080360867914
1739209863.8679886;-38.13080360867914
1739209863.8679943;-35.57807855764607
1739209863.868;-38.13080360867914
1739209863.868006;-45.120503652039325
1739209863.8680117;-38.13080360867914
1739209863.8680174;-38.13080360867914
1739209863.8680232;-38.13080360867914
1739209863.868029;-38.13080360867914
1739209863.8680348;-45.120503652039325
1739209863.8680406;-45.120503652039325
1739209863.8680465;-38.13080360867914
1739209863.8680522;-38.13080360867914
1739209863.868058;-45.120503652039325
1739209863.8680637;-35.57807855764607
1739209863.8680696;-38.13080360867914
1739209863.8680754;-45.120503652039325
1739209863.868081;-38.13080360867914
1739209863.8680868;-38.13080360867914
1739209863.8680928;-35.57807855764607
1739209863.8680985;-45.120503652039325
1739209863.8681042;-45.120503652039325
1739209863.86811;-45.120503652039325
1739209863.868116;-38.13080360867914
1739209863.8681216;-38.13080360867914
1739209863.8681273;-45.120503652039325
1739209863.868133;-38.13080360867914
1739209863.868139;-45.120503652039325
1739209863.8681448;-38.13080360867914
1739209863.8681505;-32.816014438256545
1739209863.8681562;-38.13080360867914
1739209863.8681622;-45.120503652039325
1739209863.8681679;-38.13080360867914
1739209863.8681736;-35.57807855764607
1739209863.8681793;-38.13080360867914
1739209863.8681853;-33.981070128970906
1739209863.868191;-38.13080360867914
1739209863.8681967;-45.120503652039325
1739209863.8682024;-38.13080360867914
1739209863.8682084;-35.57807855764607
1739209863.8682141;-45.120503652039325
1739209863.8682199;-35.57807855764607
1739209863.8682256;-38.13080360867914
1739209863.8682315;-45.120503652039325
1739209863.8682373;-45.120503652039325
1739209863.868243;-38.13080360867914
1739209863.8682487;-45.120503652039325
1739209863.8682547;-45.120503652039325
1739209863.8682604;-45.120503652039325
1739209863.868266;-45.120503652039325
1739209863.8682718;-38.13080360867914
1739209863.8682778;-45.120503652039325
1739209863.8682835;-45.120503652039325
1739209863.8682892;-45.120503652039325
1739209863.868295;-38.13080360867914
1739209863.868301;-35.57807855764607
1739209863.8683066;-45.120503652039325
1739209863.8683124;-35.57807855764607
1739209863.868318;-38.13080360867914
1739209863.868324;-27.267205301931607
1739209863.8683298;-31.141103565318915
1739209863.8683355;-45.120503652039325
1739209863.8683412;-38.13080360867914
1739209863.8683472;-45.120503652039325
1739209863.868353;-38.13080360867914
1739209863.8683586;-38.13080360867914
1739209863.8683643;-38.13080360867914
1739209863.8683703;-31.141103565318943
1739209863.868376;-38.13080360867914
1739209863.8683817;-33.981070128970906
1739209863.8683875;-45.120503652039325
1739209863.8683934;-45.120503652039325
1739209863.8683991;-45.120503652039325
1739209863.8684049;-38.13080360867914
1739209863.8684108;-45.120503652039325
1739209863.8684165;-33.981070128970906
1739209863.8684223;-38.13080360867914
1739209863.868428;-35.57807855764607
1739209863.868434;-45.120503652039325
1739209863.8684397;-45.120503652039325
1739209863.8684454;-38.13080360867914
1739209863.868451;-45.120503652039325
1739209863.868457;-38.13080360867914
1739209863.8684628;-30.49652367304973
1739209863.8684685;-33.981070128970906
1739209863.8684742;-38.13080360867914
1739209863.8684802;-38.13080360867914
1739209863.868486;-38.13080360867914
1739209863.8684916;-38.13080360867914
1739209863.8684974;-38.13080360867914
1739209863.8685033;-38.13080360867914
1739209863.868509;-38.13080360867914
1739209863.8685148;-32.816014438256545
1739209863.8685205;-45.120503652039325
1739209863.8685265;-45.120503652039325
1739209863.8685322;-45.120503652039325
1739209863.868538;-45.120503652039325
1739209863.8685436;-33.981070128970906
1739209863.8685496;-38.13080360867914
1739209863.8685553;-31.141103565318915
1739209863.868561;-31.141103565318915
1739209863.8685668;-38.13080360867914
1739209863.8685727;-38.13080360867914
1739209863.8685784;-38.13080360867914
1739209863.8685842;-35.57807855764607
1739209863.8685899;-38.13080360867914
1739209863.8685958;-38.13080360867914
1739209863.8686016;-38.13080360867914
1739209863.8686073;-32.816014438256545
1739209863.868613;-45.120503652039325
1739209863.868619;-45.120503652039325
1739209863.8686247;-45.120503652039325
1739209863.8686304;-45.120503652039325
1739209863.8686361;-38.13080360867914
1739209863.868642;-35.57807855764607
1739209863.8686478;-35.57807855764607
1739209863.8686535;-38.13080360867914
1739209863.8686593;-45.120503652039325
1739209863.8686652;-45.120503652039325
1739209863.868671;-35.57807855764607
1739209863.8686767;-38.13080360867914
1739209863.8686824;-45.120503652039325
1739209863.8686883;-33.981070128970906
1739209863.868694;-38.13080360867914
1739209863.8686998;-38.13080360867914
1739209863.8687055;-45.120503652039325
1739209863.8687115;-45.120503652039325
1739209863.8687172;-38.13080360867914
1739209863.868723;-35.57807855764607
1739209863.8687286;-38.13080360867914
1739209863.8687346;-45.120503652039325
1739209863.8687403;-38.13080360867914
1739209863.868746;-38.13080360867914
1739209863.8687518;-45.120503652039325
1739209863.8687577;-45.120503652039325
1739209863.8687634;-33.981070128970906
1739209863.8687692;-45.120503652039325
1739209863.868775;-38.13080360867914
1739209863.8687809;-45.120503652039325
1739209863.8687866;-45.120503652039325
1739209863.8687923;-38.13080360867914
1739209863.8687983;-38.13080360867914
1739209863.868804;-38.13080360867914
1739209863.8688097;-45.120503652039325
1739209863.8688154;-33.981070128970906
1739209863.8688214;-35.57807855764607
1739209863.868827;-38.13080360867914
1739209863.8688328;-38.13080360867914
1739209863.8688385;-38.13080360867914
1739209863.8688445;-35.57807855764607
1739209863.8688502;-38.13080360867914
1739209863.868856;-45.120503652039325
1739209863.8688617;-45.120503652039325
1739209863.8688676;-45.120503652039325
1739209863.8688734;-38.13080360867914
1739209863.868879;-45.120503652039325
1739209863.8688848;-45.120503652039325
1739209863.8688908;-45.120503652039325
1739209863.8688965;-45.120503652039325
1739209863.8689022;-45.120503652039325
1739209863.868908;-38.13080360867914
1739209863.868914;-45.120503652039325
1739209863.8689196;-31.141103565318915
1739209863.8689253;-38.13080360867914
1739209863.868931;-33.981070128970906
1739209863.868937;-32.816014438256545
1739209863.8689427;-45.120503652039325
1739209863.8689485;-45.120503652039325
1739209863.8689542;-38.13080360867914
1739209863.8689601;-45.120503652039325
1739209863.8689659;-45.120503652039325
1739209863.8689716;-38.13080360867914
1739209863.8689773;-45.120503652039325
1739209863.8689833;-45.120503652039325
1739209863.868989;-35.57807855764607
1739209863.8689947;-45.120503652039325
1739209863.8690004;-38.13080360867914
1739209863.8690064;-45.120503652039325
1739209863.869012;-38.13080360867914
1739209863.8690178;-45.120503652039325
1739209863.8690236;-33.981070128970906
1739209863.8690295;-28.21854285175415
1739209863.8690352;-38.13080360867914
1739209863.869041;-45.120503652039325
1739209863.8690467;-35.57807855764607
1739209863.8690526;-32.816014438256545
1739209863.8690584;-38.13080360867914
1739209863.869064;-38.13080360867914
1739209863.8690698;-38.13080360867914
1739209863.8690758;-38.13080360867914
1739209863.8690815;-38.13080360867914
1739209863.8690872;-35.57807855764607
1739209863.869093;-45.120503652039325
1739209863.869099;-38.13080360867914
1739209863.8691046;-38.13080360867914
1739209863.8691103;-45.120503652039325
1739209863.869116;-45.120503652039325
1739209863.869122;-45.120503652039325
1739209863.8691278;-45.120503652039325
1739209863.8691335;-38.13080360867914
1739209863.8691392;-35.57807855764607
1739209863.8691452;-38.13080360867914
1739209863.8691509;-38.13080360867914
1739209863.8691566;-45.120503652039325
1739209863.8691626;-35.57807855764607
1739209863.8691683;-28.21854285175415
1739209863.869174;-38.13080360867914
1739209863.8691797;-35.57807855764607
1739209863.8691857;-45.120503652039325
1739209863.8691914;-45.120503652039325
1739209863.8691971;-45.120503652039325
1739209863.8692029;-45.120503652039325
1739209863.8692088;-45.120503652039325
1739209863.8692145;-38.13080360867914
1739209863.8692203;-45.120503652039325
1739209863.869226;-45.120503652039325
1739209863.869232;-38.13080360867914
1739209863.8692377;-45.120503652039325
1739209863.8692434;-38.13080360867914
1739209863.869249;-45.120503652039325
1739209863.869255;-38.13080360867914
1739209863.8692608;-25.826314394896354
1739209863.8692665;-38.13080360867914
1739209863.8692722;-45.120503652039325
1739209863.8692782;-38.13080360867914
1739209863.869284;-35.57807855764607
1739209863.8692896;-45.120503652039325
1739209863.8692954;-45.120503652039325
1739209863.8693013;-38.13080360867914
1739209863.869307;-38.13080360867914
1739209863.8693128;-45.120503652039325
1739209863.8693185;-45.120503652039325
1739209863.8693244;-45.120503652039325
1739209863.8693302;-45.120503652039325
1739209863.869336;-45.120503652039325
1739209863.8693416;-38.13080360867914
1739209863.8693476;-38.13080360867914
1739209863.8693533;-30.49652367304973
1739209863.869359;-35.57807855764607
1739209863.8693647;-35.57807855764607
1739209863.8693707;-38.13080360867914
1739209863.8693764;-38.13080360867914
1739209863.8693821;-38.13080360867914
1739209863.8693879;-35.57807855764607
1739209863.8693938;-45.120503652039325
1739209863.8693995;-45.120503652039325
1739209863.8694053;-45.120503652039325
1739209863.869411;-38.13080360867914
1739209863.869417;-38.13080360867914
1739209863.8694227;-45.120503652039325
1739209863.8694284;-38.13080360867914
1739209863.869434;-45.120503652039325
1739209863.86944;-38.13080360867914
1739209863.8694458;-38.13080360867914
1739209863.8694515;-45.120503652039325
1739209863.8694572;-38.13080360867914
1739209863.8694632;-38.13080360867914
1739209863.869469;-38.13080360867914
1739209863.8694746;-38.13080360867914
1739209863.8694804;-45.120503652039325
1739209863.8694863;-38.13080360867914
1739209863.869492;-28.992665084841942
1739209863.8694978;-33.981070128970906
1739209863.8695035;-45.120503652039325
1739209863.8695095;-33.981070128970906
1739209863.8695152;-35.57807855764607
1739209863.869521;-38.13080360867914
1739209863.8695269;-45.120503652039325
1739209863.8695326;-38.13080360867914
1739209863.8695383;-38.13080360867914
1739209863.869544;-45.120503652039325
1739209863.86955;-38.13080360867914
1739209863.8695557;-45.120503652039325
1739209863.8695614;-45.120503652039325
1739209863.8695672;-45.120503652039325
1739209863.869573;-38.13080360867914
1739209863.8695788;-38.13080360867914
1739209863.8695846;-33.981070128970906
1739209863.8695903;-31.141103565318915
1739209863.8695962;-45.120503652039325
