CAN Message; 0x150:0300f552ca5c2348
Timestamp;Amplitude
1739209761.1878908;-35.57807855764607
1739209761.1879053;-45.120503652039325
1739209761.1879199;-45.120503652039325
1739209761.1879344;-38.13080360867914
1739209761.187949;-35.57807855764607
1739209761.1879635;-45.120503652039325
1739209761.187978;-45.120503652039325
1739209761.1879928;-38.13080360867914
1739209761.1880074;-38.13080360867914
1739209761.188022;-45.120503652039325
1739209761.1880364;-45.120503652039325
1739209761.188051;-45.120503652039325
1739209761.1880655;-35.57807855764607
1739209761.18808;-38.13080360867914
1739209761.1880949;-38.13080360867914
1739209761.1881094;-33.981070128970906
1739209761.188124;-45.120503652039325
1739209761.1881385;-45.120503652039325
1739209761.188153;-38.13080360867914
1739209761.1881676;-33.981070128970906
1739209761.188182;-45.120503652039325
1739209761.188197;-45.120503652039325
1739209761.1882114;-45.120503652039325
1739209761.188226;-45.120503652039325
1739209761.1882405;-38.13080360867914
1739209761.188255;-35.57807855764607
1739209761.1882696;-38.13080360867914
1739209761.1882842;-45.120503652039325
1739209761.188299;-35.57807855764607
1739209761.1883135;-38.13080360867914
1739209761.188328;-45.120503652039325
1739209761.1883426;-35.57807855764607
1739209761.188357;-35.57807855764607
1739209761.1883717;-38.13080360867914
1739209761.1883862;-35.57807855764607
1739209761.1884007;-38.13080360867914
1739209761.1884155;-45.120503652039325
1739209761.18843;-45.120503652039325
1739209761.1884446;-45.120503652039325
1739209761.1884592;-45.120503652039325
1739209761.1884737;-45.120503652039325
1739209761.1884882;-38.13080360867914
1739209761.1885028;-32.816014438256545
1739209761.1885176;-38.13080360867914
1739209761.188532;-45.120503652039325
1739209761.1885467;-38.13080360867914
1739209761.1885612;-38.13080360867914
1739209761.1885757;-38.13080360867914
1739209761.1885903;-45.120503652039325
1739209761.1886048;-38.13080360867914
1739209761.1886196;-38.13080360867914
1739209761.1886342;-35.57807855764607
1739209761.1886487;-35.57807855764607
1739209761.1886632;-45.120503652039325
1739209761.1886778;-35.57807855764607
1739209761.1886923;-38.13080360867914
1739209761.1887069;-35.57807855764607
1739209761.1887217;-38.13080360867914
1739209761.1887362;-38.13080360867914
1739209761.1887507;-38.13080360867914
1739209761.1887653;-45.120503652039325
