CAN Message; 0x77:ea68fed32fb77d7b
Timestamp;Amplitude
1739209889.9534924;-45.120503652039325
1739209889.9534962;-38.13080360867914
1739209889.9535;-38.13080360867914
1739209889.953504;-38.13080360867914
1739209889.953508;-45.120503652039325
1739209889.9535117;-45.120503652039325
1739209889.9535155;-35.57807855764607
1739209889.9535196;-35.57807855764607
1739209889.9535234;-45.120503652039325
1739209889.9535272;-45.120503652039325
1739209889.953531;-33.981070128970906
1739209889.953535;-45.120503652039325
1739209889.953539;-45.120503652039325
1739209889.9535427;-38.13080360867914
1739209889.9535468;-38.13080360867914
1739209889.9535506;-45.120503652039325
1739209889.9535544;-38.13080360867914
1739209889.9535582;-45.120503652039325
1739209889.9535623;-45.120503652039325
1739209889.953566;-45.120503652039325
1739209889.95357;-45.120503652039325
1739209889.9535737;-45.120503652039325
1739209889.9535778;-33.981070128970906
1739209889.9535816;-31.141103565318893
1739209889.9535854;-45.120503652039325
1739209889.9535892;-38.13080360867914
1739209889.9535933;-33.981070128970906
1739209889.953597;-38.13080360867914
1739209889.953601;-35.57807855764607
1739209889.953605;-45.120503652039325
1739209889.9536088;-33.981070128970906
1739209889.9536126;-38.13080360867914
1739209889.9536164;-38.13080360867914
1739209889.9536204;-45.120503652039325
1739209889.9536242;-38.13080360867914
1739209889.953628;-30.49652367304973
1739209889.9536319;-45.120503652039325
1739209889.953636;-45.120503652039325
1739209889.9536397;-38.13080360867914
1739209889.9536436;-32.816014438256545
1739209889.9536474;-45.120503652039325
1739209889.9536514;-38.13080360867914
1739209889.9536552;-35.57807855764607
1739209889.953659;-38.13080360867914
1739209889.953663;-45.120503652039325
1739209889.953667;-38.13080360867914
1739209889.9536707;-33.981070128970906
1739209889.9536746;-45.120503652039325
1739209889.9536786;-45.120503652039325
1739209889.9536824;-45.120503652039325
1739209889.9536862;-45.120503652039325
1739209889.95369;-45.120503652039325
1739209889.953694;-45.120503652039325
1739209889.953698;-45.120503652039325
1739209889.9537017;-38.13080360867914
1739209889.9537055;-35.57807855764607
1739209889.9537096;-45.120503652039325
1739209889.9537134;-35.57807855764607
1739209889.9537172;-38.13080360867914
1739209889.9537213;-45.120503652039325
1739209889.953725;-45.120503652039325
1739209889.953729;-45.120503652039325
1739209889.9537327;-45.120503652039325
1739209889.9537368;-38.13080360867914
1739209889.9537406;-35.57807855764607
1739209889.9537444;-38.13080360867914
1739209889.9537482;-45.120503652039325
1739209889.9537523;-45.120503652039325
1739209889.953756;-35.57807855764607
1739209889.95376;-38.13080360867914
1739209889.9537637;-45.120503652039325
1739209889.9537678;-38.13080360867914
1739209889.9537716;-38.13080360867914
1739209889.9537754;-38.13080360867914
1739209889.9537795;-38.13080360867914
1739209889.9537833;-32.816014438256545
1739209889.953787;-45.120503652039325
1739209889.953791;-45.120503652039325
1739209889.953795;-45.120503652039325
1739209889.9537988;-38.13080360867914
1739209889.9538026;-38.13080360867914
1739209889.9538064;-45.120503652039325
1739209889.9538105;-45.120503652039325
1739209889.9538143;-45.120503652039325
1739209889.953818;-45.120503652039325
1739209889.953822;-45.120503652039325
1739209889.953826;-45.120503652039325
1739209889.9538298;-45.120503652039325
1739209889.9538336;-45.120503652039325
1739209889.9538376;-38.13080360867914
1739209889.9538414;-38.13080360867914
1739209889.9538453;-45.120503652039325
1739209889.953849;-45.120503652039325
1739209889.9538531;-45.120503652039325
1739209889.953857;-45.120503652039325
1739209889.9538608;-38.13080360867914
1739209889.9538646;-45.120503652039325
1739209889.9538686;-45.120503652039325
1739209889.9538724;-45.120503652039325
1739209889.9538763;-31.141103565318915
1739209889.95388;-38.13080360867914
1739209889.9538841;-45.120503652039325
1739209889.953888;-45.120503652039325
1739209889.9538918;-38.13080360867914
1739209889.9538958;-38.13080360867914
1739209889.9538996;-45.120503652039325
1739209889.9539034;-38.13080360867914
1739209889.9539073;-33.981070128970956
1739209889.9539113;-45.120503652039325
1739209889.953915;-38.13080360867914
1739209889.953919;-38.13080360867914
1739209889.9539227;-38.13080360867914
1739209889.9539268;-38.13080360867914
1739209889.9539306;-45.120503652039325
1739209889.9539344;-45.120503652039325
1739209889.9539382;-27.267205301931607
1739209889.9539423;-38.13080360867914
1739209889.953946;-45.120503652039325
1739209889.95395;-38.13080360867914
1739209889.953954;-33.981070128970906
1739209889.9539578;-45.120503652039325
1739209889.9539616;-38.13080360867914
1739209889.9539654;-38.13080360867914
1739209889.9539695;-35.57807855764607
1739209889.9539733;-33.981070128970906
1739209889.953977;-33.981070128970906
1739209889.953981;-38.13080360867914
1739209889.953985;-45.120503652039325
1739209889.9539888;-45.120503652039325
1739209889.9539926;-38.13080360867914
1739209889.9539964;-45.120503652039325
1739209889.9540005;-45.120503652039325
1739209889.9540043;-45.120503652039325
1739209889.954008;-38.13080360867914
1739209889.9540122;-38.13080360867914
1739209889.954016;-32.816014438256545
1739209889.9540198;-45.120503652039325
1739209889.9540236;-45.120503652039325
1739209889.9540277;-33.981070128970906
1739209889.9540315;-38.13080360867914
1739209889.9540353;-38.13080360867914
1739209889.954039;-38.13080360867914
1739209889.9540431;-38.13080360867914
1739209889.954047;-33.981070128970906
1739209889.9540508;-35.57807855764607
1739209889.9540546;-38.13080360867914
1739209889.9540586;-38.13080360867914
1739209889.9540625;-33.981070128970906
1739209889.9540663;-31.141103565318915
1739209889.9540703;-38.13080360867914
1739209889.9540741;-38.13080360867914
1739209889.954078;-38.13080360867914
1739209889.9540818;-45.120503652039325
1739209889.9540858;-45.120503652039325
1739209889.9540896;-38.13080360867914
1739209889.9540935;-33.981070128970906
1739209889.9540973;-33.981070128970906
1739209889.9541013;-38.13080360867914
1739209889.9541051;-38.13080360867914
1739209889.954109;-38.13080360867914
1739209889.9541128;-45.120503652039325
1739209889.9541168;-38.13080360867914
1739209889.9541206;-45.120503652039325
1739209889.9541245;-38.13080360867914
1739209889.9541285;-33.981070128970906
1739209889.9541323;-45.120503652039325
1739209889.9541361;-45.120503652039325
1739209889.95414;-45.120503652039325
1739209889.954144;-45.120503652039325
1739209889.9541478;-45.120503652039325
1739209889.9541516;-45.120503652039325
1739209889.9541554;-45.120503652039325
1739209889.9541595;-45.120503652039325
1739209889.9541633;-45.120503652039325
1739209889.9541671;-45.120503652039325
1739209889.954171;-38.13080360867914
1739209889.954175;-31.141103565318915
1739209889.9541788;-32.816014438256545
1739209889.9541826;-45.120503652039325
1739209889.9541867;-45.120503652039325
1739209889.9541905;-38.13080360867914
1739209889.9541943;-35.57807855764607
1739209889.9541981;-45.120503652039325
1739209889.9542022;-45.120503652039325
1739209889.954206;-38.13080360867914
1739209889.9542098;-32.816014438256545
1739209889.9542136;-45.120503652039325
1739209889.9542177;-45.120503652039325
1739209889.9542215;-33.981070128970906
1739209889.9542253;-38.13080360867914
1739209889.954229;-45.120503652039325
1739209889.9542332;-38.13080360867914
1739209889.954237;-38.13080360867914
1739209889.9542408;-45.120503652039325
