CAN Message; 0x98:00001d690a3a623d
Timestamp;Amplitude
1739209781.8523498;-38.13080360867914
1739209781.852354;-45.120503652039325
1739209781.852358;-45.120503652039325
1739209781.8523624;-35.57807855764607
1739209781.8523667;-35.57807855764607
1739209781.852371;-45.120503652039325
1739209781.8523753;-38.13080360867914
1739209781.8523796;-45.120503652039325
1739209781.8523836;-45.120503652039325
1739209781.852388;-38.13080360867914
1739209781.8523922;-38.13080360867914
1739209781.8523965;-45.120503652039325
1739209781.8524008;-38.13080360867914
1739209781.852405;-38.13080360867914
1739209781.8524091;-45.120503652039325
1739209781.8524134;-38.13080360867914
1739209781.8524177;-45.120503652039325
1739209781.852422;-38.13080360867914
1739209781.8524263;-45.120503652039325
1739209781.8524306;-33.981070128970906
1739209781.8524346;-38.13080360867914
1739209781.852439;-35.57807855764607
1739209781.8524432;-35.57807855764607
1739209781.8524475;-45.120503652039325
1739209781.8524518;-38.13080360867914
1739209781.852456;-38.13080360867914
1739209781.8524601;-38.13080360867914
1739209781.8524644;-45.120503652039325
1739209781.8524687;-45.120503652039325
1739209781.852473;-45.120503652039325
1739209781.8524773;-33.981070128970906
1739209781.8524816;-45.120503652039325
1739209781.8524857;-38.13080360867914
1739209781.85249;-32.816014438256545
1739209781.8524942;-45.120503652039325
1739209781.8524985;-45.120503652039325
1739209781.8525028;-45.120503652039325
1739209781.852507;-38.13080360867914
1739209781.8525112;-45.120503652039325
1739209781.8525155;-31.141103565318893
1739209781.8525198;-29.438486411369333
1739209781.852524;-38.13080360867914
1739209781.8525283;-33.981070128970906
1739209781.8525326;-35.57807855764607
1739209781.8525367;-38.13080360867914
1739209781.852541;-45.120503652039325
1739209781.8525453;-38.13080360867914
1739209781.8525496;-45.120503652039325
1739209781.8525538;-45.120503652039325
1739209781.8525581;-35.57807855764607
1739209781.8525622;-35.57807855764607
1739209781.8525665;-45.120503652039325
1739209781.8525708;-45.120503652039325
1739209781.852575;-33.981070128970906
1739209781.8525794;-38.13080360867914
1739209781.8525836;-45.120503652039325
1739209781.8525877;-45.120503652039325
1739209781.852592;-45.120503652039325
1739209781.8525963;-38.13080360867914
1739209781.8526006;-45.120503652039325
1739209781.8526049;-45.120503652039325
1739209781.8526092;-38.13080360867914
1739209781.8526132;-45.120503652039325
1739209781.8526175;-30.49652367304973
1739209781.8526218;-27.8777449560314
1739209781.852626;-45.120503652039325
1739209781.8526304;-45.120503652039325
1739209781.8526344;-32.816014438256545
1739209781.8526387;-31.141103565318893
1739209781.852643;-45.120503652039325
1739209781.8526473;-38.13080360867914
1739209781.8526516;-38.13080360867914
1739209781.852656;-45.120503652039325
1739209781.85266;-38.13080360867914
1739209781.8526642;-45.120503652039325
1739209781.8526685;-38.13080360867914
1739209781.8526728;-33.981070128970906
1739209781.852677;-45.120503652039325
1739209781.8526814;-45.120503652039325
1739209781.8526855;-32.816014438256545
1739209781.8526897;-38.13080360867914
1739209781.852694;-45.120503652039325
1739209781.8526983;-45.120503652039325
1739209781.8527026;-38.13080360867914
1739209781.852707;-38.13080360867914
1739209781.852711;-38.13080360867914
1739209781.8527153;-45.120503652039325
1739209781.8527195;-35.57807855764607
1739209781.8527238;-32.816014438256545
1739209781.8527281;-38.13080360867914
1739209781.8527324;-45.120503652039325
1739209781.8527365;-32.816014438256545
1739209781.8527408;-35.57807855764607
1739209781.852745;-45.120503652039325
1739209781.8527493;-38.13080360867914
1739209781.8527536;-38.13080360867914
1739209781.852758;-45.120503652039325
1739209781.852762;-45.120503652039325
1739209781.8527663;-45.120503652039325
1739209781.8527706;-45.120503652039325
1739209781.8527749;-38.13080360867914
1739209781.8527792;-38.13080360867914
1739209781.8527834;-45.120503652039325
1739209781.8527875;-45.120503652039325
1739209781.8527918;-45.120503652039325
1739209781.852796;-45.120503652039325
1739209781.8528004;-33.981070128970906
1739209781.8528047;-45.120503652039325
1739209781.852809;-45.120503652039325
1739209781.852813;-45.120503652039325
1739209781.8528173;-45.120503652039325
1739209781.8528216;-38.13080360867914
1739209781.8528259;-33.981070128970906
1739209781.8528302;-31.141103565318915
1739209781.8528345;-38.13080360867914
1739209781.8528385;-45.120503652039325
1739209781.8528428;-32.816014438256545
1739209781.852847;-38.13080360867914
1739209781.8528514;-38.13080360867914
1739209781.8528557;-45.120503652039325
1739209781.85286;-38.13080360867914
1739209781.852864;-33.981070128970906
1739209781.8528683;-45.120503652039325
1739209781.8528726;-38.13080360867914
1739209781.852877;-45.120503652039325
1739209781.8528812;-38.13080360867914
1739209781.8528855;-38.13080360867914
1739209781.8528895;-38.13080360867914
1739209781.8528938;-38.13080360867914
1739209781.8528981;-38.13080360867914
1739209781.8529024;-38.13080360867914
1739209781.8529067;-38.13080360867914
1739209781.852911;-38.13080360867914
1739209781.852915;-45.120503652039325
1739209781.8529193;-45.120503652039325
1739209781.8529236;-38.13080360867914
1739209781.852928;-38.13080360867914
1739209781.8529322;-45.120503652039325
1739209781.8529365;-38.13080360867914
1739209781.8529406;-33.981070128970906
1739209781.8529449;-33.981070128970906
1739209781.8529491;-38.13080360867914
1739209781.8529534;-38.13080360867914
1739209781.8529577;-38.13080360867914
1739209781.8529618;-38.13080360867914
1739209781.852966;-35.57807855764607
1739209781.8529704;-45.120503652039325
1739209781.8529747;-35.57807855764607
1739209781.852979;-35.57807855764607
1739209781.8529832;-45.120503652039325
1739209781.8529873;-45.120503652039325
1739209781.8529916;-38.13080360867914
1739209781.8529959;-33.981070128970906
1739209781.8530002;-27.267205301931607
1739209781.8530045;-38.13080360867914
1739209781.8530087;-38.13080360867914
1739209781.8530128;-35.57807855764607
1739209781.853017;-38.13080360867914
1739209781.8530214;-45.120503652039325
1739209781.8530257;-38.13080360867914
1739209781.85303;-33.981070128970906
1739209781.8530343;-32.816014438256545
1739209781.8530383;-45.120503652039325
1739209781.8530426;-38.13080360867914
1739209781.853047;-38.13080360867914
1739209781.8530512;-38.13080360867914
1739209781.8530555;-45.120503652039325
1739209781.8530598;-45.120503652039325
1739209781.8530638;-45.120503652039325
1739209781.853068;-38.13080360867914
1739209781.8530724;-45.120503652039325
1739209781.8530767;-38.13080360867914
1739209781.853081;-33.981070128970906
1739209781.8530853;-45.120503652039325
1739209781.8530893;-45.120503652039325
1739209781.8530936;-45.120503652039325
1739209781.853098;-38.13080360867914
1739209781.8531022;-26.991370085610722
1739209781.8531065;-38.13080360867914
1739209781.8531108;-45.120503652039325
1739209781.8531148;-38.13080360867914
1739209781.8531191;-33.981070128970906
1739209781.8531234;-45.120503652039325
1739209781.8531277;-45.120503652039325
1739209781.853132;-45.120503652039325
1739209781.8531363;-38.13080360867914
1739209781.8531404;-38.13080360867914
1739209781.8531446;-45.120503652039325
1739209781.853149;-45.120503652039325
1739209781.8531532;-38.13080360867914
1739209781.8531575;-45.120503652039325
1739209781.8531618;-45.120503652039325
1739209781.8531659;-38.13080360867914
1739209781.8531702;-38.13080360867914
1739209781.8531744;-45.120503652039325
1739209781.8531787;-45.120503652039325
1739209781.853183;-45.120503652039325
1739209781.8531873;-45.120503652039325
1739209781.8531914;-38.13080360867914
1739209781.8531957;-38.13080360867914
1739209781.8532;-45.120503652039325
1739209781.8532043;-35.57807855764607
1739209781.8532085;-38.13080360867914
1739209781.8532128;-45.120503652039325
1739209781.853217;-45.120503652039325
1739209781.8532212;-45.120503652039325
1739209781.8532255;-45.120503652039325
1739209781.8532298;-35.57807855764607
1739209781.853234;-35.57807855764607
1739209781.8532383;-45.120503652039325
1739209781.8532424;-38.13080360867914
1739209781.8532467;-31.141103565318893
1739209781.853251;-38.13080360867914
1739209781.8532553;-38.13080360867914
1739209781.8532596;-38.13080360867914
1739209781.8532636;-45.120503652039325
1739209781.853268;-38.13080360867914
1739209781.8532722;-38.13080360867914
1739209781.8532765;-45.120503652039325
1739209781.8532808;-38.13080360867914
1739209781.853285;-32.816014438256545
1739209781.8532891;-45.120503652039325
1739209781.8532934;-45.120503652039325
1739209781.8532977;-38.13080360867914
1739209781.853302;-45.120503652039325
1739209781.8533063;-45.120503652039325
1739209781.8533106;-45.120503652039325
1739209781.8533146;-32.816014438256545
1739209781.853319;-35.57807855764607
1739209781.8533232;-38.13080360867914
1739209781.8533275;-45.120503652039325
1739209781.8533318;-38.13080360867914
1739209781.853336;-38.13080360867914
1739209781.8533401;-35.57807855764607
1739209781.8533444;-32.816014438256545
1739209781.8533487;-45.120503652039325
1739209781.853353;-45.120503652039325
1739209781.8533573;-38.13080360867914
1739209781.8533616;-32.816014438256545
1739209781.8533657;-45.120503652039325
1739209781.85337;-45.120503652039325
1739209781.8533742;-45.120503652039325
1739209781.8533785;-45.120503652039325
1739209781.8533828;-38.13080360867914
1739209781.853387;-45.120503652039325
1739209781.8533912;-45.120503652039325
1739209781.8533955;-45.120503652039325
1739209781.8533998;-45.120503652039325
1739209781.853404;-45.120503652039325
1739209781.8534083;-38.13080360867914
1739209781.8534126;-45.120503652039325
1739209781.8534167;-45.120503652039325
1739209781.853421;-45.120503652039325
1739209781.8534253;-38.13080360867914
1739209781.8534296;-38.13080360867914
1739209781.8534338;-38.13080360867914
1739209781.8534381;-38.13080360867914
1739209781.8534422;-38.13080360867914
1739209781.8534465;-27.267205301931607
1739209781.8534508;-35.57807855764607
1739209781.853455;-32.816014438256545
1739209781.8534594;-45.120503652039325
1739209781.8534636;-38.13080360867914
1739209781.8534677;-35.57807855764607
1739209781.853472;-38.13080360867914
1739209781.8534763;-45.120503652039325
1739209781.8534806;-33.981070128970956
1739209781.8534849;-38.13080360867914
1739209781.8534892;-45.120503652039325
1739209781.8534932;-45.120503652039325
1739209781.8534975;-45.120503652039325
1739209781.8535018;-38.13080360867914
1739209781.853506;-45.120503652039325
1739209781.8535104;-45.120503652039325
