CAN Message; 0x1d3:0000b790ac02d33a
Timestamp;Amplitude
1739209833.3539815;-45.120503652039325
1739209833.3539906;-32.816014438256545
1739209833.3539996;-38.13080360867914
1739209833.354009;-45.120503652039325
1739209833.354018;-45.120503652039325
1739209833.354027;-38.13080360867914
1739209833.354036;-45.120503652039325
1739209833.3540452;-38.13080360867914
1739209833.3540542;-38.13080360867914
1739209833.3540633;-45.120503652039325
1739209833.3540723;-45.120503652039325
1739209833.3540816;-45.120503652039325
1739209833.3540907;-45.120503652039325
1739209833.3540998;-45.120503652039325
1739209833.3541088;-38.13080360867914
1739209833.3541179;-35.57807855764607
1739209833.354127;-38.13080360867914
1739209833.354136;-45.120503652039325
1739209833.3541453;-38.13080360867914
1739209833.3541543;-38.13080360867914
1739209833.3541634;-38.13080360867914
1739209833.3541725;-38.13080360867914
1739209833.3541815;-45.120503652039325
1739209833.3541906;-35.57807855764607
1739209833.3541996;-35.57807855764607
1739209833.3542087;-45.120503652039325
1739209833.354218;-38.13080360867914
1739209833.354227;-45.120503652039325
1739209833.3542361;-45.120503652039325
1739209833.3542452;-45.120503652039325
1739209833.3542542;-38.13080360867914
1739209833.3542633;-45.120503652039325
1739209833.3542724;-38.13080360867914
1739209833.3542817;-32.816014438256545
1739209833.3542907;-38.13080360867914
1739209833.3542998;-29.438486411369333
1739209833.3543088;-35.57807855764607
1739209833.354318;-45.120503652039325
1739209833.354327;-38.13080360867914
1739209833.354336;-35.57807855764607
1739209833.3543453;-38.13080360867914
1739209833.3543544;-38.13080360867914
1739209833.3543634;-45.120503652039325
1739209833.3543725;-45.120503652039325
1739209833.3543816;-45.120503652039325
1739209833.3543906;-38.13080360867914
1739209833.3543997;-38.13080360867914
1739209833.3544087;-45.120503652039325
1739209833.354418;-45.120503652039325
1739209833.354427;-35.57807855764607
1739209833.3544362;-38.13080360867914
1739209833.3544452;-45.120503652039325
1739209833.3544543;-45.120503652039325
1739209833.3544633;-38.13080360867914
1739209833.3544724;-38.13080360867914
1739209833.3544817;-38.13080360867914
1739209833.3544908;-45.120503652039325
1739209833.3544998;-45.120503652039325
1739209833.3545089;-38.13080360867914
1739209833.354518;-38.13080360867914
1739209833.354527;-38.13080360867914
1739209833.354536;-38.13080360867914
1739209833.354545;-38.13080360867914
1739209833.3545544;-45.120503652039325
1739209833.3545635;-38.13080360867914
1739209833.3545725;-35.57807855764607
1739209833.3545816;-38.13080360867914
1739209833.3545907;-45.120503652039325
1739209833.3545997;-45.120503652039325
1739209833.3546088;-35.57807855764607
1739209833.354618;-38.13080360867914
1739209833.3546271;-38.13080360867914
1739209833.3546362;-45.120503652039325
1739209833.3546453;-35.57807855764607
1739209833.3546543;-38.13080360867914
1739209833.3546634;-31.141103565318893
1739209833.3546724;-31.141103565318893
1739209833.3546815;-35.57807855764607
1739209833.3546908;-38.13080360867914
1739209833.3546999;-45.120503652039325
1739209833.354709;-38.13080360867914
1739209833.354718;-38.13080360867914
1739209833.354727;-45.120503652039325
1739209833.354736;-38.13080360867914
1739209833.3547451;-45.120503652039325
1739209833.3547544;-38.13080360867914
1739209833.3547635;-45.120503652039325
1739209833.3547726;-45.120503652039325
1739209833.3547816;-45.120503652039325
1739209833.3547907;-35.57807855764607
1739209833.3547997;-45.120503652039325
1739209833.3548088;-27.8777449560314
1739209833.354818;-28.58837851428586
1739209833.3548272;-38.13080360867914
1739209833.3548362;-45.120503652039325
1739209833.3548453;-35.57807855764607
1739209833.3548543;-35.57807855764607
1739209833.3548634;-45.120503652039325
1739209833.3548725;-38.13080360867914
1739209833.3548815;-38.13080360867914
1739209833.3548908;-45.120503652039325
1739209833.3549;-35.57807855764607
1739209833.354909;-45.120503652039325
1739209833.354918;-38.13080360867914
1739209833.354927;-45.120503652039325
1739209833.3549361;-38.13080360867914
1739209833.3549452;-45.120503652039325
1739209833.3549545;-30.49652367304973
1739209833.3549635;-31.141103565318915
1739209833.3549726;-45.120503652039325
1739209833.3549817;-45.120503652039325
1739209833.3549907;-35.57807855764607
1739209833.3549998;-38.13080360867914
1739209833.3550088;-45.120503652039325
1739209833.355018;-33.981070128970906
1739209833.3550272;-45.120503652039325
1739209833.3550363;-38.13080360867914
1739209833.3550453;-38.13080360867914
1739209833.3550544;-38.13080360867914
1739209833.3550634;-45.120503652039325
1739209833.3550725;-38.13080360867914
1739209833.3550816;-38.13080360867914
1739209833.3550909;-45.120503652039325
1739209833.3551;-45.120503652039325
1739209833.355109;-45.120503652039325
1739209833.355118;-45.120503652039325
1739209833.355127;-45.120503652039325
1739209833.3551362;-38.13080360867914
1739209833.3551452;-45.120503652039325
1739209833.3551543;-38.13080360867914
1739209833.3551636;-38.13080360867914
1739209833.3551726;-32.816014438256545
1739209833.3551817;-31.141103565318915
1739209833.3551908;-38.13080360867914
1739209833.3551998;-45.120503652039325
1739209833.3552089;-38.13080360867914
1739209833.355218;-38.13080360867914
1739209833.3552272;-35.57807855764607
1739209833.3552363;-30.49652367304973
1739209833.3552454;-45.120503652039325
1739209833.3552544;-29.438486411369354
1739209833.3552635;-38.13080360867914
1739209833.3552725;-38.13080360867914
1739209833.3552816;-45.120503652039325
1739209833.355291;-45.120503652039325
1739209833.3553;-38.13080360867914
1739209833.355309;-38.13080360867914
1739209833.355318;-38.13080360867914
1739209833.3553271;-31.141103565318915
1739209833.3553362;-35.57807855764607
1739209833.3553452;-45.120503652039325
1739209833.3553543;-38.13080360867914
1739209833.3553636;-38.13080360867914
1739209833.3553727;-33.981070128970906
1739209833.3553817;-33.981070128970906
1739209833.3553908;-45.120503652039325
1739209833.3553998;-38.13080360867914
1739209833.355409;-35.57807855764607
1739209833.355418;-38.13080360867914
1739209833.3554273;-45.120503652039325
1739209833.3554363;-38.13080360867914
1739209833.3554454;-35.57807855764607
1739209833.3554544;-38.13080360867914
1739209833.3554635;-35.57807855764607
1739209833.3554726;-35.57807855764607
1739209833.3554816;-45.120503652039325
1739209833.3554907;-45.120503652039325
1739209833.3555;-45.120503652039325
1739209833.355509;-45.120503652039325
1739209833.355518;-45.120503652039325
1739209833.3555272;-45.120503652039325
1739209833.3555362;-45.120503652039325
1739209833.3555453;-38.13080360867914
1739209833.3555543;-38.13080360867914
1739209833.3555636;-45.120503652039325
1739209833.3555727;-35.57807855764607
1739209833.3555818;-31.141103565318915
1739209833.3555908;-38.13080360867914
1739209833.3555999;-38.13080360867914
1739209833.355609;-35.57807855764607
1739209833.355618;-38.13080360867914
1739209833.3556273;-45.120503652039325
1739209833.3556364;-45.120503652039325
1739209833.3556454;-38.13080360867914
1739209833.3556545;-45.120503652039325
1739209833.3556635;-45.120503652039325
