CAN Message; 0x77:b3c76210c9cbd45e
Timestamp;Amplitude
1739209697.751981;-45.120503652039325
1739209697.7519832;-45.120503652039325
1739209697.751985;-45.120503652039325
1739209697.7519872;-45.120503652039325
1739209697.7519894;-45.120503652039325
1739209697.7519915;-45.120503652039325
1739209697.7519934;-38.13080360867914
1739209697.7519956;-38.13080360867914
1739209697.7519977;-45.120503652039325
1739209697.7519996;-35.57807855764607
1739209697.7520018;-45.120503652039325
1739209697.752004;-38.13080360867914
1739209697.752006;-38.13080360867914
1739209697.752008;-38.13080360867914
1739209697.75201;-26.991370085610736
1739209697.7520123;-38.13080360867914
1739209697.7520144;-45.120503652039325
1739209697.7520163;-38.13080360867914
1739209697.7520185;-35.57807855764607
1739209697.7520206;-45.120503652039325
1739209697.7520225;-38.13080360867914
1739209697.7520247;-35.57807855764607
1739209697.7520268;-45.120503652039325
1739209697.752029;-45.120503652039325
1739209697.7520308;-45.120503652039325
1739209697.752033;-45.120503652039325
1739209697.7520351;-45.120503652039325
1739209697.752037;-38.13080360867914
1739209697.7520392;-35.57807855764607
1739209697.7520413;-38.13080360867914
1739209697.7520435;-31.141103565318893
1739209697.7520454;-35.57807855764607
1739209697.7520475;-38.13080360867914
1739209697.7520497;-45.120503652039325
1739209697.7520516;-45.120503652039325
1739209697.7520537;-45.120503652039325
1739209697.752056;-45.120503652039325
1739209697.752058;-38.13080360867914
1739209697.75206;-31.141103565318893
1739209697.752062;-33.981070128970906
1739209697.7520642;-38.13080360867914
1739209697.7520664;-45.120503652039325
1739209697.7520683;-38.13080360867914
1739209697.7520704;-35.57807855764607
1739209697.7520726;-45.120503652039325
1739209697.7520745;-35.57807855764607
1739209697.7520766;-45.120503652039325
1739209697.7520788;-45.120503652039325
1739209697.752081;-32.816014438256545
1739209697.7520828;-38.13080360867914
1739209697.752085;-38.13080360867914
1739209697.752087;-33.981070128970906
1739209697.752089;-45.120503652039325
1739209697.7520912;-45.120503652039325
1739209697.7520933;-27.8777449560314
