CAN Message; 0x1d3:0000e178396d4ff6
Timestamp;Amplitude
1739209865.1291943;-38.13080360867914
1739209865.1292017;-38.13080360867914
1739209865.1292093;-45.120503652039325
1739209865.1292167;-45.120503652039325
1739209865.1292243;-45.120503652039325
1739209865.1292317;-45.120503652039325
1739209865.1292393;-38.13080360867914
1739209865.1292467;-45.120503652039325
1739209865.1292543;-38.13080360867914
1739209865.1292617;-38.13080360867914
1739209865.1292694;-38.13080360867914
1739209865.1292768;-26.991370085610722
1739209865.1292844;-45.120503652039325
1739209865.1292918;-45.120503652039325
1739209865.1292994;-45.120503652039325
1739209865.1293068;-35.57807855764607
1739209865.1293144;-38.13080360867914
1739209865.1293218;-45.120503652039325
1739209865.1293294;-45.120503652039325
1739209865.1293368;-33.981070128970956
1739209865.1293445;-45.120503652039325
1739209865.1293519;-32.816014438256545
1739209865.1293595;-33.981070128970906
1739209865.1293669;-45.120503652039325
1739209865.1293743;-45.120503652039325
1739209865.129382;-32.816014438256545
1739209865.1293893;-35.57807855764607
1739209865.129397;-28.58837851428586
1739209865.1294043;-35.57807855764607
1739209865.129412;-38.13080360867914
1739209865.1294193;-38.13080360867914
1739209865.129427;-45.120503652039325
1739209865.1294343;-38.13080360867914
1739209865.129442;-45.120503652039325
1739209865.1294494;-45.120503652039325
1739209865.129457;-45.120503652039325
1739209865.1294644;-45.120503652039325
1739209865.129472;-35.57807855764607
1739209865.1294794;-38.13080360867914
1739209865.129487;-45.120503652039325
1739209865.1294944;-45.120503652039325
1739209865.129502;-45.120503652039325
1739209865.1295094;-38.13080360867914
1739209865.129517;-45.120503652039325
1739209865.1295245;-45.120503652039325
1739209865.129532;-32.816014438256545
1739209865.1295395;-35.57807855764607
1739209865.129547;-45.120503652039325
1739209865.1295545;-45.120503652039325
1739209865.1295621;-38.13080360867914
1739209865.1295695;-45.120503652039325
1739209865.1295772;-28.21854285175415
1739209865.1295846;-35.57807855764607
1739209865.1295922;-45.120503652039325
1739209865.1295996;-45.120503652039325
1739209865.1296072;-45.120503652039325
1739209865.1296146;-38.13080360867914
1739209865.1296222;-45.120503652039325
1739209865.1296296;-45.120503652039325
1739209865.1296372;-45.120503652039325
1739209865.1296446;-45.120503652039325
1739209865.1296523;-38.13080360867914
1739209865.1296597;-45.120503652039325
1739209865.1296673;-45.120503652039325
1739209865.1296747;-45.120503652039325
1739209865.1296823;-45.120503652039325
1739209865.1296897;-38.13080360867914
1739209865.1296973;-38.13080360867914
1739209865.1297047;-45.120503652039325
1739209865.1297123;-38.13080360867914
1739209865.1297197;-38.13080360867914
1739209865.1297274;-45.120503652039325
1739209865.1297348;-45.120503652039325
1739209865.1297424;-45.120503652039325
1739209865.1297498;-45.120503652039325
1739209865.1297572;-38.13080360867914
1739209865.1297648;-45.120503652039325
1739209865.1297722;-35.57807855764607
1739209865.1297798;-38.13080360867914
1739209865.1297872;-38.13080360867914
1739209865.1297948;-38.13080360867914
1739209865.1298022;-45.120503652039325
1739209865.1298099;-45.120503652039325
1739209865.1298172;-45.120503652039325
1739209865.1298249;-45.120503652039325
1739209865.1298323;-35.57807855764607
1739209865.12984;-45.120503652039325
1739209865.1298473;-45.120503652039325
1739209865.129855;-33.981070128970906
1739209865.1298623;-35.57807855764607
1739209865.12987;-45.120503652039325
1739209865.1298773;-33.981070128970906
1739209865.129885;-38.13080360867914
1739209865.1298923;-38.13080360867914
1739209865.1299;-33.981070128970906
1739209865.1299074;-38.13080360867914
1739209865.129915;-33.981070128970906
1739209865.1299224;-33.981070128970906
1739209865.12993;-33.981070128970906
1739209865.1299374;-45.120503652039325
1739209865.129945;-45.120503652039325
1739209865.1299524;-45.120503652039325
1739209865.12996;-38.13080360867914
1739209865.1299675;-38.13080360867914
1739209865.129975;-33.981070128970906
1739209865.1299825;-45.120503652039325
1739209865.12999;-45.120503652039325
1739209865.1299975;-45.120503652039325
1739209865.1300051;-45.120503652039325
1739209865.1300125;-38.13080360867914
1739209865.1300201;-45.120503652039325
1739209865.1300275;-45.120503652039325
1739209865.1300352;-45.120503652039325
1739209865.1300426;-38.13080360867914
1739209865.1300502;-45.120503652039325
1739209865.1300576;-45.120503652039325
1739209865.1300652;-38.13080360867914
1739209865.1300726;-33.981070128970906
1739209865.1300802;-45.120503652039325
1739209865.1300876;-38.13080360867914
1739209865.1300952;-35.57807855764607
1739209865.1301026;-38.13080360867914
1739209865.1301103;-38.13080360867914
1739209865.1301177;-38.13080360867914
1739209865.1301253;-38.13080360867914
1739209865.1301327;-38.13080360867914
1739209865.13014;-45.120503652039325
1739209865.1301477;-45.120503652039325
1739209865.130155;-45.120503652039325
1739209865.1301627;-45.120503652039325
1739209865.13017;-45.120503652039325
1739209865.1301777;-38.13080360867914
1739209865.1301851;-33.981070128970906
1739209865.1301928;-31.141103565318915
1739209865.1302001;-38.13080360867914
1739209865.1302078;-45.120503652039325
1739209865.1302152;-33.981070128970906
1739209865.1302228;-33.981070128970906
1739209865.1302302;-38.13080360867914
1739209865.1302378;-45.120503652039325
1739209865.1302452;-35.57807855764607
1739209865.1302528;-38.13080360867914
1739209865.1302602;-45.120503652039325
1739209865.1302679;-38.13080360867914
1739209865.1302752;-31.141103565318915
1739209865.1302829;-45.120503652039325
1739209865.1302903;-45.120503652039325
1739209865.130298;-38.13080360867914
1739209865.1303053;-33.981070128970906
1739209865.130313;-38.13080360867914
1739209865.1303203;-45.120503652039325
1739209865.130328;-45.120503652039325
1739209865.1303353;-38.13080360867914
1739209865.130343;-45.120503652039325
1739209865.1303504;-38.13080360867914
1739209865.130358;-45.120503652039325
1739209865.1303654;-33.981070128970906
1739209865.130373;-31.141103565318915
1739209865.1303804;-33.981070128970906
1739209865.130388;-45.120503652039325
1739209865.1303954;-45.120503652039325
1739209865.130403;-35.57807855764607
1739209865.1304104;-38.13080360867914
1739209865.130418;-38.13080360867914
1739209865.1304255;-38.13080360867914
1739209865.130433;-38.13080360867914
1739209865.1304405;-38.13080360867914
