CAN Message; 0x1b8:02008b1f66a671f1
Timestamp;Amplitude
1739209806.2433138;-38.13080360867914
1739209806.2433164;-38.13080360867914
1739209806.243319;-45.120503652039325
1739209806.2433217;-38.13080360867914
1739209806.2433243;-38.13080360867914
1739209806.243327;-45.120503652039325
1739209806.2433293;-32.816014438256545
1739209806.243332;-38.13080360867914
1739209806.2433345;-45.120503652039325
1739209806.2433372;-45.120503652039325
1739209806.2433398;-32.816014438256545
1739209806.2433422;-45.120503652039325
1739209806.2433448;-45.120503652039325
1739209806.2433474;-38.13080360867914
1739209806.24335;-35.57807855764607
1739209806.2433527;-45.120503652039325
1739209806.2433553;-45.120503652039325
1739209806.2433577;-38.13080360867914
1739209806.2433603;-35.57807855764607
1739209806.243363;-45.120503652039325
1739209806.2433655;-32.816014438256545
1739209806.2433681;-38.13080360867914
1739209806.2433708;-38.13080360867914
1739209806.2433732;-38.13080360867914
1739209806.2433758;-45.120503652039325
1739209806.2433784;-33.981070128970906
1739209806.243381;-32.816014438256545
1739209806.2433836;-45.120503652039325
1739209806.2433863;-45.120503652039325
1739209806.2433887;-38.13080360867914
1739209806.2433913;-33.981070128970906
1739209806.243394;-38.13080360867914
1739209806.2433965;-45.120503652039325
1739209806.2433991;-38.13080360867914
1739209806.2434018;-38.13080360867914
1739209806.2434042;-38.13080360867914
1739209806.2434068;-35.57807855764607
1739209806.2434094;-45.120503652039325
1739209806.243412;-45.120503652039325
1739209806.2434146;-38.13080360867914
1739209806.2434173;-35.57807855764607
1739209806.2434196;-45.120503652039325
1739209806.2434223;-45.120503652039325
1739209806.243425;-38.13080360867914
1739209806.2434275;-35.57807855764607
1739209806.2434301;-45.120503652039325
1739209806.2434328;-45.120503652039325
1739209806.2434351;-45.120503652039325
1739209806.2434378;-45.120503652039325
1739209806.2434404;-45.120503652039325
1739209806.243443;-45.120503652039325
1739209806.2434456;-38.13080360867914
1739209806.243448;-45.120503652039325
1739209806.2434506;-45.120503652039325
1739209806.2434533;-45.120503652039325
1739209806.243456;-33.981070128970906
1739209806.2434585;-35.57807855764607
1739209806.2434611;-38.13080360867914
1739209806.2434635;-45.120503652039325
1739209806.2434661;-35.57807855764607
1739209806.2434688;-26.035653463252796
1739209806.2434714;-38.13080360867914
1739209806.243474;-45.120503652039325
1739209806.2434766;-38.13080360867914
1739209806.243479;-35.57807855764607
1739209806.2434816;-38.13080360867914
1739209806.2434843;-38.13080360867914
1739209806.243487;-45.120503652039325
1739209806.2434895;-32.81601443825658
1739209806.2434921;-38.13080360867914
1739209806.2434945;-35.57807855764607
1739209806.2434971;-38.13080360867914
1739209806.2434998;-45.120503652039325
1739209806.2435024;-38.13080360867914
1739209806.243505;-35.57807855764607
1739209806.2435076;-38.13080360867914
1739209806.24351;-45.120503652039325
1739209806.2435126;-38.13080360867914
1739209806.2435153;-45.120503652039325
1739209806.2435179;-45.120503652039325
1739209806.2435205;-45.120503652039325
1739209806.2435231;-38.13080360867914
