CAN Message; 0x1d3:0000fd55bdb5f073
Timestamp;Amplitude
1739209736.3304174;-38.13080360867914
1739209736.3304284;-45.120503652039325
1739209736.3304396;-33.981070128970906
1739209736.3304505;-45.120503652039325
1739209736.3304617;-45.120503652039325
1739209736.3304727;-45.120503652039325
1739209736.3304837;-38.13080360867914
1739209736.3304949;-45.120503652039325
1739209736.3305058;-38.13080360867914
1739209736.330517;-45.120503652039325
1739209736.330528;-33.981070128970906
1739209736.3305392;-38.13080360867914
1739209736.3305502;-45.120503652039325
1739209736.3305614;-35.57807855764607
1739209736.3305724;-38.13080360867914
1739209736.3305833;-35.57807855764607
1739209736.3305945;-35.57807855764607
1739209736.3306055;-38.13080360867914
1739209736.3306167;-38.13080360867914
1739209736.3306277;-45.120503652039325
1739209736.330639;-45.120503652039325
1739209736.3306499;-38.13080360867914
1739209736.330661;-45.120503652039325
1739209736.330672;-45.120503652039325
1739209736.3306832;-45.120503652039325
1739209736.3306942;-35.57807855764607
1739209736.3307052;-38.13080360867914
1739209736.3307164;-38.13080360867914
1739209736.3307273;-38.13080360867914
1739209736.3307385;-38.13080360867914
1739209736.3307495;-32.816014438256545
1739209736.3307607;-45.120503652039325
1739209736.3307717;-45.120503652039325
1739209736.330783;-38.13080360867914
1739209736.3307939;-31.141103565318915
1739209736.3308048;-38.13080360867914
1739209736.330816;-38.13080360867914
1739209736.330827;-45.120503652039325
1739209736.3308382;-45.120503652039325
1739209736.3308492;-45.120503652039325
1739209736.3308604;-45.120503652039325
1739209736.3308713;-38.13080360867914
1739209736.3308825;-32.816014438256545
1739209736.3308935;-33.981070128970906
1739209736.3309045;-45.120503652039325
1739209736.3309157;-45.120503652039325
1739209736.3309267;-38.13080360867914
1739209736.3309379;-38.13080360867914
1739209736.3309488;-38.13080360867914
1739209736.33096;-45.120503652039325
1739209736.330971;-33.981070128970906
1739209736.3309822;-33.981070128970906
1739209736.3309932;-38.13080360867914
1739209736.3310044;-38.13080360867914
1739209736.3310153;-38.13080360867914
1739209736.3310263;-38.13080360867914
1739209736.3310375;-35.57807855764607
1739209736.3310485;-38.13080360867914
1739209736.3310597;-33.981070128970906
1739209736.3310707;-31.141103565318915
1739209736.3310819;-45.120503652039325
1739209736.3310928;-38.13080360867914
