CAN Message; 0x1a7:0000e0bc38968105
Timestamp;Amplitude
1739209706.322725;-33.981070128970906
1739209706.3227274;-33.981070128970906
1739209706.3227296;-38.13080360867914
1739209706.3227317;-27.877744956031414
1739209706.3227339;-35.57807855764607
1739209706.322736;-45.120503652039325
1739209706.3227382;-31.141103565318893
1739209706.3227403;-33.981070128970906
1739209706.3227427;-35.57807855764607
1739209706.3227448;-38.13080360867914
1739209706.322747;-45.120503652039325
1739209706.3227491;-33.981070128970906
1739209706.3227513;-35.57807855764607
1739209706.3227534;-28.58837851428586
1739209706.3227556;-38.13080360867914
1739209706.322758;-32.816014438256545
1739209706.32276;-27.8777449560314
1739209706.3227623;-27.267205301931607
1739209706.3227644;-31.141103565318943
1739209706.3227665;-35.57807855764607
1739209706.3227687;-38.13080360867914
1739209706.3227708;-32.816014438256545
1739209706.3227732;-29.438486411369333
1739209706.3227754;-27.267205301931607
1739209706.3227775;-45.120503652039325
1739209706.3227797;-29.438486411369333
1739209706.3227818;-31.141103565318893
1739209706.322784;-31.141103565318915
1739209706.322786;-27.8777449560314
1739209706.3227885;-33.981070128970906
1739209706.3227906;-38.13080360867914
1739209706.3227928;-27.877744956031414
1739209706.322795;-38.13080360867914
1739209706.322797;-28.992665084841942
1739209706.3227992;-38.13080360867914
1739209706.3228014;-33.981070128970906
1739209706.3228037;-38.13080360867914
1739209706.322806;-33.981070128970906
1739209706.322808;-38.13080360867914
1739209706.3228102;-45.120503652039325
1739209706.3228123;-31.141103565318915
1739209706.3228145;-25.826314394896357
1739209706.3228166;-31.141103565318943
1739209706.322819;-38.13080360867914
1739209706.3228211;-38.13080360867914
1739209706.3228233;-45.120503652039325
1739209706.3228254;-45.120503652039325
1739209706.3228276;-38.13080360867914
1739209706.3228297;-32.816014438256545
1739209706.3228319;-38.13080360867914
1739209706.3228343;-45.120503652039325
1739209706.3228364;-25.62660358559016
1739209706.3228385;-33.981070128970906
1739209706.3228407;-33.981070128970906
1739209706.3228428;-26.487275050834725
1739209706.322845;-28.218542851754165
1739209706.3228471;-35.57807855764607
1739209706.3228495;-33.981070128970906
1739209706.3228517;-28.58837851428586
1739209706.3228538;-32.81601443825658
1739209706.322856;-33.981070128970906
1739209706.322858;-24.292649948874775
1739209706.3228602;-27.267205301931607
1739209706.3228624;-45.120503652039325
1739209706.3228648;-38.13080360867914
1739209706.322867;-26.487275050834715
1739209706.322869;-27.267205301931607
1739209706.3228712;-45.120503652039325
1739209706.3228734;-26.487275050834715
1739209706.3228755;-26.991370085610722
1739209706.3228776;-33.981070128970956
1739209706.32288;-38.13080360867914
1739209706.3228822;-31.141103565318915
1739209706.3228843;-31.141103565318893
1739209706.3228865;-32.816014438256545
1739209706.3228886;-27.267205301931607
1739209706.3228908;-27.267205301931607
1739209706.322893;-32.816014438256545
1739209706.3228953;-38.13080360867914
1739209706.3228974;-35.57807855764607
1739209706.3228996;-27.8777449560314
1739209706.3229017;-28.992665084841942
1739209706.3229039;-27.267205301931607
1739209706.322906;-45.120503652039325
1739209706.3229082;-31.141103565318915
1739209706.3229105;-27.877744956031414
1739209706.3229127;-33.981070128970906
1739209706.3229148;-38.13080360867914
1739209706.322917;-28.992665084841942
1739209706.3229191;-31.141103565318943
1739209706.3229213;-31.141103565318943
1739209706.3229234;-28.58837851428586
1739209706.3229258;-38.13080360867914
1739209706.322928;-26.991370085610722
1739209706.32293;-33.981070128970906
1739209706.3229322;-24.438645034577675
1739209706.3229344;-33.981070128970906
1739209706.3229365;-23.75329798047522
1739209706.3229387;-38.13080360867914
1739209706.322941;-33.981070128970906
1739209706.3229432;-29.438486411369333
1739209706.3229454;-38.13080360867914
1739209706.3229475;-38.13080360867914
1739209706.3229496;-45.120503652039325
1739209706.3229518;-31.141103565318915
1739209706.3229542;-33.981070128970906
1739209706.3229563;-33.981070128970906
1739209706.3229585;-31.141103565318915
1739209706.3229606;-30.49652367304976
1739209706.3229628;-38.13080360867914
1739209706.322965;-38.13080360867914
1739209706.322967;-32.816014438256545
1739209706.3229694;-26.991370085610736
1739209706.3229716;-45.120503652039325
1739209706.3229737;-31.141103565318915
1739209706.3229759;-28.21854285175415
1739209706.322978;-27.267205301931607
1739209706.3229802;-35.57807855764607
1739209706.3229823;-33.981070128970956
1739209706.3229847;-38.13080360867914
1739209706.3229868;-25.252786309376837
1739209706.322989;-27.267205301931607
1739209706.3229911;-45.120503652039325
1739209706.3229933;-33.981070128970906
1739209706.3229954;-38.13080360867914
1739209706.3229976;-30.49652367304973
1739209706.323;-25.826314394896354
1739209706.323002;-38.13080360867914
1739209706.3230042;-26.991370085610722
1739209706.3230064;-32.816014438256545
1739209706.3230085;-31.141103565318893
1739209706.3230107;-25.826314394896357
1739209706.3230128;-31.141103565318943
1739209706.3230152;-33.981070128970906
1739209706.3230174;-35.57807855764607
1739209706.3230195;-38.13080360867914
1739209706.3230217;-32.816014438256545
1739209706.3230238;-38.13080360867914
1739209706.323026;-38.13080360867914
1739209706.323028;-26.991370085610722
1739209706.3230305;-27.877744956031414
1739209706.3230326;-38.13080360867914
1739209706.3230348;-31.141103565318915
1739209706.323037;-31.141103565318893
1739209706.323039;-35.57807855764607
1739209706.3230412;-27.8777449560314
1739209706.3230433;-30.49652367304973
1739209706.3230457;-25.826314394896357
1739209706.3230479;-33.981070128970906
1739209706.32305;-28.992665084841942
1739209706.3230522;-38.13080360867914
1739209706.3230543;-38.13080360867914
1739209706.3230565;-32.816014438256545
1739209706.3230586;-30.49652367304973
1739209706.323061;-31.141103565318893
1739209706.3230631;-29.438486411369347
1739209706.3230653;-31.141103565318943
1739209706.3230674;-32.816014438256545
1739209706.3230696;-31.141103565318943
1739209706.3230717;-31.14110356531892
1739209706.3230739;-26.991370085610736
1739209706.3230762;-35.57807855764607
1739209706.3230784;-32.816014438256545
1739209706.3230805;-45.120503652039325
1739209706.3230827;-33.981070128970906
1739209706.3230848;-32.816014438256545
1739209706.323087;-45.120503652039325
1739209706.3230891;-33.981070128970906
1739209706.3230915;-29.438486411369333
1739209706.3230937;-45.120503652039325
1739209706.3230958;-33.981070128970906
1739209706.323098;-26.991370085610722
1739209706.3231;-30.49652367304973
1739209706.3231022;-28.992665084841967
1739209706.3231044;-45.120503652039325
1739209706.3231068;-25.826314394896357
1739209706.323109;-33.981070128970956
1739209706.323111;-26.991370085610754
1739209706.3231132;-28.992665084841942
1739209706.3231153;-31.141103565318943
1739209706.3231175;-31.141103565318943
1739209706.3231196;-29.438486411369333
1739209706.323122;-33.981070128970906
1739209706.3231242;-45.120503652039325
1739209706.3231263;-38.13080360867914
1739209706.3231285;-38.13080360867914
1739209706.3231306;-45.120503652039325
1739209706.3231328;-30.49652367304976
1739209706.323135;-45.120503652039325
1739209706.3231373;-45.120503652039325
1739209706.3231394;-29.438486411369347
1739209706.3231416;-29.438486411369375
1739209706.3231437;-38.13080360867914
1739209706.3231459;-38.13080360867914
1739209706.323148;-26.487275050834715
1739209706.3231502;-38.13080360867914
1739209706.3231525;-33.981070128970906
1739209706.3231547;-38.13080360867914
1739209706.3231568;-33.981070128970906
1739209706.323159;-32.816014438256545
1739209706.3231611;-25.62660358559016
1739209706.3231633;-29.438486411369333
1739209706.3231654;-28.58837851428586
1739209706.3231678;-27.877744956031414
1739209706.32317;-38.13080360867914
1739209706.323172;-28.992665084841942
1739209706.3231742;-31.141103565318915
1739209706.3231764;-25.826314394896357
1739209706.3231785;-27.267205301931607
1739209706.3231807;-31.141103565318915
1739209706.323183;-32.81601443825658
1739209706.3231852;-33.981070128970906
1739209706.3231874;-27.8777449560314
1739209706.3231895;-38.13080360867914
1739209706.3231916;-32.816014438256545
1739209706.3231938;-45.120503652039325
1739209706.323196;-33.981070128970906
1739209706.3231983;-45.120503652039325
1739209706.3232005;-31.141103565318915
1739209706.3232026;-33.981070128970906
1739209706.3232048;-35.57807855764607
1739209706.323207;-33.981070128970906
1739209706.323209;-28.992665084841942
1739209706.3232112;-30.49652367304976
1739209706.3232136;-27.267205301931607
1739209706.3232157;-45.120503652039325
1739209706.3232179;-32.816014438256545
1739209706.32322;-32.816014438256545
1739209706.3232222;-38.13080360867914
1739209706.3232243;-26.991370085610736
1739209706.3232265;-30.49652367304973
1739209706.3232288;-28.992665084841967
1739209706.323231;-32.816014438256545
1739209706.3232331;-45.120503652039325
1739209706.3232353;-33.981070128970906
1739209706.3232374;-45.120503652039325
1739209706.3232396;-45.120503652039325
1739209706.3232417;-38.13080360867914
1739209706.323244;-28.58837851428586
1739209706.3232462;-28.58837851428586
1739209706.3232484;-45.120503652039325
1739209706.3232505;-38.13080360867914
1739209706.3232527;-35.57807855764607
1739209706.3232548;-38.13080360867914
1739209706.323257;-33.981070128970906
1739209706.3232594;-45.120503652039325
1739209706.3232615;-28.21854285175415
1739209706.3232636;-25.826314394896357
1739209706.3232658;-32.81601443825658
1739209706.323268;-45.120503652039325
1739209706.32327;-38.13080360867914
1739209706.3232722;-33.981070128970906
1739209706.3232746;-38.13080360867914
1739209706.3232768;-28.218542851754165
1739209706.323279;-35.57807855764607
1739209706.323281;-26.991370085610722
1739209706.3232832;-38.13080360867914
1739209706.3232853;-35.57807855764607
1739209706.3232875;-24.746238672633048
1739209706.3232899;-45.120503652039325
1739209706.323292;-33.981070128970906
1739209706.3232942;-45.120503652039325
1739209706.3232963;-31.141103565318943
1739209706.3232985;-35.57807855764607
1739209706.3233006;-31.141103565318915
1739209706.3233027;-28.58837851428586
1739209706.3233051;-31.141103565318915
1739209706.3233073;-38.13080360867914
1739209706.3233094;-45.120503652039325
1739209706.3233116;-38.13080360867914
1739209706.3233137;-45.120503652039325
1739209706.3233159;-32.81601443825658
1739209706.323318;-33.981070128970906
1739209706.3233204;-28.21854285175415
1739209706.3233225;-32.816014438256545
1739209706.3233247;-33.981070128970906
1739209706.3233268;-29.438486411369333
1739209706.323329;-38.13080360867914
1739209706.323331;-45.120503652039325
1739209706.3233333;-26.03565346325281
1739209706.3233356;-22.448786368009156
1739209706.3233378;-45.120503652039325
1739209706.32334;-33.981070128970906
1739209706.323342;-38.13080360867914
1739209706.3233442;-28.58837851428586
1739209706.3233464;-32.816014438256545
1739209706.3233485;-32.816014438256545
1739209706.323351;-26.991370085610722
1739209706.323353;-45.120503652039325
1739209706.3233552;-38.13080360867914
1739209706.3233573;-32.816014438256545
1739209706.3233595;-32.81601443825658
