CAN Message; 0x1a7:0000d1bcdf5e19a7
Timestamp;Amplitude
1739209686.662534;-33.981070128970906
1739209686.6625364;-38.13080360867914
1739209686.662539;-45.120503652039325
1739209686.6625416;-45.120503652039325
1739209686.6625443;-38.13080360867914
1739209686.6625469;-45.120503652039325
1739209686.6625493;-45.120503652039325
1739209686.6625519;-32.816014438256545
1739209686.6625545;-38.13080360867914
1739209686.6625571;-38.13080360867914
1739209686.6625597;-35.57807855764607
1739209686.6625621;-38.13080360867914
1739209686.6625648;-32.816014438256545
1739209686.6625674;-45.120503652039325
1739209686.66257;-45.120503652039325
1739209686.6625726;-38.13080360867914
1739209686.662575;-38.13080360867914
1739209686.6625776;-38.13080360867914
1739209686.6625803;-38.13080360867914
1739209686.6625829;-45.120503652039325
1739209686.6625855;-38.13080360867914
1739209686.662588;-38.13080360867914
1739209686.6625905;-38.13080360867914
1739209686.6625931;-31.141103565318915
1739209686.6625957;-35.57807855764607
1739209686.6625984;-45.120503652039325
1739209686.6626008;-38.13080360867914
1739209686.6626034;-45.120503652039325
1739209686.662606;-38.13080360867914
1739209686.6626086;-35.57807855764607
1739209686.6626112;-45.120503652039325
1739209686.6626136;-38.13080360867914
1739209686.6626163;-38.13080360867914
1739209686.6626189;-38.13080360867914
1739209686.6626215;-38.13080360867914
1739209686.662624;-38.13080360867914
1739209686.6626265;-38.13080360867914
1739209686.6626291;-45.120503652039325
1739209686.6626318;-38.13080360867914
1739209686.6626344;-38.13080360867914
1739209686.6626368;-33.981070128970906
1739209686.6626394;-45.120503652039325
1739209686.662642;-38.13080360867914
1739209686.6626446;-38.13080360867914
1739209686.6626472;-38.13080360867914
1739209686.6626496;-45.120503652039325
1739209686.6626523;-45.120503652039325
1739209686.6626549;-38.13080360867914
1739209686.6626575;-38.13080360867914
1739209686.6626601;-38.13080360867914
1739209686.6626625;-35.57807855764607
1739209686.6626651;-38.13080360867914
1739209686.6626678;-38.13080360867914
1739209686.6626704;-45.120503652039325
1739209686.662673;-38.13080360867914
1739209686.6626754;-45.120503652039325
1739209686.662678;-38.13080360867914
1739209686.6626806;-45.120503652039325
1739209686.6626832;-45.120503652039325
1739209686.6626859;-32.816014438256545
1739209686.6626883;-38.13080360867914
1739209686.6626909;-45.120503652039325
1739209686.6626935;-38.13080360867914
1739209686.6626961;-38.13080360867914
1739209686.6626987;-38.13080360867914
1739209686.6627011;-45.120503652039325
1739209686.6627038;-38.13080360867914
1739209686.6627064;-38.13080360867914
1739209686.662709;-38.13080360867914
1739209686.6627116;-38.13080360867914
1739209686.662714;-38.13080360867914
1739209686.6627166;-38.13080360867914
1739209686.6627192;-38.13080360867914
1739209686.6627219;-38.13080360867914
1739209686.6627243;-33.981070128970906
1739209686.6627269;-35.57807855764607
1739209686.6627295;-35.57807855764607
1739209686.6627321;-45.120503652039325
1739209686.6627347;-45.120503652039325
1739209686.6627371;-38.13080360867914
1739209686.6627398;-38.13080360867914
1739209686.6627424;-45.120503652039325
1739209686.662745;-33.981070128970956
1739209686.6627476;-38.13080360867914
1739209686.66275;-38.13080360867914
1739209686.6627526;-38.13080360867914
1739209686.6627553;-38.13080360867914
1739209686.6627579;-45.120503652039325
1739209686.6627605;-45.120503652039325
1739209686.6627629;-45.120503652039325
1739209686.6627655;-27.267205301931607
1739209686.6627681;-38.13080360867914
1739209686.6627707;-45.120503652039325
1739209686.6627734;-45.120503652039325
1739209686.6627758;-38.13080360867914
1739209686.6627784;-38.13080360867914
1739209686.662781;-45.120503652039325
1739209686.6627836;-45.120503652039325
1739209686.6627862;-35.57807855764607
1739209686.6627886;-38.13080360867914
1739209686.6627913;-38.13080360867914
1739209686.6627939;-45.120503652039325
1739209686.6627965;-45.120503652039325
1739209686.6627991;-45.120503652039325
1739209686.6628015;-38.13080360867914
1739209686.6628041;-45.120503652039325
1739209686.6628067;-33.981070128970906
1739209686.6628094;-38.13080360867914
1739209686.662812;-45.120503652039325
1739209686.6628144;-45.120503652039325
1739209686.662817;-33.981070128970906
1739209686.6628196;-38.13080360867914
1739209686.6628222;-45.120503652039325
1739209686.6628246;-45.120503652039325
1739209686.6628273;-45.120503652039325
1739209686.6628299;-38.13080360867914
1739209686.6628325;-35.57807855764607
1739209686.6628351;-45.120503652039325
1739209686.6628375;-38.13080360867914
1739209686.6628401;-38.13080360867914
1739209686.6628428;-38.13080360867914
1739209686.6628454;-45.120503652039325
1739209686.662848;-38.13080360867914
1739209686.6628504;-38.13080360867914
1739209686.662853;-45.120503652039325
1739209686.6628556;-38.13080360867914
1739209686.6628582;-32.816014438256545
1739209686.6628609;-45.120503652039325
1739209686.6628633;-45.120503652039325
1739209686.6628659;-33.981070128970906
1739209686.6628685;-31.141103565318915
1739209686.6628711;-31.141103565318915
1739209686.6628737;-32.816014438256545
1739209686.6628761;-45.120503652039325
1739209686.6628788;-45.120503652039325
1739209686.6628814;-35.57807855764607
1739209686.662884;-38.13080360867914
1739209686.6628866;-45.120503652039325
1739209686.662889;-38.13080360867914
1739209686.6628916;-31.141103565318915
1739209686.6628942;-38.13080360867914
1739209686.6628969;-38.13080360867914
1739209686.6628995;-38.13080360867914
1739209686.6629019;-38.13080360867914
1739209686.6629045;-45.120503652039325
1739209686.6629071;-45.120503652039325
1739209686.6629097;-33.981070128970906
1739209686.6629124;-33.981070128970906
1739209686.6629148;-38.13080360867914
1739209686.6629174;-38.13080360867914
1739209686.66292;-38.13080360867914
1739209686.6629226;-38.13080360867914
1739209686.662925;-45.120503652039325
1739209686.6629276;-38.13080360867914
1739209686.6629303;-38.13080360867914
1739209686.6629329;-45.120503652039325
1739209686.6629355;-45.120503652039325
1739209686.6629379;-38.13080360867914
1739209686.6629405;-45.120503652039325
1739209686.6629431;-38.13080360867914
1739209686.6629457;-35.57807855764607
1739209686.6629484;-45.120503652039325
1739209686.6629508;-38.13080360867914
1739209686.6629534;-38.13080360867914
1739209686.662956;-45.120503652039325
1739209686.6629586;-45.120503652039325
1739209686.6629612;-38.13080360867914
1739209686.6629636;-45.120503652039325
1739209686.6629663;-38.13080360867914
1739209686.6629689;-45.120503652039325
1739209686.6629715;-45.120503652039325
1739209686.662974;-38.13080360867914
1739209686.6629765;-38.13080360867914
1739209686.6629791;-38.13080360867914
1739209686.6629817;-45.120503652039325
1739209686.6629844;-35.57807855764607
1739209686.662987;-31.141103565318893
1739209686.6629894;-45.120503652039325
1739209686.662992;-38.13080360867914
1739209686.6629946;-33.981070128970906
1739209686.6629972;-38.13080360867914
1739209686.6629999;-45.120503652039325
1739209686.6630023;-45.120503652039325
1739209686.6630049;-45.120503652039325
1739209686.6630075;-38.13080360867914
1739209686.6630101;-38.13080360867914
1739209686.6630127;-45.120503652039325
1739209686.6630151;-45.120503652039325
1739209686.6630177;-38.13080360867914
1739209686.6630204;-38.13080360867914
1739209686.663023;-45.120503652039325
1739209686.6630254;-35.57807855764607
1739209686.663028;-35.57807855764607
1739209686.6630306;-45.120503652039325
1739209686.6630332;-45.120503652039325
1739209686.6630359;-33.981070128970906
1739209686.6630383;-38.13080360867914
1739209686.6630409;-38.13080360867914
1739209686.6630435;-45.120503652039325
1739209686.6630461;-45.120503652039325
