CAN Message; 0x150:03009128293be3f3
Timestamp;Amplitude
1739209879.9797313;-35.57807855764607
1739209879.9797382;-35.57807855764607
1739209879.9797451;-38.13080360867914
1739209879.9797523;-45.120503652039325
1739209879.9797592;-38.13080360867914
1739209879.9797661;-45.120503652039325
1739209879.9797733;-38.13080360867914
1739209879.9797802;-38.13080360867914
1739209879.979787;-38.13080360867914
1739209879.979794;-45.120503652039325
1739209879.9798012;-32.816014438256545
1739209879.979808;-32.816014438256545
1739209879.979815;-45.120503652039325
1739209879.9798222;-45.120503652039325
1739209879.979829;-35.57807855764607
1739209879.979836;-38.13080360867914
1739209879.9798431;-45.120503652039325
1739209879.97985;-45.120503652039325
1739209879.979857;-45.120503652039325
1739209879.979864;-38.13080360867914
1739209879.979871;-45.120503652039325
1739209879.979878;-45.120503652039325
1739209879.9798849;-45.120503652039325
1739209879.979892;-45.120503652039325
1739209879.979899;-45.120503652039325
1739209879.9799058;-45.120503652039325
1739209879.979913;-35.57807855764607
1739209879.97992;-35.57807855764607
1739209879.9799268;-45.120503652039325
1739209879.9799337;-45.120503652039325
1739209879.979941;-38.13080360867914
1739209879.9799478;-28.58837851428586
1739209879.9799547;-45.120503652039325
1739209879.9799619;-38.13080360867914
1739209879.9799688;-38.13080360867914
1739209879.9799757;-38.13080360867914
1739209879.9799829;-45.120503652039325
1739209879.9799898;-45.120503652039325
1739209879.9799967;-45.120503652039325
1739209879.9800036;-33.981070128970956
1739209879.9800107;-38.13080360867914
1739209879.9800177;-45.120503652039325
1739209879.9800246;-45.120503652039325
1739209879.9800317;-45.120503652039325
1739209879.9800386;-35.57807855764607
1739209879.9800456;-45.120503652039325
1739209879.9800525;-35.57807855764607
1739209879.9800596;-26.991370085610722
1739209879.9800665;-38.13080360867914
1739209879.9800735;-38.13080360867914
1739209879.9800806;-35.57807855764607
1739209879.9800875;-33.981070128970906
1739209879.9800944;-45.120503652039325
1739209879.9801016;-45.120503652039325
1739209879.9801085;-38.13080360867914
1739209879.9801154;-45.120503652039325
1739209879.9801223;-45.120503652039325
1739209879.9801295;-45.120503652039325
1739209879.9801364;-45.120503652039325
1739209879.9801433;-45.120503652039325
1739209879.9801505;-35.57807855764607
1739209879.9801574;-38.13080360867914
1739209879.9801643;-33.981070128970906
1739209879.9801714;-45.120503652039325
1739209879.9801784;-35.57807855764607
1739209879.9801853;-35.57807855764607
1739209879.9801922;-45.120503652039325
1739209879.9801993;-38.13080360867914
1739209879.9802063;-38.13080360867914
1739209879.9802132;-38.13080360867914
1739209879.9802203;-38.13080360867914
1739209879.9802272;-31.141103565318915
1739209879.9802341;-35.57807855764607
1739209879.9802413;-32.816014438256545
1739209879.9802482;-38.13080360867914
1739209879.9802551;-33.981070128970906
1739209879.980262;-35.57807855764607
1739209879.9802692;-38.13080360867914
1739209879.980276;-45.120503652039325
1739209879.980283;-31.14110356531892
1739209879.9802902;-38.13080360867914
1739209879.980297;-45.120503652039325
1739209879.980304;-45.120503652039325
1739209879.980311;-45.120503652039325
1739209879.980318;-45.120503652039325
1739209879.980325;-45.120503652039325
1739209879.980332;-33.981070128970906
1739209879.980339;-27.267205301931607
1739209879.980346;-38.13080360867914
1739209879.9803529;-38.13080360867914
1739209879.98036;-32.816014438256545
1739209879.980367;-31.141103565318915
1739209879.9803739;-45.120503652039325
1739209879.9803808;-38.13080360867914
1739209879.980388;-33.981070128970906
1739209879.9803948;-45.120503652039325
1739209879.9804018;-45.120503652039325
1739209879.980409;-33.981070128970906
1739209879.9804158;-45.120503652039325
1739209879.9804227;-33.981070128970906
1739209879.98043;-38.13080360867914
1739209879.9804368;-45.120503652039325
1739209879.9804437;-45.120503652039325
1739209879.9804506;-38.13080360867914
1739209879.9804578;-45.120503652039325
1739209879.9804647;-38.13080360867914
1739209879.9804716;-38.13080360867914
1739209879.9804788;-38.13080360867914
1739209879.9804857;-45.120503652039325
1739209879.9804926;-38.13080360867914
1739209879.9804995;-45.120503652039325
1739209879.9805067;-38.13080360867914
1739209879.9805136;-38.13080360867914
1739209879.9805205;-38.13080360867914
1739209879.9805276;-45.120503652039325
1739209879.9805346;-38.13080360867914
1739209879.9805415;-35.57807855764607
1739209879.9805486;-35.57807855764607
1739209879.9805555;-45.120503652039325
1739209879.9805624;-38.13080360867914
1739209879.9805694;-38.13080360867914
1739209879.9805765;-45.120503652039325
1739209879.9805834;-35.57807855764607
1739209879.9805903;-33.981070128970906
1739209879.9805975;-38.13080360867914
1739209879.9806044;-45.120503652039325
1739209879.9806113;-38.13080360867914
1739209879.9806185;-33.981070128970906
1739209879.9806254;-45.120503652039325
1739209879.9806323;-45.120503652039325
1739209879.9806392;-38.13080360867914
1739209879.9806464;-38.13080360867914
1739209879.9806533;-45.120503652039325
1739209879.9806602;-45.120503652039325
1739209879.9806674;-45.120503652039325
1739209879.9806743;-45.120503652039325
1739209879.9806812;-28.21854285175415
1739209879.980688;-31.141103565318893
1739209879.9806952;-45.120503652039325
1739209879.9807022;-38.13080360867914
1739209879.980709;-30.49652367304973
1739209879.9807162;-32.816014438256545
1739209879.9807231;-45.120503652039325
1739209879.98073;-45.120503652039325
1739209879.9807372;-45.120503652039325
1739209879.9807441;-45.120503652039325
1739209879.980751;-45.120503652039325
1739209879.980758;-45.120503652039325
1739209879.980765;-45.120503652039325
1739209879.980772;-45.120503652039325
1739209879.980779;-45.120503652039325
1739209879.980786;-38.13080360867914
1739209879.980793;-45.120503652039325
1739209879.9808;-45.120503652039325
1739209879.980807;-32.816014438256545
1739209879.980814;-32.816014438256545
1739209879.980821;-33.981070128970906
1739209879.9808278;-45.120503652039325
1739209879.980835;-35.57807855764607
1739209879.9808419;-35.57807855764607
1739209879.9808488;-45.120503652039325
1739209879.980856;-38.13080360867914
1739209879.9808629;-38.13080360867914
1739209879.9808698;-38.13080360867914
1739209879.980877;-45.120503652039325
1739209879.9808838;-35.57807855764607
1739209879.9808908;-38.13080360867914
1739209879.9808977;-45.120503652039325
1739209879.9809048;-45.120503652039325
1739209879.9809117;-45.120503652039325
1739209879.9809186;-38.13080360867914
1739209879.9809258;-45.120503652039325
1739209879.9809327;-33.981070128970906
1739209879.9809396;-45.120503652039325
1739209879.9809465;-45.120503652039325
1739209879.9809537;-45.120503652039325
1739209879.9809606;-31.141103565318893
1739209879.9809675;-35.57807855764607
1739209879.9809747;-38.13080360867914
1739209879.9809816;-45.120503652039325
1739209879.9809885;-38.13080360867914
1739209879.9809957;-38.13080360867914
1739209879.9810026;-45.120503652039325
1739209879.9810095;-35.57807855764607
1739209879.9810164;-45.120503652039325
1739209879.9810236;-45.120503652039325
1739209879.9810305;-32.816014438256545
1739209879.9810374;-45.120503652039325
1739209879.9810445;-45.120503652039325
1739209879.9810514;-45.120503652039325
1739209879.9810584;-32.816014438256545
1739209879.9810655;-38.13080360867914
1739209879.9810724;-31.141103565318893
1739209879.9810793;-32.816014438256545
1739209879.9810863;-35.57807855764607
1739209879.9810934;-35.57807855764607
1739209879.9811003;-45.120503652039325
1739209879.9811072;-33.981070128970906
1739209879.9811144;-33.981070128970906
1739209879.9811213;-45.120503652039325
1739209879.9811282;-38.13080360867914
1739209879.9811354;-45.120503652039325
1739209879.9811423;-38.13080360867914
1739209879.9811492;-33.981070128970906
1739209879.981156;-45.120503652039325
1739209879.9811633;-45.120503652039325
1739209879.9811702;-38.13080360867914
1739209879.981177;-38.13080360867914
1739209879.9811842;-45.120503652039325
1739209879.9811912;-45.120503652039325
1739209879.981198;-38.13080360867914
1739209879.981205;-38.13080360867914
1739209879.9812121;-38.13080360867914
1739209879.981219;-45.120503652039325
1739209879.981226;-45.120503652039325
1739209879.9812331;-38.13080360867914
1739209879.98124;-32.816014438256545
1739209879.981247;-32.816014438256545
1739209879.981254;-38.13080360867914
1739209879.981261;-35.57807855764607
1739209879.981268;-45.120503652039325
1739209879.9812748;-38.13080360867914
1739209879.981282;-38.13080360867914
1739209879.981289;-35.57807855764607
1739209879.9812958;-45.120503652039325
1739209879.981303;-33.981070128970956
1739209879.98131;-38.13080360867914
1739209879.9813168;-38.13080360867914
1739209879.981324;-45.120503652039325
1739209879.9813309;-45.120503652039325
1739209879.9813378;-38.13080360867914
1739209879.9813447;-45.120503652039325
1739209879.9813519;-35.57807855764607
1739209879.9813588;-30.49652367304973
1739209879.9813657;-38.13080360867914
1739209879.9813728;-38.13080360867914
1739209879.9813797;-38.13080360867914
1739209879.9813867;-33.981070128970906
1739209879.9813936;-45.120503652039325
1739209879.9814007;-33.981070128970906
1739209879.9814076;-45.120503652039325
1739209879.9814146;-38.13080360867914
1739209879.9814217;-35.57807855764607
1739209879.9814286;-35.57807855764607
1739209879.9814355;-38.13080360867914
1739209879.9814427;-38.13080360867914
1739209879.9814496;-45.120503652039325
1739209879.9814565;-45.120503652039325
1739209879.9814634;-32.816014438256545
1739209879.9814706;-38.13080360867914
1739209879.9814775;-45.120503652039325
1739209879.9814844;-45.120503652039325
1739209879.9814916;-45.120503652039325
1739209879.9814985;-45.120503652039325
1739209879.9815054;-45.120503652039325
1739209879.9815125;-38.13080360867914
1739209879.9815195;-38.13080360867914
1739209879.9815264;-45.120503652039325
1739209879.9815333;-38.13080360867914
1739209879.9815404;-38.13080360867914
1739209879.9815474;-45.120503652039325
1739209879.9815543;-35.57807855764607
1739209879.9815614;-38.13080360867914
1739209879.9815683;-45.120503652039325
1739209879.9815753;-33.981070128970906
1739209879.9815822;-38.13080360867914
1739209879.9815893;-35.57807855764607
1739209879.9815962;-35.57807855764607
1739209879.9816031;-38.13080360867914
1739209879.9816103;-45.120503652039325
1739209879.9816172;-45.120503652039325
