CAN Message; 0x98:00002df07c4ca8ad
Timestamp;Amplitude
1739209765.178685;-38.13080360867914
1739209765.1786907;-38.13080360867914
1739209765.1786966;-38.13080360867914
1739209765.1787024;-38.13080360867914
1739209765.178708;-38.13080360867914
1739209765.1787138;-45.120503652039325
1739209765.1787195;-45.120503652039325
1739209765.1787252;-35.57807855764607
1739209765.178731;-45.120503652039325
1739209765.1787367;-45.120503652039325
1739209765.1787424;-45.120503652039325
1739209765.1787481;-45.120503652039325
1739209765.1787539;-38.13080360867914
1739209765.1787596;-35.57807855764607
1739209765.1787653;-38.13080360867914
1739209765.1787713;-28.992665084841942
1739209765.178777;-38.13080360867914
1739209765.1787827;-38.13080360867914
1739209765.1787884;-45.120503652039325
1739209765.1787941;-33.981070128970906
1739209765.1787999;-38.13080360867914
1739209765.1788056;-45.120503652039325
1739209765.1788113;-45.120503652039325
1739209765.178817;-38.13080360867914
1739209765.1788228;-45.120503652039325
1739209765.1788285;-33.981070128970906
1739209765.1788342;-31.141103565318893
1739209765.17884;-38.13080360867914
1739209765.178846;-45.120503652039325
1739209765.1788516;-45.120503652039325
1739209765.1788573;-38.13080360867914
1739209765.178863;-35.57807855764607
1739209765.1788688;-45.120503652039325
1739209765.1788745;-45.120503652039325
1739209765.1788802;-38.13080360867914
1739209765.178886;-38.13080360867914
1739209765.1788917;-45.120503652039325
1739209765.1788974;-38.13080360867914
1739209765.178903;-38.13080360867914
1739209765.1789088;-30.49652367304973
1739209765.1789145;-33.981070128970906
1739209765.1789205;-38.13080360867914
1739209765.1789262;-35.57807855764607
1739209765.178932;-35.57807855764607
1739209765.1789377;-45.120503652039325
1739209765.1789434;-45.120503652039325
1739209765.178949;-32.816014438256545
1739209765.1789548;-31.141103565318943
1739209765.1789606;-38.13080360867914
1739209765.1789663;-33.981070128970906
1739209765.178972;-35.57807855764607
1739209765.1789777;-38.13080360867914
1739209765.1789834;-38.13080360867914
1739209765.1789892;-38.13080360867914
1739209765.1789951;-35.57807855764607
1739209765.1790009;-35.57807855764607
1739209765.1790066;-38.13080360867914
1739209765.1790123;-38.13080360867914
1739209765.179018;-38.13080360867914
1739209765.1790237;-38.13080360867914
1739209765.1790295;-45.120503652039325
1739209765.1790352;-38.13080360867914
1739209765.179041;-38.13080360867914
1739209765.1790466;-38.13080360867914
1739209765.1790524;-38.13080360867914
1739209765.179058;-38.13080360867914
1739209765.1790638;-38.13080360867914
1739209765.1790698;-35.57807855764607
1739209765.1790755;-38.13080360867914
