CAN Message; 0x1d3:000042c25575a59d
Timestamp;Amplitude
1739209855.3885548;-45.120503652039325
1739209855.3885598;-45.120503652039325
1739209855.3885646;-45.120503652039325
1739209855.3885694;-45.120503652039325
1739209855.3885741;-45.120503652039325
1739209855.3885791;-30.49652367304973
1739209855.388584;-45.120503652039325
1739209855.3885887;-45.120503652039325
1739209855.3885934;-45.120503652039325
1739209855.3885984;-38.13080360867914
1739209855.3886032;-45.120503652039325
1739209855.388608;-38.13080360867914
1739209855.3886127;-38.13080360867914
1739209855.3886175;-27.267205301931607
1739209855.3886225;-27.267205301931607
1739209855.3886273;-38.13080360867914
1739209855.388632;-45.120503652039325
1739209855.3886368;-33.981070128970906
1739209855.3886418;-45.120503652039325
1739209855.3886466;-38.13080360867914
1739209855.3886514;-45.120503652039325
1739209855.3886561;-38.13080360867914
1739209855.388661;-38.13080360867914
1739209855.388666;-38.13080360867914
1739209855.3886707;-45.120503652039325
1739209855.3886755;-38.13080360867914
1739209855.3886802;-35.57807855764607
1739209855.3886852;-45.120503652039325
1739209855.38869;-45.120503652039325
1739209855.3886948;-38.13080360867914
1739209855.3886995;-35.57807855764607
1739209855.3887043;-38.13080360867914
1739209855.3887093;-33.981070128970906
1739209855.388714;-38.13080360867914
1739209855.3887188;-45.120503652039325
1739209855.3887236;-45.120503652039325
1739209855.3887286;-38.13080360867914
1739209855.3887334;-38.13080360867914
1739209855.3887382;-45.120503652039325
1739209855.388743;-38.13080360867914
1739209855.388748;-38.13080360867914
1739209855.3887527;-35.57807855764607
1739209855.3887575;-38.13080360867914
1739209855.3887622;-45.120503652039325
1739209855.388767;-38.13080360867914
1739209855.388772;-45.120503652039325
1739209855.3887768;-45.120503652039325
1739209855.3887815;-33.981070128970906
1739209855.3887863;-45.120503652039325
1739209855.3887913;-45.120503652039325
1739209855.388796;-33.981070128970906
1739209855.3888009;-33.981070128970906
1739209855.3888056;-45.120503652039325
1739209855.3888104;-38.13080360867914
1739209855.3888154;-35.57807855764607
1739209855.3888202;-38.13080360867914
1739209855.388825;-45.120503652039325
1739209855.3888297;-45.120503652039325
1739209855.3888347;-45.120503652039325
1739209855.3888395;-38.13080360867914
1739209855.3888443;-45.120503652039325
1739209855.388849;-45.120503652039325
1739209855.388854;-45.120503652039325
1739209855.3888588;-45.120503652039325
1739209855.3888636;-45.120503652039325
1739209855.3888683;-38.13080360867914
1739209855.388873;-45.120503652039325
1739209855.388878;-45.120503652039325
1739209855.3888829;-35.57807855764607
1739209855.3888876;-38.13080360867914
1739209855.3888924;-45.120503652039325
1739209855.3888974;-38.13080360867914
1739209855.3889022;-38.13080360867914
1739209855.388907;-45.120503652039325
1739209855.3889117;-45.120503652039325
1739209855.3889165;-38.13080360867914
1739209855.3889215;-45.120503652039325
1739209855.3889263;-38.13080360867914
1739209855.388931;-38.13080360867914
1739209855.3889358;-45.120503652039325
1739209855.3889408;-38.13080360867914
1739209855.3889456;-35.57807855764607
1739209855.3889503;-45.120503652039325
1739209855.388955;-45.120503652039325
1739209855.38896;-35.57807855764607
1739209855.388965;-45.120503652039325
1739209855.3889697;-33.981070128970906
1739209855.3889744;-31.141103565318915
1739209855.3889792;-45.120503652039325
1739209855.3889842;-45.120503652039325
1739209855.388989;-35.57807855764607
1739209855.3889937;-33.981070128970906
1739209855.3889985;-45.120503652039325
1739209855.3890035;-38.13080360867914
1739209855.3890083;-32.816014438256545
1739209855.389013;-38.13080360867914
1739209855.3890178;-38.13080360867914
1739209855.3890226;-38.13080360867914
1739209855.3890276;-38.13080360867914
1739209855.3890324;-45.120503652039325
1739209855.3890371;-45.120503652039325
1739209855.389042;-38.13080360867914
1739209855.389047;-35.57807855764607
1739209855.3890517;-33.981070128970906
1739209855.3890564;-45.120503652039325
1739209855.3890612;-38.13080360867914
1739209855.389066;-29.438486411369333
1739209855.389071;-35.57807855764607
1739209855.3890758;-45.120503652039325
1739209855.3890805;-38.13080360867914
1739209855.3890853;-45.120503652039325
1739209855.3890903;-38.13080360867914
1739209855.389095;-45.120503652039325
1739209855.3890998;-45.120503652039325
1739209855.3891046;-38.13080360867914
1739209855.3891096;-45.120503652039325
1739209855.3891144;-38.13080360867914
1739209855.3891191;-38.13080360867914
1739209855.389124;-45.120503652039325
1739209855.3891287;-45.120503652039325
1739209855.3891337;-38.13080360867914
1739209855.3891385;-38.13080360867914
1739209855.3891432;-35.57807855764607
1739209855.389148;-38.13080360867914
1739209855.389153;-38.13080360867914
1739209855.3891578;-38.13080360867914
1739209855.3891625;-35.57807855764607
1739209855.3891673;-31.141103565318915
1739209855.389172;-35.57807855764607
1739209855.389177;-33.981070128970906
1739209855.3891819;-45.120503652039325
1739209855.3891866;-38.13080360867914
1739209855.3891914;-38.13080360867914
1739209855.3891964;-45.120503652039325
1739209855.3892012;-38.13080360867914
1739209855.389206;-33.981070128970906
1739209855.3892107;-45.120503652039325
1739209855.3892157;-38.13080360867914
1739209855.3892205;-33.981070128970906
1739209855.3892252;-45.120503652039325
1739209855.38923;-38.13080360867914
1739209855.3892348;-38.13080360867914
1739209855.3892398;-35.57807855764607
1739209855.3892446;-28.992665084841942
1739209855.3892493;-45.120503652039325
1739209855.389254;-45.120503652039325
1739209855.389259;-38.13080360867914
1739209855.3892639;-33.981070128970906
1739209855.3892686;-45.120503652039325
1739209855.3892734;-35.57807855764607
1739209855.3892782;-38.13080360867914
1739209855.3892832;-38.13080360867914
1739209855.389288;-38.13080360867914
1739209855.3892927;-45.120503652039325
1739209855.3892975;-45.120503652039325
1739209855.3893025;-45.120503652039325
1739209855.3893073;-45.120503652039325
1739209855.389312;-38.13080360867914
1739209855.3893168;-35.57807855764607
1739209855.3893216;-33.981070128970906
1739209855.3893266;-45.120503652039325
1739209855.3893313;-38.13080360867914
1739209855.389336;-38.13080360867914
1739209855.3893409;-38.13080360867914
1739209855.389346;-45.120503652039325
1739209855.3893507;-45.120503652039325
1739209855.3893554;-45.120503652039325
1739209855.3893602;-38.13080360867914
1739209855.3893652;-38.13080360867914
1739209855.38937;-38.13080360867914
1739209855.3893747;-45.120503652039325
1739209855.3893795;-35.57807855764607
1739209855.3893843;-38.13080360867914
1739209855.3893893;-45.120503652039325
1739209855.389394;-45.120503652039325
1739209855.3893988;-33.981070128970906
1739209855.3894036;-38.13080360867914
1739209855.3894086;-45.120503652039325
1739209855.3894134;-38.13080360867914
1739209855.3894181;-45.120503652039325
1739209855.389423;-45.120503652039325
1739209855.3894277;-38.13080360867914
1739209855.3894327;-38.13080360867914
1739209855.3894374;-30.49652367304973
1739209855.3894422;-38.13080360867914
1739209855.389447;-33.981070128970906
1739209855.389452;-38.13080360867914
1739209855.3894567;-38.13080360867914
1739209855.3894615;-45.120503652039325
1739209855.3894663;-45.120503652039325
1739209855.3894713;-38.13080360867914
1739209855.389476;-33.981070128970906
1739209855.3894808;-38.13080360867914
1739209855.392357;-45.120503652039325
1739209855.392359;-38.13080360867914
1739209855.3923612;-45.120503652039325
1739209855.3923633;-35.57807855764607
1739209855.3923655;-35.57807855764607
1739209855.3923674;-45.120503652039325
1739209855.3923695;-35.57807855764607
1739209855.3923717;-38.13080360867914
1739209855.3923738;-45.120503652039325
1739209855.3923757;-45.120503652039325
1739209855.3923779;-38.13080360867914
1739209855.39238;-38.13080360867914
1739209855.3923821;-33.981070128970906
1739209855.392384;-45.120503652039325
1739209855.3923862;-45.120503652039325
1739209855.3923883;-38.13080360867914
1739209855.3923905;-38.13080360867914
1739209855.3923924;-45.120503652039325
1739209855.3923945;-38.13080360867914
1739209855.3923967;-35.57807855764607
1739209855.3923988;-33.981070128970906
1739209855.3924007;-45.120503652039325
