CAN Message; 0x1bb:000065bcddb97c2c
Timestamp;Amplitude
1739209682.341301;-45.120503652039325
1739209682.3413053;-35.57807855764607
1739209682.3413095;-45.120503652039325
1739209682.3413138;-38.13080360867914
1739209682.341318;-38.13080360867914
1739209682.3413222;-35.57807855764607
1739209682.3413265;-45.120503652039325
1739209682.3413308;-35.57807855764607
1739209682.341335;-38.13080360867914
1739209682.341339;-45.120503652039325
1739209682.3413434;-45.120503652039325
1739209682.3413477;-38.13080360867914
1739209682.341352;-45.120503652039325
1739209682.3413563;-38.13080360867914
1739209682.3413603;-38.13080360867914
1739209682.3413646;-33.981070128970956
1739209682.341369;-38.13080360867914
1739209682.3413732;-38.13080360867914
1739209682.3413775;-35.57807855764607
1739209682.3413815;-38.13080360867914
1739209682.3413858;-45.120503652039325
1739209682.3413901;-45.120503652039325
1739209682.3413944;-38.13080360867914
1739209682.3413987;-31.141103565318915
1739209682.3414028;-32.816014438256545
1739209682.341407;-38.13080360867914
1739209682.3414114;-45.120503652039325
1739209682.3414156;-38.13080360867914
1739209682.34142;-38.13080360867914
1739209682.341424;-45.120503652039325
1739209682.3414283;-38.13080360867914
1739209682.3414326;-33.981070128970956
1739209682.3414369;-45.120503652039325
1739209682.3414412;-33.981070128970906
1739209682.3414452;-38.13080360867914
1739209682.3414495;-45.120503652039325
1739209682.3414538;-38.13080360867914
1739209682.341458;-35.57807855764607
1739209682.3414624;-45.120503652039325
1739209682.3414664;-31.141103565318915
1739209682.3414707;-33.981070128970906
1739209682.341475;-45.120503652039325
1739209682.3414793;-45.120503652039325
1739209682.3414836;-38.13080360867914
1739209682.3414876;-45.120503652039325
1739209682.341492;-38.13080360867914
1739209682.3414962;-38.13080360867914
1739209682.3415005;-45.120503652039325
1739209682.3415048;-38.13080360867914
1739209682.3415089;-35.57807855764607
1739209682.3415132;-45.120503652039325
1739209682.3415174;-45.120503652039325
1739209682.3415217;-38.13080360867914
1739209682.341526;-38.13080360867914
1739209682.34153;-33.981070128970906
1739209682.3415344;-38.13080360867914
1739209682.3415387;-38.13080360867914
1739209682.341543;-35.57807855764607
1739209682.3415473;-38.13080360867914
1739209682.3415513;-45.120503652039325
1739209682.3415556;-45.120503652039325
1739209682.34156;-38.13080360867914
1739209682.3415642;-45.120503652039325
1739209682.3415685;-45.120503652039325
1739209682.3415725;-38.13080360867914
1739209682.3415768;-38.13080360867914
1739209682.341581;-45.120503652039325
1739209682.3415854;-45.120503652039325
1739209682.3415897;-45.120503652039325
1739209682.3415937;-45.120503652039325
1739209682.341598;-45.120503652039325
1739209682.3416023;-45.120503652039325
1739209682.3416066;-45.120503652039325
1739209682.341611;-38.13080360867914
1739209682.341615;-38.13080360867914
1739209682.3416193;-45.120503652039325
1739209682.3416235;-45.120503652039325
1739209682.3416278;-38.13080360867914
1739209682.3416321;-38.13080360867914
1739209682.3416364;-45.120503652039325
1739209682.3416405;-45.120503652039325
1739209682.3416448;-38.13080360867914
1739209682.341649;-45.120503652039325
1739209682.3416533;-38.13080360867914
1739209682.3416576;-35.57807855764607
1739209682.3416617;-38.13080360867914
1739209682.341666;-38.13080360867914
1739209682.3416703;-38.13080360867914
1739209682.3416746;-38.13080360867914
1739209682.3416789;-45.120503652039325
1739209682.341683;-38.13080360867914
1739209682.3416872;-38.13080360867914
1739209682.3416915;-45.120503652039325
1739209682.3416958;-45.120503652039325
1739209682.3417;-33.981070128970906
1739209682.3417041;-38.13080360867914
1739209682.3417084;-33.981070128970906
1739209682.3417127;-45.120503652039325
1739209682.341717;-45.120503652039325
1739209682.3417213;-45.120503652039325
1739209682.3417253;-35.57807855764607
1739209682.3417296;-38.13080360867914
1739209682.341734;-45.120503652039325
1739209682.3417382;-45.120503652039325
1739209682.3417425;-38.13080360867914
1739209682.3417466;-45.120503652039325
1739209682.3417509;-38.13080360867914
1739209682.3417552;-45.120503652039325
1739209682.3417594;-45.120503652039325
1739209682.3417637;-45.120503652039325
1739209682.3417678;-45.120503652039325
1739209682.341772;-45.120503652039325
1739209682.3417764;-38.13080360867914
1739209682.3417807;-45.120503652039325
1739209682.341785;-35.57807855764607
1739209682.341789;-38.13080360867914
1739209682.3417933;-38.13080360867914
1739209682.3417976;-35.57807855764607
1739209682.341802;-38.13080360867914
1739209682.3418062;-45.120503652039325
1739209682.3418102;-45.120503652039325
1739209682.3418145;-45.120503652039325
1739209682.3418188;-45.120503652039325
1739209682.341823;-38.13080360867914
1739209682.3418274;-38.13080360867914
1739209682.3418314;-45.120503652039325
1739209682.3418357;-38.13080360867914
1739209682.34184;-38.13080360867914
1739209682.3418443;-45.120503652039325
1739209682.3418486;-45.120503652039325
1739209682.3418527;-45.120503652039325
1739209682.341857;-45.120503652039325
1739209682.3418612;-38.13080360867914
1739209682.3418655;-45.120503652039325
1739209682.3418698;-38.13080360867914
1739209682.341874;-33.981070128970906
1739209682.3418782;-38.13080360867914
1739209682.3418825;-32.816014438256545
1739209682.3418868;-45.120503652039325
1739209682.341891;-45.120503652039325
1739209682.341895;-38.13080360867914
1739209682.3418994;-33.981070128970906
1739209682.3419037;-38.13080360867914
1739209682.341908;-45.120503652039325
1739209682.3419123;-45.120503652039325
1739209682.3419163;-45.120503652039325
1739209682.3419206;-33.981070128970906
1739209682.341925;-45.120503652039325
1739209682.3419292;-38.13080360867914
1739209682.3419335;-45.120503652039325
1739209682.3419375;-45.120503652039325
1739209682.3419418;-45.120503652039325
1739209682.3419461;-38.13080360867914
1739209682.3419504;-29.438486411369333
1739209682.3419547;-38.13080360867914
1739209682.3419588;-45.120503652039325
1739209682.341963;-45.120503652039325
1739209682.3419673;-32.816014438256545
1739209682.3419716;-38.13080360867914
1739209682.341976;-45.120503652039325
1739209682.34198;-38.13080360867914
1739209682.3419843;-45.120503652039325
1739209682.3419886;-38.13080360867914
1739209682.3419929;-45.120503652039325
1739209682.3419971;-38.13080360867914
1739209682.3420012;-38.13080360867914
1739209682.3420055;-45.120503652039325
1739209682.3420098;-45.120503652039325
1739209682.342014;-45.120503652039325
1739209682.3420184;-31.141103565318893
1739209682.3420224;-38.13080360867914
1739209682.3420267;-45.120503652039325
1739209682.342031;-38.13080360867914
1739209682.3420353;-32.816014438256545
1739209682.3420396;-38.13080360867914
1739209682.3420436;-45.120503652039325
1739209682.342048;-38.13080360867914
1739209682.3420522;-45.120503652039325
1739209682.3420565;-45.120503652039325
1739209682.3420608;-45.120503652039325
1739209682.3420649;-45.120503652039325
1739209682.3420691;-45.120503652039325
1739209682.3420734;-33.981070128970906
1739209682.3420777;-45.120503652039325
1739209682.342082;-38.13080360867914
1739209682.342086;-35.57807855764607
1739209682.3420904;-38.13080360867914
1739209682.3420947;-45.120503652039325
1739209682.342099;-38.13080360867914
1739209682.3421032;-29.438486411369333
1739209682.3421073;-38.13080360867914
1739209682.3421116;-45.120503652039325
1739209682.3421159;-38.13080360867914
1739209682.3421202;-38.13080360867914
1739209682.3421245;-38.13080360867914
1739209682.3421288;-38.13080360867914
1739209682.3421328;-38.13080360867914
1739209682.342137;-45.120503652039325
1739209682.3421414;-45.120503652039325
1739209682.3421457;-45.120503652039325
1739209682.34215;-45.120503652039325
1739209682.342154;-45.120503652039325
1739209682.3421583;-45.120503652039325
1739209682.3421626;-38.13080360867914
1739209682.342167;-45.120503652039325
1739209682.3421712;-32.816014438256545
1739209682.3421752;-45.120503652039325
1739209682.3421795;-45.120503652039325
1739209682.3421838;-45.120503652039325
1739209682.3421881;-31.141103565318915
1739209682.3421924;-33.981070128970906
1739209682.3421965;-45.120503652039325
1739209682.3422008;-38.13080360867914
1739209682.342205;-45.120503652039325
1739209682.3422093;-45.120503652039325
1739209682.3422136;-45.120503652039325
1739209682.3422177;-35.57807855764607
1739209682.342222;-38.13080360867914
1739209682.3422263;-38.13080360867914
1739209682.3422306;-38.13080360867914
1739209682.3422348;-45.120503652039325
1739209682.342239;-45.120503652039325
1739209682.3422432;-45.120503652039325
1739209682.3422475;-33.981070128970906
1739209682.3422518;-45.120503652039325
1739209682.342256;-31.141103565318915
1739209682.3422601;-30.49652367304973
1739209682.3422644;-35.57807855764607
1739209682.3422687;-38.13080360867914
1739209682.342273;-35.57807855764607
1739209682.3422773;-38.13080360867914
1739209682.3422813;-45.120503652039325
1739209682.3422856;-38.13080360867914
1739209682.34229;-38.13080360867914
1739209682.3422942;-38.13080360867914
1739209682.3422985;-38.13080360867914
1739209682.3423026;-45.120503652039325
1739209682.3423069;-45.120503652039325
1739209682.3423111;-38.13080360867914
1739209682.3423154;-38.13080360867914
1739209682.3423197;-45.120503652039325
1739209682.3423238;-38.13080360867914
1739209682.342328;-31.141103565318915
1739209682.3423324;-35.57807855764607
1739209682.3423367;-38.13080360867914
1739209682.342341;-38.13080360867914
1739209682.342345;-33.981070128970906
1739209682.3423493;-45.120503652039325
1739209682.3423536;-38.13080360867914
1739209682.3423579;-38.13080360867914
1739209682.3423622;-32.816014438256545
1739209682.3423662;-38.13080360867914
1739209682.3423705;-45.120503652039325
1739209682.3423748;-45.120503652039325
1739209682.342379;-33.981070128970906
1739209682.3423834;-32.816014438256545
1739209682.3423874;-38.13080360867914
1739209682.3423917;-45.120503652039325
1739209682.342396;-38.13080360867914
1739209682.3424003;-38.13080360867914
1739209682.3424046;-45.120503652039325
1739209682.3424087;-38.13080360867914
1739209682.342413;-35.57807855764607
1739209682.3424172;-38.13080360867914
1739209682.3424215;-38.13080360867914
1739209682.3424258;-38.13080360867914
1739209682.3424299;-45.120503652039325
1739209682.3424342;-38.13080360867914
1739209682.3424385;-45.120503652039325
1739209682.3424428;-45.120503652039325
1739209682.342447;-45.120503652039325
1739209682.342451;-32.816014438256545
1739209682.3424554;-45.120503652039325
1739209682.3424597;-45.120503652039325
1739209682.342464;-33.981070128970906
1739209682.3424683;-45.120503652039325
1739209682.3424723;-45.120503652039325
1739209682.3424766;-45.120503652039325
1739209682.342481;-38.13080360867914
1739209682.3424852;-45.120503652039325
1739209682.3424895;-45.120503652039325
1739209682.3424935;-45.120503652039325
1739209682.3424978;-28.58837851428586
1739209682.342502;-38.13080360867914
1739209682.3425064;-38.13080360867914
1739209682.3425107;-35.57807855764607
1739209682.3425148;-33.981070128970906
1739209682.342519;-38.13080360867914
1739209682.3425233;-38.13080360867914
1739209682.3425276;-35.57807855764607
1739209682.342532;-33.981070128970906
1739209682.342536;-45.120503652039325
1739209682.3425403;-38.13080360867914
1739209682.3425446;-38.13080360867914
1739209682.3425488;-45.120503652039325
1739209682.3425531;-45.120503652039325
1739209682.3425572;-38.13080360867914
1739209682.3425615;-35.57807855764607
1739209682.3425658;-38.13080360867914
1739209682.34257;-45.120503652039325
1739209682.3425744;-38.13080360867914
1739209682.3425784;-32.816014438256545
1739209682.3425827;-33.981070128970906
1739209682.342587;-38.13080360867914
1739209682.3425913;-38.13080360867914
1739209682.3425956;-35.57807855764607
1739209682.3425999;-35.57807855764607
1739209682.342604;-38.13080360867914
1739209682.3426082;-38.13080360867914
1739209682.3426125;-31.141103565318893
1739209682.3426168;-38.13080360867914
1739209682.342621;-45.120503652039325
1739209682.3426251;-45.120503652039325
1739209682.3426294;-38.13080360867914
1739209682.3426337;-35.57807855764607
1739209682.342638;-38.13080360867914
1739209682.3426423;-38.13080360867914
1739209682.3426464;-38.13080360867914
1739209682.3426507;-45.120503652039325
1739209682.342655;-45.120503652039325
1739209682.3426592;-45.120503652039325
1739209682.3426635;-35.57807855764607
1739209682.3426676;-38.13080360867914
1739209682.3426719;-45.120503652039325
1739209682.3426762;-38.13080360867914
1739209682.3426805;-35.57807855764607
1739209682.3426847;-38.13080360867914
1739209682.3426888;-38.13080360867914
1739209682.342693;-38.13080360867914
1739209682.3426974;-38.13080360867914
1739209682.3427017;-38.13080360867914
1739209682.342706;-45.120503652039325
1739209682.34271;-45.120503652039325
1739209682.3427143;-38.13080360867914
1739209682.3427186;-38.13080360867914
1739209682.342723;-45.120503652039325
1739209682.3427272;-38.13080360867914
1739209682.3427312;-38.13080360867914
