CAN Message; 0x1bb:000094707e8d98d3
Timestamp;Amplitude
1739209613.2995293;-38.13080360867914
1739209613.2995353;-38.13080360867914
1739209613.2995412;-45.120503652039325
1739209613.2995472;-45.120503652039325
1739209613.2995534;-45.120503652039325
1739209613.2995594;-38.13080360867914
1739209613.2995653;-33.981070128970906
1739209613.2995713;-45.120503652039325
1739209613.2995775;-45.120503652039325
1739209613.2995834;-38.13080360867914
1739209613.2995894;-45.120503652039325
1739209613.2995956;-29.438486411369333
1739209613.2996016;-32.816014438256545
1739209613.2996075;-38.13080360867914
1739209613.2996135;-35.57807855764607
1739209613.2996197;-38.13080360867914
1739209613.2996256;-45.120503652039325
1739209613.2996316;-45.120503652039325
1739209613.2996376;-38.13080360867914
1739209613.2996438;-45.120503652039325
1739209613.2996497;-45.120503652039325
1739209613.2996557;-38.13080360867914
1739209613.2996619;-38.13080360867914
1739209613.2996678;-45.120503652039325
1739209613.2996738;-38.13080360867914
1739209613.2996798;-45.120503652039325
1739209613.299686;-45.120503652039325
1739209613.299692;-29.438486411369333
1739209613.2996979;-31.141103565318893
1739209613.2997038;-45.120503652039325
1739209613.29971;-38.13080360867914
1739209613.299716;-38.13080360867914
1739209613.299722;-45.120503652039325
1739209613.299728;-38.13080360867914
1739209613.299734;-38.13080360867914
1739209613.29974;-45.120503652039325
1739209613.299746;-45.120503652039325
1739209613.2997522;-45.120503652039325
1739209613.2997582;-45.120503652039325
1739209613.2997642;-45.120503652039325
1739209613.29977;-45.120503652039325
1739209613.2997763;-38.13080360867914
1739209613.2997823;-45.120503652039325
1739209613.2997882;-45.120503652039325
1739209613.2997942;-45.120503652039325
1739209613.2998004;-35.57807855764607
1739209613.2998064;-38.13080360867914
1739209613.2998123;-45.120503652039325
1739209613.2998185;-45.120503652039325
1739209613.2998245;-38.13080360867914
1739209613.2998304;-45.120503652039325
1739209613.2998364;-38.13080360867914
1739209613.2998426;-38.13080360867914
1739209613.2998486;-45.120503652039325
1739209613.2998545;-45.120503652039325
1739209613.2998605;-32.816014438256545
1739209613.2998667;-33.981070128970906
1739209613.2998726;-45.120503652039325
1739209613.2998786;-38.13080360867914
1739209613.2998846;-38.13080360867914
1739209613.2998908;-45.120503652039325
1739209613.2998967;-45.120503652039325
1739209613.2999027;-45.120503652039325
1739209613.2999089;-45.120503652039325
1739209613.2999148;-38.13080360867914
1739209613.2999208;-38.13080360867914
1739209613.2999268;-45.120503652039325
1739209613.299933;-32.816014438256545
1739209613.299939;-30.49652367304973
1739209613.2999449;-45.120503652039325
1739209613.2999508;-45.120503652039325
1739209613.299957;-35.57807855764607
1739209613.299963;-32.816014438256545
1739209613.299969;-45.120503652039325
1739209613.299975;-38.13080360867914
1739209613.299981;-45.120503652039325
1739209613.299987;-45.120503652039325
1739209613.299993;-38.13080360867914
1739209613.2999992;-38.13080360867914
1739209613.3000052;-35.57807855764607
1739209613.3000112;-38.13080360867914
1739209613.300017;-35.57807855764607
1739209613.3000233;-38.13080360867914
1739209613.3000293;-38.13080360867914
1739209613.3000352;-38.13080360867914
1739209613.3000412;-38.13080360867914
1739209613.3000474;-45.120503652039325
1739209613.3000534;-38.13080360867914
1739209613.3000593;-38.13080360867914
1739209613.3000655;-38.13080360867914
1739209613.3000715;-45.120503652039325
1739209613.3000774;-45.120503652039325
1739209613.3000834;-45.120503652039325
1739209613.3000896;-38.13080360867914
1739209613.3000956;-38.13080360867914
1739209613.3001015;-45.120503652039325
1739209613.3001075;-45.120503652039325
1739209613.3001137;-35.57807855764607
1739209613.3001196;-38.13080360867914
1739209613.3001256;-45.120503652039325
1739209613.3001316;-45.120503652039325
1739209613.3001378;-33.981070128970906
1739209613.3001437;-38.13080360867914
1739209613.3001497;-45.120503652039325
1739209613.3001559;-45.120503652039325
1739209613.3001618;-45.120503652039325
1739209613.3001678;-45.120503652039325
1739209613.3001738;-45.120503652039325
1739209613.30018;-38.13080360867914
1739209613.300186;-38.13080360867914
1739209613.3001919;-45.120503652039325
1739209613.3001978;-33.981070128970906
1739209613.300204;-33.981070128970906
1739209613.30021;-45.120503652039325
1739209613.300216;-45.120503652039325
1739209613.300222;-38.13080360867914
1739209613.300228;-33.981070128970906
1739209613.300234;-33.981070128970906
1739209613.30024;-38.13080360867914
1739209613.3002462;-45.120503652039325
1739209613.3002522;-45.120503652039325
1739209613.3002582;-38.13080360867914
1739209613.3002641;-38.13080360867914
1739209613.3002703;-38.13080360867914
1739209613.3002763;-38.13080360867914
1739209613.3002822;-38.13080360867914
1739209613.3002882;-45.120503652039325
1739209613.3002944;-38.13080360867914
1739209613.3003004;-38.13080360867914
1739209613.3003063;-38.13080360867914
1739209613.3003125;-45.120503652039325
1739209613.3003185;-38.13080360867914
1739209613.3003244;-38.13080360867914
1739209613.3003304;-38.13080360867914
1739209613.3003366;-45.120503652039325
1739209613.3003426;-38.13080360867914
1739209613.3003485;-38.13080360867914
1739209613.3003545;-38.13080360867914
1739209613.3003607;-45.120503652039325
1739209613.3003666;-45.120503652039325
1739209613.3003726;-33.981070128970906
1739209613.3003786;-45.120503652039325
1739209613.3003848;-45.120503652039325
1739209613.3003907;-35.57807855764607
1739209613.3003967;-38.13080360867914
1739209613.3004029;-45.120503652039325
1739209613.3004088;-45.120503652039325
1739209613.3004148;-45.120503652039325
1739209613.3004208;-38.13080360867914
1739209613.300427;-27.267205301931607
1739209613.300433;-32.816014438256545
1739209613.300439;-45.120503652039325
1739209613.3004448;-45.120503652039325
1739209613.300451;-45.120503652039325
1739209613.300457;-45.120503652039325
1739209613.300463;-45.120503652039325
1739209613.3004692;-45.120503652039325
1739209613.3004751;-38.13080360867914
1739209613.300481;-38.13080360867914
1739209613.300487;-45.120503652039325
1739209613.3004932;-45.120503652039325
1739209613.3004992;-38.13080360867914
1739209613.3005052;-38.13080360867914
1739209613.3005111;-45.120503652039325
1739209613.3005173;-38.13080360867914
1739209613.3005233;-28.992665084841942
1739209613.3005292;-45.120503652039325
1739209613.3005352;-45.120503652039325
1739209613.3005414;-38.13080360867914
1739209613.3005474;-38.13080360867914
1739209613.3005533;-38.13080360867914
1739209613.3005595;-38.13080360867914
1739209613.3005655;-45.120503652039325
1739209613.3005714;-45.120503652039325
1739209613.3005774;-45.120503652039325
1739209613.3005836;-38.13080360867914
1739209613.3005896;-38.13080360867914
1739209613.3005955;-45.120503652039325
1739209613.3006015;-45.120503652039325
1739209613.3006077;-38.13080360867914
1739209613.3006136;-38.13080360867914
1739209613.3006196;-45.120503652039325
1739209613.3006256;-45.120503652039325
1739209613.3006318;-35.57807855764607
1739209613.3006377;-35.57807855764607
1739209613.3006437;-45.120503652039325
1739209613.30065;-38.13080360867914
1739209613.3006558;-38.13080360867914
1739209613.3006618;-38.13080360867914
1739209613.3006678;-30.49652367304973
1739209613.300674;-38.13080360867914
1739209613.30068;-38.13080360867914
1739209613.300686;-38.13080360867914
1739209613.3006918;-33.981070128970906
1739209613.300698;-38.13080360867914
1739209613.300704;-38.13080360867914
1739209613.30071;-38.13080360867914
1739209613.3007162;-38.13080360867914
1739209613.3007221;-45.120503652039325
1739209613.300728;-38.13080360867914
1739209613.300734;-45.120503652039325
1739209613.3007402;-45.120503652039325
1739209613.3007462;-45.120503652039325
1739209613.3007522;-45.120503652039325
1739209613.3007581;-45.120503652039325
1739209613.3007643;-30.49652367304973
1739209613.3007703;-32.816014438256545
1739209613.3007762;-45.120503652039325
1739209613.3007822;-45.120503652039325
1739209613.3007884;-38.13080360867914
1739209613.3007944;-45.120503652039325
1739209613.3008003;-38.13080360867914
1739209613.3008065;-35.57807855764607
1739209613.3008125;-45.120503652039325
1739209613.3008184;-45.120503652039325
1739209613.3008244;-35.57807855764607
1739209613.3008306;-38.13080360867914
1739209613.3008366;-38.13080360867914
1739209613.3008425;-35.57807855764607
1739209613.3008485;-45.120503652039325
1739209613.3008547;-45.120503652039325
1739209613.3008606;-45.120503652039325
1739209613.3008666;-45.120503652039325
1739209613.3008728;-38.13080360867914
1739209613.3008788;-38.13080360867914
1739209613.3008847;-45.120503652039325
1739209613.3008907;-38.13080360867914
1739209613.300897;-33.981070128970906
1739209613.3009028;-45.120503652039325
1739209613.3009088;-35.57807855764607
1739209613.3009148;-38.13080360867914
1739209613.300921;-33.981070128970906
1739209613.300927;-45.120503652039325
1739209613.300933;-35.57807855764607
1739209613.3009388;-33.981070128970906
1739209613.300945;-38.13080360867914
1739209613.300951;-35.57807855764607
1739209613.300957;-45.120503652039325
1739209613.3009632;-45.120503652039325
1739209613.3009691;-45.120503652039325
1739209613.300975;-45.120503652039325
1739209613.300981;-45.120503652039325
1739209613.3009872;-38.13080360867914
1739209613.3009932;-38.13080360867914
1739209613.3009992;-45.120503652039325
1739209613.3010051;-38.13080360867914
1739209613.3010113;-33.981070128970906
1739209613.3010173;-45.120503652039325
1739209613.3010232;-45.120503652039325
1739209613.3010292;-45.120503652039325
1739209613.3010354;-45.120503652039325
1739209613.3010414;-38.13080360867914
1739209613.3010473;-45.120503652039325
1739209613.3010535;-35.57807855764607
1739209613.3010595;-38.13080360867914
1739209613.3010654;-45.120503652039325
1739209613.3010714;-45.120503652039325
1739209613.3010776;-38.13080360867914
1739209613.3010836;-35.57807855764607
1739209613.3010895;-45.120503652039325
1739209613.3010955;-38.13080360867914
1739209613.3011017;-38.13080360867914
1739209613.3011076;-28.992665084841942
1739209613.3011136;-38.13080360867914
1739209613.3011198;-45.120503652039325
1739209613.3011258;-38.13080360867914
1739209613.3011317;-38.13080360867914
1739209613.3011377;-38.13080360867914
1739209613.301144;-45.120503652039325
1739209613.3011498;-45.120503652039325
1739209613.3011558;-45.120503652039325
1739209613.3011618;-38.13080360867914
1739209613.301168;-33.981070128970906
1739209613.301174;-45.120503652039325
1739209613.30118;-45.120503652039325
1739209613.3011858;-35.57807855764607
1739209613.301192;-35.57807855764607
1739209613.301198;-45.120503652039325
1739209613.301204;-38.13080360867914
1739209613.3012102;-38.13080360867914
1739209613.3012161;-33.981070128970906
1739209613.301222;-45.120503652039325
1739209613.301228;-45.120503652039325
1739209613.3012342;-35.57807855764607
1739209613.3012402;-32.816014438256545
1739209613.3012462;-45.120503652039325
1739209613.3012521;-33.981070128970906
1739209613.3012583;-33.981070128970906
1739209613.3012643;-35.57807855764607
1739209613.3012702;-38.13080360867914
1739209613.3012762;-45.120503652039325
1739209613.3012824;-38.13080360867914
1739209613.3012884;-35.57807855764607
1739209613.3012943;-35.57807855764607
1739209613.3013005;-31.141103565318915
1739209613.3013065;-38.13080360867914
1739209613.3013124;-38.13080360867914
1739209613.3013184;-38.13080360867914
1739209613.3013246;-38.13080360867914
1739209613.3013306;-45.120503652039325
1739209613.3013365;-45.120503652039325
1739209613.3013425;-33.981070128970906
1739209613.3013487;-27.267205301931607
1739209613.3013546;-32.816014438256545
1739209613.3013606;-45.120503652039325
1739209613.3013668;-35.57807855764607
1739209613.3013728;-38.13080360867914
1739209613.3013787;-38.13080360867914
1739209613.3013847;-38.13080360867914
1739209613.301391;-38.13080360867914
1739209613.3013968;-38.13080360867914
1739209613.3014028;-38.13080360867914
1739209613.3014088;-38.13080360867914
1739209613.301415;-33.981070128970906
1739209613.301421;-38.13080360867914
1739209613.301427;-45.120503652039325
1739209613.3014328;-45.120503652039325
1739209613.301439;-38.13080360867914
1739209613.301445;-38.13080360867914
1739209613.301451;-33.981070128970906
1739209613.3014572;-33.981070128970906
1739209613.3014631;-45.120503652039325
1739209613.301469;-38.13080360867914
1739209613.301475;-38.13080360867914
1739209613.3014812;-38.13080360867914
1739209613.3014872;-45.120503652039325
1739209613.3014932;-38.13080360867914
1739209613.3014991;-32.816014438256545
1739209613.3015053;-35.57807855764607
1739209613.3015113;-45.120503652039325
1739209613.3015172;-45.120503652039325
1739209613.3015234;-35.57807855764607
1739209613.3015294;-35.57807855764607
1739209613.3015354;-45.120503652039325
1739209613.3015413;-33.981070128970906
1739209613.3015475;-27.267205301931607
1739209613.3015535;-45.120503652039325
1739209613.3015594;-45.120503652039325
1739209613.3015654;-33.981070128970906
1739209613.3015716;-38.13080360867914
1739209613.3015776;-45.120503652039325
1739209613.3015835;-45.120503652039325
1739209613.3015895;-38.13080360867914
1739209613.3015957;-38.13080360867914
1739209613.3016016;-38.13080360867914
1739209613.3016076;-45.120503652039325
1739209613.3016138;-45.120503652039325
1739209613.3016198;-38.13080360867914
1739209613.3016257;-38.13080360867914
1739209613.3016317;-45.120503652039325
1739209613.301638;-45.120503652039325
1739209613.3016438;-33.981070128970906
1739209613.3016498;-45.120503652039325
1739209613.3016558;-45.120503652039325
1739209613.301662;-45.120503652039325
1739209613.301668;-45.120503652039325
1739209613.301674;-45.120503652039325
1739209613.3016798;-45.120503652039325
1739209613.301686;-33.981070128970906
1739209613.301692;-38.13080360867914
1739209613.301698;-45.120503652039325
1739209613.3017042;-38.13080360867914
1739209613.3017101;-38.13080360867914
1739209613.301716;-38.13080360867914
1739209613.301722;-35.57807855764607
1739209613.3017282;-38.13080360867914
1739209613.3017342;-45.120503652039325
1739209613.3017402;-38.13080360867914
1739209613.3017461;-38.13080360867914
1739209613.3017523;-38.13080360867914
1739209613.3017583;-45.120503652039325
1739209613.3017642;-38.13080360867914
1739209613.3017704;-32.816014438256545
1739209613.3017764;-45.120503652039325
1739209613.3017824;-45.120503652039325
1739209613.3017883;-33.981070128970906
1739209613.3017945;-45.120503652039325
1739209613.3018005;-45.120503652039325
1739209613.3018064;-38.13080360867914
1739209613.3018124;-38.13080360867914
1739209613.3018186;-38.13080360867914
1739209613.3018246;-38.13080360867914
1739209613.3018305;-45.120503652039325
1739209613.3018365;-38.13080360867914
1739209613.3018427;-33.981070128970906
1739209613.3018486;-45.120503652039325
1739209613.3018546;-45.120503652039325
1739209613.3018608;-38.13080360867914
1739209613.3018668;-45.120503652039325
1739209613.3018727;-45.120503652039325
1739209613.3018787;-45.120503652039325
1739209613.301885;-38.13080360867914
1739209613.3018909;-32.816014438256545
1739209613.3018968;-45.120503652039325
1739209613.3019028;-45.120503652039325
1739209613.301909;-45.120503652039325
1739209613.301915;-38.13080360867914
1739209613.301921;-38.13080360867914
1739209613.3019269;-38.13080360867914
1739209613.301933;-45.120503652039325
1739209613.301939;-45.120503652039325
1739209613.301945;-33.981070128970906
1739209613.3019512;-35.57807855764607
1739209613.3019571;-38.13080360867914
1739209613.301963;-45.120503652039325
1739209613.301969;-45.120503652039325
1739209613.3019753;-45.120503652039325
1739209613.3019812;-38.13080360867914
1739209613.3019872;-35.57807855764607
1739209613.3019931;-38.13080360867914
1739209613.3019993;-38.13080360867914
1739209613.3020053;-45.120503652039325
1739209613.3020113;-38.13080360867914
1739209613.3020175;-38.13080360867914
1739209613.3020234;-33.981070128970906
1739209613.3020294;-45.120503652039325
1739209613.3020353;-38.13080360867914
1739209613.3020415;-45.120503652039325
1739209613.3020475;-45.120503652039325
1739209613.3020535;-38.13080360867914
1739209613.3020594;-45.120503652039325
1739209613.3020656;-45.120503652039325
1739209613.3020716;-45.120503652039325
