CAN Message; 0x150:060074f17144f0e4
Timestamp;Amplitude
1739209868.4260547;-45.120503652039325
1739209868.4260578;-38.13080360867914
1739209868.426061;-38.13080360867914
1739209868.426064;-35.57807855764607
1739209868.426067;-45.120503652039325
1739209868.4260702;-38.13080360867914
1739209868.4260733;-38.13080360867914
1739209868.4260762;-45.120503652039325
1739209868.4260793;-38.13080360867914
1739209868.4260824;-35.57807855764607
1739209868.4260855;-38.13080360867914
1739209868.4260886;-45.120503652039325
1739209868.4260917;-33.981070128970906
1739209868.4260948;-33.981070128970906
1739209868.4260979;-30.49652367304973
1739209868.4261007;-45.120503652039325
1739209868.4261038;-38.13080360867914
1739209868.426107;-35.57807855764607
1739209868.42611;-45.120503652039325
1739209868.4261131;-45.120503652039325
1739209868.4261162;-38.13080360867914
1739209868.4261193;-38.13080360867914
1739209868.4261224;-27.267205301931607
1739209868.4261255;-38.13080360867914
1739209868.4261284;-45.120503652039325
1739209868.4261315;-45.120503652039325
1739209868.4261346;-33.981070128970906
1739209868.4261377;-38.13080360867914
1739209868.4261408;-45.120503652039325
1739209868.426144;-45.120503652039325
1739209868.426147;-35.57807855764607
1739209868.42615;-45.120503652039325
1739209868.426153;-45.120503652039325
1739209868.426156;-45.120503652039325
1739209868.4261591;-45.120503652039325
1739209868.4261622;-45.120503652039325
1739209868.4261653;-45.120503652039325
1739209868.4261684;-38.13080360867914
1739209868.4261715;-27.267205301931607
1739209868.4261746;-38.13080360867914
1739209868.4261777;-38.13080360867914
1739209868.4261806;-38.13080360867914
1739209868.4261837;-38.13080360867914
1739209868.4261868;-45.120503652039325
1739209868.42619;-38.13080360867914
1739209868.426193;-38.13080360867914
1739209868.426196;-32.81601443825658
1739209868.4261992;-45.120503652039325
1739209868.4262023;-45.120503652039325
1739209868.4262052;-45.120503652039325
1739209868.4262083;-45.120503652039325
1739209868.4262114;-38.13080360867914
1739209868.4262145;-45.120503652039325
1739209868.4262176;-38.13080360867914
1739209868.4262207;-27.267205301931607
1739209868.4262238;-38.13080360867914
1739209868.4262269;-45.120503652039325
1739209868.42623;-45.120503652039325
1739209868.4262328;-38.13080360867914
1739209868.426236;-29.438486411369333
1739209868.426239;-26.487275050834725
1739209868.426242;-33.981070128970956
1739209868.4262452;-31.141103565318943
1739209868.4262483;-30.49652367304976
1739209868.4262514;-30.49652367304973
1739209868.4262545;-30.49652367304973
1739209868.4262576;-45.120503652039325
1739209868.4262605;-30.49652367304973
1739209868.4262636;-38.13080360867914
1739209868.4262667;-31.141103565318915
1739209868.4262698;-31.141103565318915
1739209868.4262729;-32.816014438256545
1739209868.426276;-23.273589343863303
1739209868.426279;-27.267205301931607
1739209868.4262822;-28.992665084841942
1739209868.426285;-31.141103565318915
1739209868.4262881;-30.49652367304973
