CAN Message; 0x1bb:0000c2d36c42cb0e
Timestamp;Amplitude
1739209703.932692;-28.992665084841942
1739209703.9327016;-38.13080360867914
1739209703.9327114;-45.120503652039325
1739209703.932721;-45.120503652039325
1739209703.9327307;-30.49652367304973
1739209703.9327402;-38.13080360867914
1739209703.93275;-45.120503652039325
1739209703.9327595;-35.57807855764607
1739209703.9327693;-33.981070128970956
1739209703.9327788;-45.120503652039325
1739209703.9327886;-45.120503652039325
1739209703.9327981;-45.120503652039325
1739209703.932808;-45.120503652039325
1739209703.9328175;-45.120503652039325
1739209703.9328272;-45.120503652039325
1739209703.9328368;-38.13080360867914
1739209703.9328465;-28.992665084841942
1739209703.932856;-33.981070128970906
1739209703.9328659;-38.13080360867914
1739209703.9328754;-38.13080360867914
1739209703.9328852;-45.120503652039325
1739209703.9328947;-33.981070128970906
1739209703.9329042;-45.120503652039325
1739209703.932914;-38.13080360867914
1739209703.9329236;-45.120503652039325
1739209703.9329333;-33.981070128970906
1739209703.9329429;-32.816014438256545
1739209703.9329526;-45.120503652039325
1739209703.9329622;-45.120503652039325
1739209703.932972;-38.13080360867914
1739209703.9329815;-45.120503652039325
1739209703.9329913;-45.120503652039325
1739209703.9330008;-45.120503652039325
1739209703.9330106;-45.120503652039325
1739209703.93302;-45.120503652039325
1739209703.93303;-33.981070128970906
1739209703.9330394;-45.120503652039325
1739209703.9330492;-45.120503652039325
1739209703.9330587;-38.13080360867914
1739209703.9330685;-45.120503652039325
1739209703.933078;-45.120503652039325
1739209703.9330878;-38.13080360867914
1739209703.9330974;-38.13080360867914
1739209703.9331071;-45.120503652039325
1739209703.9331167;-38.13080360867914
1739209703.9331264;-32.816014438256545
1739209703.933136;-38.13080360867914
1739209703.9331458;-38.13080360867914
1739209703.9331553;-38.13080360867914
1739209703.933165;-38.13080360867914
1739209703.9331746;-38.13080360867914
1739209703.9331844;-45.120503652039325
1739209703.933194;-45.120503652039325
1739209703.9332037;-45.120503652039325
1739209703.9332132;-38.13080360867914
1739209703.9332228;-38.13080360867914
1739209703.9332325;-38.13080360867914
1739209703.933242;-38.13080360867914
1739209703.9332519;-45.120503652039325
1739209703.9332614;-38.13080360867914
1739209703.9332712;-45.120503652039325
1739209703.9332807;-35.57807855764607
1739209703.9332905;-45.120503652039325
1739209703.9333;-45.120503652039325
1739209703.9333098;-45.120503652039325
1739209703.9333193;-45.120503652039325
1739209703.933329;-45.120503652039325
1739209703.9333386;-38.13080360867914
1739209703.9333484;-38.13080360867914
1739209703.933358;-45.120503652039325
1739209703.9333677;-45.120503652039325
1739209703.9333773;-45.120503652039325
1739209703.933387;-38.13080360867914
1739209703.9333966;-38.13080360867914
1739209703.9334064;-38.13080360867914
1739209703.933416;-45.120503652039325
1739209703.9334257;-45.120503652039325
1739209703.9334352;-38.13080360867914
1739209703.933445;-45.120503652039325
1739209703.9334545;-45.120503652039325
1739209703.9334643;-45.120503652039325
1739209703.9334738;-32.816014438256545
1739209703.9334836;-35.57807855764607
1739209703.9334931;-45.120503652039325
1739209703.933503;-45.120503652039325
1739209703.9335124;-38.13080360867914
1739209703.9335222;-35.57807855764607
1739209703.9335318;-38.13080360867914
1739209703.9335415;-38.13080360867914
1739209703.933551;-45.120503652039325
1739209703.9335606;-38.13080360867914
1739209703.9335704;-38.13080360867914
1739209703.93358;-45.120503652039325
1739209703.9335897;-33.981070128970906
1739209703.9335992;-38.13080360867914
1739209703.933609;-35.57807855764607
1739209703.9336185;-45.120503652039325
1739209703.9336283;-32.816014438256545
1739209703.9336379;-29.438486411369333
1739209703.9336476;-45.120503652039325
1739209703.9336572;-45.120503652039325
1739209703.933667;-38.13080360867914
1739209703.9336765;-32.816014438256545
1739209703.9336863;-38.13080360867914
1739209703.9336958;-45.120503652039325
1739209703.9337056;-45.120503652039325
1739209703.933715;-38.13080360867914
1739209703.9337249;-33.981070128970906
1739209703.9337344;-38.13080360867914
1739209703.9337442;-38.13080360867914
1739209703.9337537;-45.120503652039325
1739209703.9337635;-45.120503652039325
1739209703.933773;-45.120503652039325
1739209703.9337828;-45.120503652039325
1739209703.9337924;-45.120503652039325
1739209703.9338021;-38.13080360867914
1739209703.9338117;-38.13080360867914
1739209703.9338214;-32.816014438256545
1739209703.933831;-45.120503652039325
1739209703.9338408;-38.13080360867914
1739209703.9338503;-45.120503652039325
1739209703.93386;-32.816014438256545
1739209703.9338696;-29.438486411369333
1739209703.9338794;-38.13080360867914
1739209703.933889;-35.57807855764607
1739209703.9338984;-38.13080360867914
1739209703.9339082;-35.57807855764607
1739209703.9339178;-38.13080360867914
1739209703.9339275;-32.816014438256545
1739209703.933937;-45.120503652039325
1739209703.9339468;-35.57807855764607
1739209703.9339564;-38.13080360867914
1739209703.9339662;-45.120503652039325
1739209703.9339757;-45.120503652039325
1739209703.9339855;-45.120503652039325
1739209703.933995;-38.13080360867914
1739209703.9340048;-45.120503652039325
1739209703.9340143;-38.13080360867914
1739209703.934024;-32.816014438256545
1739209703.9340336;-45.120503652039325
1739209703.9340434;-38.13080360867914
1739209703.934053;-38.13080360867914
1739209703.9340627;-45.120503652039325
1739209703.9340723;-33.981070128970906
1739209703.934082;-45.120503652039325
1739209703.9340916;-38.13080360867914
1739209703.9341013;-35.57807855764607
1739209703.9341109;-38.13080360867914
1739209703.9341207;-45.120503652039325
1739209703.9341302;-38.13080360867914
1739209703.93414;-32.816014438256545
1739209703.9341495;-45.120503652039325
1739209703.9341593;-38.13080360867914
1739209703.9341688;-45.120503652039325
1739209703.9341786;-45.120503652039325
1739209703.9341881;-38.13080360867914
1739209703.934198;-45.120503652039325
1739209703.9342074;-38.13080360867914
1739209703.934217;-45.120503652039325
1739209703.9342268;-38.13080360867914
1739209703.9342363;-45.120503652039325
1739209703.934246;-32.816014438256545
1739209703.9342556;-26.991370085610736
1739209703.9342654;-45.120503652039325
1739209703.934275;-45.120503652039325
1739209703.9342847;-38.13080360867914
1739209703.9342942;-35.57807855764607
1739209703.934304;-38.13080360867914
1739209703.9343135;-45.120503652039325
1739209703.9343233;-45.120503652039325
1739209703.9343328;-33.981070128970956
1739209703.9343426;-35.57807855764607
1739209703.9343522;-38.13080360867914
1739209703.934362;-45.120503652039325
1739209703.9343715;-38.13080360867914
1739209703.9343812;-38.13080360867914
1739209703.9343908;-45.120503652039325
1739209703.9344006;-35.57807855764607
1739209703.93441;-32.816014438256545
1739209703.9344199;-35.57807855764607
1739209703.9344294;-38.13080360867914
1739209703.9344392;-35.57807855764607
1739209703.9344487;-38.13080360867914
1739209703.9344585;-38.13080360867914
1739209703.934468;-38.13080360867914
1739209703.9344778;-35.57807855764607
1739209703.9344873;-31.141103565318893
1739209703.934497;-45.120503652039325
1739209703.9345067;-45.120503652039325
1739209703.9345164;-35.57807855764607
1739209703.934526;-32.816014438256545
1739209703.9345357;-38.13080360867914
1739209703.9345453;-45.120503652039325
1739209703.9345548;-33.981070128970906
1739209703.9345646;-45.120503652039325
1739209703.9345741;-38.13080360867914
1739209703.934584;-45.120503652039325
1739209703.9345934;-45.120503652039325
1739209703.9346032;-45.120503652039325
1739209703.9346128;-45.120503652039325
1739209703.9346225;-45.120503652039325
1739209703.934632;-33.981070128970906
1739209703.9346418;-30.49652367304973
1739209703.9346514;-45.120503652039325
1739209703.9346611;-45.120503652039325
1739209703.9346707;-38.13080360867914
1739209703.9346805;-32.816014438256545
1739209703.93469;-45.120503652039325
1739209703.9346998;-45.120503652039325
1739209703.9347093;-35.57807855764607
