CAN Message; 0x150:04008a6e797ebd91
Timestamp;Amplitude
1739209704.3422742;-45.120503652039325
1739209704.3422778;-45.120503652039325
1739209704.3422816;-38.13080360867914
1739209704.3422852;-38.13080360867914
1739209704.3422887;-38.13080360867914
1739209704.3422925;-38.13080360867914
1739209704.3422961;-45.120503652039325
1739209704.3422997;-45.120503652039325
1739209704.3423035;-28.58837851428586
1739209704.342307;-32.816014438256545
1739209704.3423107;-45.120503652039325
1739209704.3423145;-45.120503652039325
1739209704.342318;-33.981070128970906
1739209704.3423219;-38.13080360867914
1739209704.3423254;-38.13080360867914
1739209704.342329;-38.13080360867914
1739209704.3423328;-45.120503652039325
1739209704.3423364;-45.120503652039325
1739209704.34234;-45.120503652039325
1739209704.3423438;-45.120503652039325
1739209704.3423474;-45.120503652039325
1739209704.342351;-45.120503652039325
1739209704.3423548;-45.120503652039325
1739209704.3423584;-45.120503652039325
1739209704.342362;-45.120503652039325
1739209704.3423657;-38.13080360867914
1739209704.3423693;-45.120503652039325
1739209704.342373;-45.120503652039325
1739209704.3423767;-38.13080360867914
1739209704.3423803;-35.57807855764607
1739209704.342384;-35.57807855764607
1739209704.3423877;-38.13080360867914
1739209704.3423913;-32.816014438256545
1739209704.342395;-32.816014438256545
1739209704.3423986;-45.120503652039325
1739209704.3424022;-45.120503652039325
1739209704.342406;-38.13080360867914
1739209704.3424096;-45.120503652039325
1739209704.3424132;-45.120503652039325
1739209704.342417;-45.120503652039325
1739209704.3424206;-33.981070128970956
1739209704.3424242;-45.120503652039325
1739209704.342428;-45.120503652039325
1739209704.3424315;-45.120503652039325
1739209704.3424354;-45.120503652039325
1739209704.342439;-38.13080360867914
1739209704.3424425;-45.120503652039325
1739209704.3424463;-45.120503652039325
1739209704.34245;-30.49652367304973
1739209704.3424535;-32.816014438256545
1739209704.3424573;-45.120503652039325
1739209704.3424609;-45.120503652039325
1739209704.3424644;-33.981070128970906
1739209704.3424683;-33.981070128970906
1739209704.3424718;-45.120503652039325
1739209704.3424754;-45.120503652039325
1739209704.3424792;-29.438486411369333
1739209704.3424828;-31.141103565318893
1739209704.3424864;-45.120503652039325
1739209704.3424902;-45.120503652039325
1739209704.3424938;-35.57807855764607
1739209704.3424976;-35.57807855764607
1739209704.3425012;-45.120503652039325
1739209704.3425047;-38.13080360867914
1739209704.3425086;-45.120503652039325
1739209704.3425121;-45.120503652039325
1739209704.3425157;-45.120503652039325
1739209704.3425195;-38.13080360867914
1739209704.342523;-45.120503652039325
1739209704.3425267;-38.13080360867914
1739209704.3425305;-35.57807855764607
1739209704.342534;-38.13080360867914
1739209704.3425376;-32.816014438256545
1739209704.3425415;-32.816014438256545
1739209704.342545;-45.120503652039325
1739209704.3425488;-38.13080360867914
1739209704.3425524;-45.120503652039325
1739209704.342556;-45.120503652039325
1739209704.3425598;-38.13080360867914
1739209704.3425634;-35.57807855764607
1739209704.342567;-45.120503652039325
1739209704.3425708;-45.120503652039325
1739209704.3425744;-38.13080360867914
1739209704.342578;-38.13080360867914
1739209704.3425817;-38.13080360867914
1739209704.3425853;-35.57807855764607
1739209704.342589;-38.13080360867914
1739209704.3425927;-45.120503652039325
1739209704.3425963;-45.120503652039325
1739209704.3425999;-45.120503652039325
1739209704.3426037;-38.13080360867914
1739209704.3426073;-45.120503652039325
1739209704.342611;-45.120503652039325
1739209704.3426147;-38.13080360867914
1739209704.3426182;-35.57807855764607
1739209704.342622;-38.13080360867914
1739209704.3426256;-32.816014438256545
1739209704.3426292;-30.49652367304973
1739209704.342633;-45.120503652039325
1739209704.3426366;-45.120503652039325
1739209704.3426402;-38.13080360867914
1739209704.342644;-38.13080360867914
1739209704.3426476;-45.120503652039325
1739209704.3426511;-45.120503652039325
1739209704.342655;-33.981070128970906
1739209704.3426585;-38.13080360867914
1739209704.342662;-38.13080360867914
1739209704.342666;-45.120503652039325
1739209704.3426695;-45.120503652039325
1739209704.3426733;-38.13080360867914
1739209704.3426769;-45.120503652039325
1739209704.3426805;-45.120503652039325
1739209704.3426843;-38.13080360867914
1739209704.3426878;-35.57807855764607
1739209704.3426914;-45.120503652039325
1739209704.3426952;-38.13080360867914
1739209704.3426988;-33.981070128970906
1739209704.3427024;-45.120503652039325
1739209704.3427062;-38.13080360867914
1739209704.3427098;-35.57807855764607
1739209704.3427134;-45.120503652039325
1739209704.3427172;-33.981070128970906
1739209704.3427207;-38.13080360867914
1739209704.3427246;-38.13080360867914
1739209704.3427281;-45.120503652039325
1739209704.3427317;-38.13080360867914
1739209704.3427355;-38.13080360867914
1739209704.342739;-33.981070128970906
1739209704.3427427;-38.13080360867914
1739209704.3427465;-38.13080360867914
1739209704.34275;-38.13080360867914
1739209704.3427536;-45.120503652039325
1739209704.3427575;-35.57807855764607
1739209704.342761;-38.13080360867914
1739209704.3427646;-38.13080360867914
1739209704.3427684;-38.13080360867914
1739209704.342772;-38.13080360867914
1739209704.3427756;-38.13080360867914
1739209704.3427794;-38.13080360867914
1739209704.342783;-45.120503652039325
1739209704.3427868;-45.120503652039325
1739209704.3427904;-45.120503652039325
1739209704.342794;-45.120503652039325
1739209704.3427978;-45.120503652039325
1739209704.3428013;-45.120503652039325
1739209704.342805;-38.13080360867914
1739209704.3428087;-38.13080360867914
1739209704.3428123;-45.120503652039325
1739209704.3428159;-45.120503652039325
1739209704.3428197;-33.981070128970906
1739209704.3428233;-38.13080360867914
1739209704.3428268;-45.120503652039325
1739209704.3428307;-38.13080360867914
1739209704.3428342;-38.13080360867914
1739209704.342838;-38.13080360867914
1739209704.3428416;-38.13080360867914
1739209704.3428452;-38.13080360867914
1739209704.342849;-38.13080360867914
1739209704.3428526;-45.120503652039325
1739209704.3428562;-38.13080360867914
1739209704.34286;-38.13080360867914
1739209704.3428636;-38.13080360867914
1739209704.3428671;-38.13080360867914
1739209704.342871;-45.120503652039325
1739209704.3428745;-45.120503652039325
1739209704.342878;-38.13080360867914
1739209704.342882;-38.13080360867914
1739209704.3428855;-45.120503652039325
1739209704.342889;-38.13080360867914
1739209704.342893;-33.981070128970906
1739209704.3428965;-31.14110356531892
1739209704.3429003;-45.120503652039325
1739209704.3429039;-45.120503652039325
1739209704.3429074;-45.120503652039325
1739209704.3429112;-45.120503652039325
1739209704.3429148;-38.13080360867914
1739209704.3429184;-45.120503652039325
1739209704.3429222;-33.981070128970906
1739209704.3429258;-27.267205301931607
1739209704.3429294;-38.13080360867914
1739209704.3429332;-45.120503652039325
1739209704.3429368;-38.13080360867914
1739209704.3429403;-32.816014438256545
1739209704.3429441;-38.13080360867914
1739209704.3429477;-38.13080360867914
1739209704.3429513;-45.120503652039325
1739209704.342955;-31.14110356531892
1739209704.3429587;-45.120503652039325
1739209704.3429625;-45.120503652039325
1739209704.342966;-45.120503652039325
1739209704.3429697;-38.13080360867914
1739209704.3429735;-38.13080360867914
1739209704.342977;-45.120503652039325
1739209704.3429806;-38.13080360867914
1739209704.3429844;-31.141103565318915
1739209704.342988;-38.13080360867914
1739209704.3429916;-45.120503652039325
1739209704.3429954;-38.13080360867914
1739209704.342999;-38.13080360867914
1739209704.3430026;-45.120503652039325
1739209704.3430064;-38.13080360867914
1739209704.34301;-32.816014438256545
1739209704.3430138;-38.13080360867914
1739209704.3430173;-38.13080360867914
1739209704.343021;-38.13080360867914
1739209704.3430247;-32.816014438256545
1739209704.3430283;-38.13080360867914
1739209704.343032;-38.13080360867914
1739209704.3430357;-38.13080360867914
1739209704.3430393;-38.13080360867914
1739209704.3430429;-33.981070128970956
1739209704.3430467;-45.120503652039325
1739209704.3430502;-33.981070128970906
1739209704.3430538;-45.120503652039325
1739209704.3430576;-38.13080360867914
1739209704.3430612;-38.13080360867914
1739209704.3430648;-38.13080360867914
1739209704.3430686;-38.13080360867914
1739209704.3430722;-28.58837851428586
1739209704.343076;-38.13080360867914
1739209704.3430796;-35.57807855764607
1739209704.3430831;-33.981070128970906
1739209704.343087;-33.981070128970906
1739209704.3430905;-45.120503652039325
1739209704.343094;-38.13080360867914
1739209704.343098;-38.13080360867914
1739209704.3431015;-45.120503652039325
1739209704.343105;-38.13080360867914
1739209704.343109;-38.13080360867914
1739209704.3431125;-45.120503652039325
1739209704.343116;-45.120503652039325
1739209704.3431199;-38.13080360867914
1739209704.3431234;-45.120503652039325
1739209704.3431273;-45.120503652039325
1739209704.3431308;-33.981070128970906
1739209704.3431344;-38.13080360867914
1739209704.3431382;-45.120503652039325
1739209704.3431418;-45.120503652039325
1739209704.3431454;-38.13080360867914
1739209704.3431492;-38.13080360867914
1739209704.3431528;-45.120503652039325
1739209704.3431563;-45.120503652039325
1739209704.3431602;-45.120503652039325
1739209704.3431637;-45.120503652039325
1739209704.3431673;-38.13080360867914
1739209704.3431711;-45.120503652039325
1739209704.3431747;-33.981070128970906
1739209704.3431783;-45.120503652039325
1739209704.343182;-45.120503652039325
1739209704.3431857;-32.816014438256545
1739209704.3431895;-45.120503652039325
1739209704.343193;-45.120503652039325
1739209704.3431966;-35.57807855764607
1739209704.3432004;-38.13080360867914
1739209704.343204;-45.120503652039325
1739209704.3432076;-38.13080360867914
1739209704.3432114;-38.13080360867914
1739209704.343215;-38.13080360867914
1739209704.3432186;-35.57807855764607
1739209704.3432224;-38.13080360867914
1739209704.343226;-38.13080360867914
1739209704.3432295;-38.13080360867914
1739209704.3432333;-35.57807855764607
1739209704.343237;-45.120503652039325
1739209704.3432407;-35.57807855764607
1739209704.3432443;-35.57807855764607
1739209704.343248;-45.120503652039325
1739209704.3432517;-45.120503652039325
1739209704.3432553;-45.120503652039325
1739209704.3432589;-38.13080360867914
1739209704.3432627;-38.13080360867914
1739209704.3432662;-33.981070128970906
1739209704.3432698;-45.120503652039325
1739209704.3432736;-45.120503652039325
1739209704.3432772;-38.13080360867914
1739209704.3432808;-38.13080360867914
1739209704.3432846;-45.120503652039325
1739209704.3432882;-45.120503652039325
1739209704.3432918;-45.120503652039325
1739209704.3432956;-45.120503652039325
1739209704.3432992;-38.13080360867914
1739209704.343303;-45.120503652039325
1739209704.3433065;-38.13080360867914
1739209704.34331;-38.13080360867914
1739209704.343314;-45.120503652039325
1739209704.3433175;-45.120503652039325
1739209704.343321;-38.13080360867914
1739209704.343325;-35.57807855764607
1739209704.3433285;-45.120503652039325
1739209704.343332;-38.13080360867914
1739209704.3433359;-38.13080360867914
1739209704.3433394;-31.141103565318915
1739209704.343343;-38.13080360867914
1739209704.3433468;-38.13080360867914
1739209704.3433504;-38.13080360867914
1739209704.343354;-38.13080360867914
1739209704.3433578;-35.57807855764607
1739209704.3433614;-38.13080360867914
1739209704.3433652;-38.13080360867914
1739209704.3433688;-33.981070128970906
1739209704.3433723;-33.981070128970906
1739209704.3433762;-33.981070128970906
1739209704.3433797;-38.13080360867914
1739209704.3433833;-38.13080360867914
1739209704.3433871;-38.13080360867914
1739209704.3433907;-33.981070128970906
1739209704.3433943;-45.120503652039325
1739209704.343398;-45.120503652039325
1739209704.3434017;-35.57807855764607
1739209704.3434052;-35.57807855764607
1739209704.343409;-45.120503652039325
1739209704.3434126;-33.981070128970906
1739209704.3434165;-45.120503652039325
1739209704.34342;-45.120503652039325
1739209704.3434236;-38.13080360867914
1739209704.3434274;-38.13080360867914
1739209704.343431;-38.13080360867914
1739209704.3434346;-38.13080360867914
1739209704.3434384;-38.13080360867914
1739209704.343442;-38.13080360867914
1739209704.3434455;-38.13080360867914
1739209704.3434494;-45.120503652039325
1739209704.343453;-45.120503652039325
1739209704.3434565;-45.120503652039325
1739209704.3434603;-33.981070128970906
1739209704.343464;-38.13080360867914
1739209704.3434675;-35.57807855764607
1739209704.3434713;-35.57807855764607
1739209704.3434749;-45.120503652039325
1739209704.3434787;-45.120503652039325
1739209704.3434823;-38.13080360867914
1739209704.3434858;-33.981070128970906
1739209704.3434896;-33.981070128970906
1739209704.3434932;-38.13080360867914
1739209704.3434968;-38.13080360867914
1739209704.3435006;-38.13080360867914
1739209704.3435042;-38.13080360867914
1739209704.3435078;-45.120503652039325
1739209704.3435116;-35.57807855764607
1739209704.3435152;-31.141103565318915
1739209704.3435187;-33.981070128970906
1739209704.3435225;-38.13080360867914
1739209704.3435261;-38.13080360867914
1739209704.34353;-38.13080360867914
1739209704.3435335;-45.120503652039325
1739209704.343537;-45.120503652039325
1739209704.343541;-38.13080360867914
1739209704.3435445;-33.981070128970906
1739209704.343548;-33.981070128970906
1739209704.3435519;-38.13080360867914
1739209704.3435555;-45.120503652039325
1739209704.343559;-38.13080360867914
1739209704.3435628;-45.120503652039325
1739209704.3435664;-38.13080360867914
1739209704.34357;-38.13080360867914
1739209704.3435738;-45.120503652039325
1739209704.3435774;-38.13080360867914
1739209704.343581;-38.13080360867914
1739209704.3435848;-38.13080360867914
1739209704.3435884;-45.120503652039325
1739209704.3435922;-35.57807855764607
1739209704.3435957;-35.57807855764607
1739209704.3435993;-45.120503652039325
1739209704.3436031;-38.13080360867914
1739209704.3436067;-31.141103565318915
1739209704.3436103;-45.120503652039325
1739209704.343614;-45.120503652039325
1739209704.3436177;-38.13080360867914
1739209704.3436213;-38.13080360867914
1739209704.343625;-33.981070128970906
1739209704.3436286;-38.13080360867914
1739209704.3436322;-38.13080360867914
1739209704.343636;-35.57807855764607
1739209704.3436396;-45.120503652039325
1739209704.3436432;-45.120503652039325
1739209704.343647;-45.120503652039325
1739209704.3436506;-45.120503652039325
1739209704.3436544;-45.120503652039325
1739209704.343658;-45.120503652039325
1739209704.3436615;-45.120503652039325
1739209704.3436654;-38.13080360867914
1739209704.343669;-45.120503652039325
1739209704.3436725;-45.120503652039325
1739209704.3436763;-45.120503652039325
1739209704.34368;-45.120503652039325
1739209704.3436835;-45.120503652039325
1739209704.3436873;-45.120503652039325
1739209704.3436909;-38.13080360867914
1739209704.3436944;-35.57807855764607
1739209704.3436983;-45.120503652039325
1739209704.3437018;-38.13080360867914
1739209704.3437057;-38.13080360867914
1739209704.3437092;-45.120503652039325
1739209704.3437128;-45.120503652039325
1739209704.3437166;-30.49652367304973
1739209704.3437202;-38.13080360867914
1739209704.3437238;-38.13080360867914
1739209704.3437276;-38.13080360867914
1739209704.3437312;-45.120503652039325
1739209704.3437347;-38.13080360867914
1739209704.3437386;-35.57807855764607
1739209704.3437421;-35.57807855764607
1739209704.3437457;-38.13080360867914
1739209704.3437495;-38.13080360867914
1739209704.343753;-38.13080360867914
1739209704.3437567;-38.13080360867914
1739209704.3437605;-38.13080360867914
1739209704.343764;-38.13080360867914
1739209704.343768;-38.13080360867914
1739209704.3437715;-38.13080360867914
1739209704.343775;-38.13080360867914
1739209704.3437788;-38.13080360867914
1739209704.3437824;-38.13080360867914
1739209704.343786;-45.120503652039325
1739209704.3437898;-45.120503652039325
1739209704.3437934;-45.120503652039325
